geo,year,permanent
BG31,2013,240368.0
BG31,2014,234149.0
BG31,2015,239392.0
BG31,2016,226729.0
BG31,2017,228012.0
BG31,2018,229768.0
BG31,2019,218521.0
BG31,2020,218831.0
BG31,2021,221271.0
BG31,2022,216197.0
BG31,2023,216792.0
BG32,2008,317744.0
BG32,2009,301955.0
BG32,2010,276863.0
BG32,2011,268023.0
BG32,2012,267808.0
BG32,2013,257024.0
BG32,2014,266241.0
BG32,2015,274673.0
BG32,2016,273569.0
BG32,2017,265800.0
BG32,2018,276280.0
BG32,2019,259641.0
BG32,2020,255356.0
BG32,2021,247460.0
BG32,2022,249302.0
BG32,2023,250059.0
BG33,2008,351713.0
BG33,2009,331240.0
BG33,2010,307068.0
BG33,2011,310478.0
BG33,2012,293716.0
BG33,2013,293949.0
BG33,2014,285436.0
BG33,2015,302991.0
BG33,2016,319878.0
BG33,2017,330658.0
BG33,2018,329093.0
BG33,2019,298318.0
BG33,2020,298143.0
BG33,2021,307550.0
BG33,2022,319774.0
BG33,2023,314257.0
BG34,2008,392404.0
BG34,2009,377311.0
BG34,2010,352734.0
BG34,2011,344802.0
BG34,2012,341392.0
BG34,2013,333976.0
BG34,2014,335561.0
BG34,2015,343805.0
BG34,2016,348949.0
BG34,2017,351901.0
BG34,2018,364130.0
BG34,2019,339381.0
BG34,2020,339966.0
BG34,2021,324257.0
BG34,2022,334170.0
BG34,2023,330528.0
BG41,2008,905385.0
BG41,2009,892163.0
BG41,2010,879295.0
BG41,2011,861935.0
BG41,2012,861897.0
BG41,2013,839656.0
BG41,2014,842128.0
BG41,2015,881181.0
BG41,2016,874718.0
BG41,2017,903419.0
BG41,2018,908085.0
BG41,2019,903503.0
BG41,2020,859147.0
BG41,2021,847104.0
BG41,2022,869534.0
BG41,2023,863351.0
BG42,2008,532575.0
BG42,2009,502171.0
BG42,2010,467432.0
BG42,2011,449545.0
BG42,2012,449536.0
BG42,2013,458513.0
BG42,2014,467349.0
BG42,2015,469279.0
BG42,2016,476383.0
BG42,2017,498985.0
BG42,2018,502114.0
BG42,2019,484498.0
BG42,2020,474405.0
BG42,2021,447937.0
BG42,2022,457516.0
BG42,2023,461060.0
CY00,2008,261059.0
CY00,2009,262419.0
CY00,2010,273986.0
CY00,2011,278407.0
CY00,2012,270663.0
CY00,2013,246758.0
CY00,2014,239819.0
CY00,2015,246103.0
CY00,2016,256899.0
CY00,2017,275747.0
CY00,2018,295167.0
CY00,2019,311382.0
CY00,2020,314196.0
CY00,2021,332470.0
CY00,2022,355159.0
CY00,2023,360652.0
CZ01,2008,469020.0
CZ01,2009,466278.0
CZ01,2010,463021.0
CZ01,2011,435396.0
CZ01,2012,434661.0
CZ01,2013,471215.0
CZ01,2014,455795.0
CZ01,2015,465420.0
CZ01,2016,479477.0
CZ01,2017,482405.0
CZ01,2018,487690.0
CZ01,2019,499665.0
CZ01,2020,497753.0
CZ01,2021,497354.0
CZ01,2022,434066.0
CZ01,2023,336032.0
CZ02,2008,457439.0
CZ02,2009,459831.0
CZ02,2010,451762.0
CZ02,2011,458654.0
CZ02,2012,463672.0
CZ02,2013,449003.0
CZ02,2014,444163.0
CZ02,2015,460672.0
CZ02,2016,467914.0
CZ02,2017,502389.0
CZ02,2018,507987.0
CZ02,2019,510072.0
CZ02,2020,526331.0
CZ02,2021,509206.0
CZ02,2022,514906.0
CZ02,2023,430455.0
CZ03,2008,461230.0
CZ03,2009,452633.0
CZ03,2010,434708.0
CZ03,2011,430082.0
CZ03,2012,430911.0
CZ03,2013,434752.0
CZ03,2014,437198.0
CZ03,2015,453700.0
CZ03,2016,460259.0
CZ03,2017,455506.0
CZ03,2018,473944.0
CZ03,2019,469269.0
CZ03,2020,475219.0
CZ03,2021,478917.0
CZ03,2022,472458.0
CZ03,2023,548792.0
CZ04,2008,416025.0
CZ04,2009,399706.0
CZ04,2010,386815.0
CZ04,2011,385342.0
CZ04,2012,374296.0
CZ04,2013,377382.0
CZ04,2014,373054.0
CZ04,2015,383536.0
CZ04,2016,386345.0
CZ04,2017,396836.0
CZ04,2018,413407.0
CZ04,2019,406496.0
CZ04,2020,401869.0
CZ04,2021,402037.0
CZ04,2022,406126.0
CZ04,2023,378019.0
CZ05,2008,550737.0
CZ05,2009,529101.0
CZ05,2010,511903.0
CZ05,2011,503488.0
CZ05,2012,507716.0
CZ05,2013,496846.0
CZ05,2014,516171.0
CZ05,2015,513287.0
CZ05,2016,537021.0
CZ05,2017,526833.0
CZ05,2018,562155.0
CZ05,2019,566351.0
CZ05,2020,556743.0
CZ05,2021,541868.0
CZ05,2022,567377.0
CZ05,2023,583791.0
CZ06,2008,607377.0
CZ06,2009,585458.0
CZ06,2010,574413.0
CZ06,2011,571714.0
CZ06,2012,574648.0
CZ06,2013,590843.0
CZ06,2014,594457.0
CZ06,2015,592105.0
CZ06,2016,608099.0
CZ06,2017,613085.0
CZ06,2018,635565.0
CZ06,2019,641664.0
CZ06,2020,636546.0
CZ06,2021,627988.0
CZ06,2022,639729.0
CZ06,2023,696934.0
CZ07,2008,447237.0
CZ07,2009,429087.0
CZ07,2010,410844.0
CZ07,2011,418153.0
CZ07,2012,425217.0
CZ07,2013,410293.0
CZ07,2014,412554.0
CZ07,2015,415439.0
CZ07,2016,418815.0
CZ07,2017,421802.0
CZ07,2018,441647.0
CZ07,2019,434338.0
CZ07,2020,437322.0
CZ07,2021,432616.0
CZ07,2022,438706.0
CZ07,2023,347601.0
CZ08,2008,440598.0
CZ08,2009,428951.0
CZ08,2010,415676.0
CZ08,2011,412421.0
CZ08,2012,408592.0
CZ08,2013,405779.0
CZ08,2014,411686.0
CZ08,2015,403123.0
CZ08,2016,415077.0
CZ08,2017,432171.0
CZ08,2018,418794.0
CZ08,2019,430178.0
CZ08,2020,424014.0
CZ08,2021,421092.0
CZ08,2022,423166.0
CZ08,2023,424769.0
DE10,2008,4065650.0
DE10,2009,3951167.0
DE10,2010,3899005.0
DE10,2011,4006807.0
DE10,2012,4023280.0
DE10,2013,4113791.0
DE10,2014,4175949.0
DE10,2015,4239712.0
DE10,2016,4375880.0
DE10,2017,4466978.0
DE10,2018,4491091.0
DE10,2019,4595842.0
DE10,2020,4691869.0
DE10,2021,4533314.0
DE10,2022,4600327.0
DE10,2023,4776208.0
DE20,2008,4690058.0
DE20,2009,4688280.0
DE20,2010,4674248.0
DE20,2011,4725314.0
DE20,2012,4860239.0
DE20,2013,5017412.0
DE20,2014,5107513.0
DE20,2015,5165542.0
DE20,2016,5295057.0
DE20,2017,5349585.0
DE20,2018,5446076.0
DE20,2019,5586598.0
DE20,2020,5656894.0
DE20,2021,5628960.0
DE20,2022,5578604.0
DE20,2023,5734346.0
DE30,2008,1001911.0
DE30,2009,1071262.0
DE30,2010,1009461.0
DE30,2011,1020671.0
DE30,2012,1088820.0
DE30,2013,1103371.0
DE30,2014,1171498.0
DE30,2015,1167723.0
DE30,2016,1243479.0
DE30,2017,1266267.0
DE30,2018,1324751.0
DE30,2019,1380091.0
DE30,2020,1372917.0
DE30,2021,1366901.0
DE30,2022,1381945.0
DE30,2023,1393495.0
DE40,2008,890932.0
DE40,2009,896877.0
DE40,2010,909252.0
DE40,2011,876996.0
DE40,2012,916533.0
DE40,2013,932066.0
DE40,2014,937113.0
DE40,2015,936056.0
DE40,2016,967729.0
DE40,2017,968269.0
DE40,2018,989772.0
DE40,2019,998590.0
DE40,2020,1023344.0
DE40,2021,1012503.0
DE40,2022,1008189.0
DE40,2023,1011060.0
DE50,2008,199353.0
DE50,2009,214917.0
DE50,2010,192989.0
DE50,2011,221756.0
DE50,2012,221522.0
DE50,2013,226681.0
DE50,2014,229432.0
DE50,2015,227908.0
DE50,2016,239294.0
DE50,2017,237347.0
DE50,2018,241061.0
DE50,2019,244858.0
DE50,2020,242317.0
DE50,2021,238616.0
DE50,2022,231386.0
DE50,2023,245641.0
DE60,2008,596817.0
DE60,2009,620576.0
DE60,2010,610344.0
DE60,2011,575967.0
DE60,2012,621137.0
DE60,2013,628483.0
DE60,2014,643660.0
DE60,2015,658828.0
DE60,2016,680030.0
DE60,2017,706433.0
DE60,2018,712329.0
DE60,2019,738694.0
DE60,2020,728030.0
DE60,2021,745827.0
DE60,2022,736684.0
DE60,2023,767098.0
DE70,2008,2097482.0
DE70,2009,2204396.0
DE70,2010,2086096.0
DE70,2011,2153523.0
DE70,2012,2209359.0
DE70,2013,2247545.0
DE70,2014,2238617.0
DE70,2015,2312035.0
DE70,2016,2348847.0
DE70,2017,2405992.0
DE70,2018,2419486.0
DE70,2019,2471474.0
DE70,2020,2430813.0
DE70,2021,2398630.0
DE70,2022,2431007.0
DE70,2023,2532721.0
DE80,2008,565237.0
DE80,2009,564577.0
DE80,2010,576503.0
DE80,2011,578069.0
DE80,2012,562221.0
DE80,2013,563220.0
DE80,2014,564059.0
DE80,2015,568744.0
DE80,2016,595635.0
DE80,2017,592552.0
DE80,2018,570096.0
DE80,2019,584832.0
DE80,2020,594241.0
DE80,2021,607267.0
DE80,2022,596725.0
DE80,2023,587193.0
DE90,2008,2708582.0
DE90,2009,2749464.0
DE90,2010,2631000.0
DE90,2011,2693382.0
DE90,2012,2799825.0
DE90,2013,2846247.0
DE90,2014,2895062.0
DE90,2015,2951594.0
DE90,2016,3013553.0
DE90,2017,3042506.0
DE90,2018,3083844.0
DE90,2019,3114335.0
DE90,2020,3121614.0
DE90,2021,3127305.0
DE90,2022,3165398.0
DE90,2023,3228270.0
DEA0,2008,6199536.0
DEA0,2009,6016156.0
DEA0,2010,6049058.0
DEA0,2011,6119584.0
DEA0,2012,6197257.0
DEA0,2013,6265848.0
DEA0,2014,6324433.0
DEA0,2015,6372459.0
DEA0,2016,6546738.0
DEA0,2017,6640161.0
DEA0,2018,6733585.0
DEA0,2019,6870265.0
DEA0,2020,6761922.0
DEA0,2021,6604835.0
DEA0,2022,6754958.0
DEA0,2023,6899121.0
DEB0,2008,1500371.0
DEB0,2009,1444533.0
DEB0,2010,1395627.0
DEB0,2011,1422786.0
DEB0,2012,1462576.0
DEB0,2013,1503576.0
DEB0,2014,1508660.0
DEB0,2015,1531944.0
DEB0,2016,1551389.0
DEB0,2017,1561504.0
DEB0,2018,1577155.0
DEB0,2019,1619384.0
DEB0,2020,1627076.0
DEB0,2021,1600987.0
DEB0,2022,1617703.0
DEB0,2023,1651670.0
DEC0,2008,339565.0
DEC0,2009,363506.0
DEC0,2010,351747.0
DEC0,2011,336469.0
DEC0,2012,355647.0
DEC0,2013,363056.0
DEC0,2014,359465.0
DEC0,2015,355604.0
DEC0,2016,364221.0
DEC0,2017,360107.0
DEC0,2018,371526.0
DEC0,2019,378504.0
DEC0,2020,381792.0
DEC0,2021,364406.0
DEC0,2022,380720.0
DEC0,2023,375462.0
DED0,2008,1445870.0
DED0,2009,1468154.0
DED0,2010,1328913.0
DED0,2011,1417236.0
DED0,2012,1427836.0
DED0,2013,1439153.0
DED0,2014,1485549.0
DED0,2015,1488042.0
DED0,2016,1521505.0
DED0,2017,1511541.0
DED0,2018,1514041.0
DED0,2019,1545831.0
DED0,2020,1540193.0
DED0,2021,1513485.0
DED0,2022,1556349.0
DED0,2023,1570558.0
DEE0,2008,831897.0
DEE0,2009,780119.0
DEE0,2010,829608.0
DEE0,2011,831883.0
DEE0,2012,815878.0
DEE0,2013,822221.0
DEE0,2014,825109.0
DEE0,2015,821239.0
DEE0,2016,830003.0
DEE0,2017,822160.0
DEE0,2018,823688.0
DEE0,2019,821775.0
DEE0,2020,831678.0
DEE0,2021,824867.0
DEE0,2022,806368.0
DEE0,2023,828801.0
DEF0,2008,992773.0
DEF0,2009,1006337.0
DEF0,2010,925664.0
DEF0,2011,964058.0
DEF0,2012,986158.0
DEF0,2013,988815.0
DEF0,2014,1010115.0
DEF0,2015,1013029.0
DEF0,2016,1024153.0
DEF0,2017,1072457.0
DEF0,2018,1092153.0
DEF0,2019,1110617.0
DEF0,2020,1112447.0
DEF0,2021,1111352.0
DEF0,2022,1129703.0
DEF0,2023,1147776.0
DEG0,2008,790502.0
DEG0,2009,802680.0
DEG0,2010,807470.0
DEG0,2011,808713.0
DEG0,2012,816559.0
DEG0,2013,816967.0
DEG0,2014,820759.0
DEG0,2015,805891.0
DEG0,2016,833528.0
DEG0,2017,828714.0
DEG0,2018,831692.0
DEG0,2019,820877.0
DEG0,2020,816969.0
DEG0,2021,817775.0
DEG0,2022,815460.0
DEG0,2023,818493.0
DK01,2008,690298.0
DK01,2009,648661.0
DK01,2010,675078.0
DK01,2011,692942.0
DK01,2012,687132.0
DK01,2013,693550.0
DK01,2014,714595.0
DK01,2015,726604.0
DK01,2016,715597.0
DK01,2017,729487.0
DK01,2018,744309.0
DK01,2019,759740.0
DK01,2020,752994.0
DK01,2021,758172.0
DK01,2022,786868.0
DK01,2023,802173.0
DK02,2008,338457.0
DK02,2009,321719.0
DK02,2010,315961.0
DK02,2011,305253.0
DK02,2012,304675.0
DK02,2013,301259.0
DK02,2014,303013.0
DK02,2015,299248.0
DK02,2016,289696.0
DK02,2017,302951.0
DK02,2018,308228.0
DK02,2019,310603.0
DK02,2020,313538.0
DK02,2021,316648.0
DK02,2022,315504.0
DK02,2023,327733.0
DK03,2008,498028.0
DK03,2009,480758.0
DK03,2010,460250.0
DK03,2011,457928.0
DK03,2012,450233.0
DK03,2013,443269.0
DK03,2014,443630.0
DK03,2015,451737.0
DK03,2016,433582.0
DK03,2017,442491.0
DK03,2018,466572.0
DK03,2019,467460.0
DK03,2020,459574.0
DK03,2021,471992.0
DK03,2022,475984.0
DK03,2023,473559.0
DK04,2008,534144.0
DK04,2009,521807.0
DK04,2010,507673.0
DK04,2011,496257.0
DK04,2012,494586.0
DK04,2013,493407.0
DK04,2014,490027.0
DK04,2015,499957.0
DK04,2016,481224.0
DK04,2017,494235.0
DK04,2018,521943.0
DK04,2019,523889.0
DK04,2020,513644.0
DK04,2021,519515.0
DK04,2022,544656.0
DK04,2023,552382.0
DK05,2008,244602.0
DK05,2009,235363.0
DK05,2010,220441.0
DK05,2011,214974.0
DK05,2012,213940.0
DK05,2013,214648.0
DK05,2014,222791.0
DK05,2015,226532.0
DK05,2016,215493.0
DK05,2017,215179.0
DK05,2018,223816.0
DK05,2019,228236.0
DK05,2020,223074.0
DK05,2021,225877.0
DK05,2022,231039.0
DK05,2023,231843.0
EE00,2008,568496.0
EE00,2009,512717.0
EE00,2010,483677.0
EE00,2011,507918.0
EE00,2012,520125.0
EE00,2013,523442.0
EE00,2014,528192.0
EE00,2015,530384.0
EE00,2016,527979.0
EE00,2017,537579.0
EE00,2018,538262.0
EE00,2019,541378.0
EE00,2020,531174.0
EE00,2021,540154.0
EE00,2022,553316.0
EE00,2023,563275.0
EL30,2008,1260159.0
EL30,2009,1229996.0
EL30,2010,1178905.0
EL30,2011,1076652.0
EL30,2012,998038.0
EL30,2013,949186.0
EL30,2014,966319.0
EL30,2015,972228.0
EL30,2016,1010412.0
EL30,2017,1008982.0
EL30,2018,1023072.0
EL30,2019,1066773.0
EL30,2020,1105657.0
EL30,2021,1143575.0
EL30,2022,1083644.0
EL30,2023,1162528.0
EL41,2008,35810.0
EL41,2009,36942.0
EL41,2010,37493.0
EL41,2011,35357.0
EL41,2012,31077.0
EL41,2013,31801.0
EL41,2014,29360.0
EL41,2015,31551.0
EL41,2016,32642.0
EL41,2017,30246.0
EL41,2018,32922.0
EL41,2019,33510.0
EL41,2020,37515.0
EL41,2021,31621.0
EL41,2022,33890.0
EL41,2023,34445.0
EL42,2008,64542.0
EL42,2009,64099.0
EL42,2010,61531.0
EL42,2011,58473.0
EL42,2012,59771.0
EL42,2013,58810.0
EL42,2014,53389.0
EL42,2015,62125.0
EL42,2016,60935.0
EL42,2017,61576.0
EL42,2018,62071.0
EL42,2019,57244.0
EL42,2020,51354.0
EL42,2021,73365.0
EL42,2022,59502.0
EL42,2023,51895.0
EL43,2008,126348.0
EL43,2009,126018.0
EL43,2010,113529.0
EL43,2011,108989.0
EL43,2012,91019.0
EL43,2013,86703.0
EL43,2014,89513.0
EL43,2015,96319.0
EL43,2016,109134.0
EL43,2017,114522.0
EL43,2018,114378.0
EL43,2019,112130.0
EL43,2020,104503.0
EL43,2021,92478.0
EL43,2022,148589.0
EL43,2023,128209.0
EL51,2008,115384.0
EL51,2009,110148.0
EL51,2010,112748.0
EL51,2011,97644.0
EL51,2012,91603.0
EL51,2013,88492.0
EL51,2014,87080.0
EL51,2015,84158.0
EL51,2016,92160.0
EL51,2017,97516.0
EL51,2018,104829.0
EL51,2019,109775.0
EL51,2020,109653.0
EL51,2021,111918.0
EL51,2022,120477.0
EL51,2023,137999.0
EL52,2008,410304.0
EL52,2009,402897.0
EL52,2010,384290.0
EL52,2011,351397.0
EL52,2012,319122.0
EL52,2013,290132.0
EL52,2014,296383.0
EL52,2015,325781.0
EL52,2016,334601.0
EL52,2017,343371.0
EL52,2018,354621.0
EL52,2019,373863.0
EL52,2020,384153.0
EL52,2021,376061.0
EL52,2022,461101.0
EL52,2023,406041.0
EL53,2008,46685.0
EL53,2009,49180.0
EL53,2010,46657.0
EL53,2011,44860.0
EL53,2012,38828.0
EL53,2013,35041.0
EL53,2014,34137.0
EL53,2015,34476.0
EL53,2016,37451.0
EL53,2017,38365.0
EL53,2018,43814.0
EL53,2019,41053.0
EL53,2020,41748.0
EL53,2021,37402.0
EL53,2022,43386.0
EL53,2023,40640.0
EL54,2008,63619.0
EL54,2009,63441.0
EL54,2010,57600.0
EL54,2011,56701.0
EL54,2012,56271.0
EL54,2013,50887.0
EL54,2014,50664.0
EL54,2015,52613.0
EL54,2016,56431.0
EL54,2017,58432.0
EL54,2018,63324.0
EL54,2019,62935.0
EL54,2020,57171.0
EL54,2021,56812.0
EL54,2022,60091.0
EL54,2023,64543.0
EL61,2008,138666.0
EL61,2009,137903.0
EL61,2010,125498.0
EL61,2011,115768.0
EL61,2012,107013.0
EL61,2013,104416.0
EL61,2014,105966.0
EL61,2015,107824.0
EL61,2016,108268.0
EL61,2017,122765.0
EL61,2018,125268.0
EL61,2019,124569.0
EL61,2020,130299.0
EL61,2021,127455.0
EL61,2022,112067.0
EL61,2023,118787.0
EL62,2008,36221.0
EL62,2009,36077.0
EL62,2010,30712.0
EL62,2011,28363.0
EL62,2012,29666.0
EL62,2013,29587.0
EL62,2014,27151.0
EL62,2015,32131.0
EL62,2016,32318.0
EL62,2017,28132.0
EL62,2018,30357.0
EL62,2019,31667.0
EL62,2020,32953.0
EL62,2021,26150.0
EL62,2022,26764.0
EL62,2023,18414.0
EL63,2008,126264.0
EL63,2009,118059.0
EL63,2010,115808.0
EL63,2011,109337.0
EL63,2012,96296.0
EL63,2013,92585.0
EL63,2014,92375.0
EL63,2015,89131.0
EL63,2016,91512.0
EL63,2017,94874.0
EL63,2018,95280.0
EL63,2019,93213.0
EL63,2020,103390.0
EL63,2021,114996.0
EL63,2022,126547.0
EL63,2023,110619.0
EL64,2008,113320.0
EL64,2009,108831.0
EL64,2010,106680.0
EL64,2011,103182.0
EL64,2012,94617.0
EL64,2013,86574.0
EL64,2014,83690.0
EL64,2015,89951.0
EL64,2016,89422.0
EL64,2017,92043.0
EL64,2018,100433.0
EL64,2019,108627.0
EL64,2020,98546.0
EL64,2021,97201.0
EL64,2022,116276.0
EL64,2023,99911.0
EL65,2008,98152.0
EL65,2009,90476.0
EL65,2010,86885.0
EL65,2011,84053.0
EL65,2012,78447.0
EL65,2013,74020.0
EL65,2014,75066.0
EL65,2015,80551.0
EL65,2016,83953.0
EL65,2017,88723.0
EL65,2018,92649.0
EL65,2019,94491.0
EL65,2020,92746.0
EL65,2021,74999.0
EL65,2022,111053.0
EL65,2023,95004.0
ES11,2008,658010.0
ES11,2009,662421.0
ES11,2010,643829.0
ES11,2011,659315.0
ES11,2012,623628.0
ES11,2013,601101.0
ES11,2014,593934.0
ES11,2015,610576.0
ES11,2016,607952.0
ES11,2017,611571.0
ES11,2018,625296.0
ES11,2019,651142.0
ES11,2020,652091.0
ES11,2021,656665.0
ES11,2022,732983.0
ES11,2023,756680.0
ES12,2008,260427.0
ES12,2009,265365.0
ES12,2010,256107.0
ES12,2011,254109.0
ES12,2012,246657.0
ES12,2013,227034.0
ES12,2014,216327.0
ES12,2015,223500.0
ES12,2016,236441.0
ES12,2017,235521.0
ES12,2018,243583.0
ES12,2019,232238.0
ES12,2020,241866.0
ES12,2021,245032.0
ES12,2022,235320.0
ES12,2023,269705.0
ES13,2008,155683.0
ES13,2009,159198.0
ES13,2010,154137.0
ES13,2011,162467.0
ES13,2012,154090.0
ES13,2013,150654.0
ES13,2014,147155.0
ES13,2015,143427.0
ES13,2016,142756.0
ES13,2017,152838.0
ES13,2018,157232.0
ES13,2019,151495.0
ES13,2020,149858.0
ES13,2021,147628.0
ES13,2022,169986.0
ES13,2023,174483.0
ES21,2008,585280.0
ES21,2009,608346.0
ES21,2010,622005.0
ES21,2011,633346.0
ES21,2012,591187.0
ES21,2013,580069.0
ES21,2014,566279.0
ES21,2015,574730.0
ES21,2016,600584.0
ES21,2017,598816.0
ES21,2018,589871.0
ES21,2019,598106.0
ES21,2020,626929.0
ES21,2021,621741.0
ES21,2022,640815.0
ES21,2023,707806.0
ES22,2008,179133.0
ES22,2009,184797.0
ES22,2010,177365.0
ES22,2011,180035.0
ES22,2012,173338.0
ES22,2013,166659.0
ES22,2014,170545.0
ES22,2015,153099.0
ES22,2016,162663.0
ES22,2017,180810.0
ES22,2018,179365.0
ES22,2019,188413.0
ES22,2020,180535.0
ES22,2021,175707.0
ES22,2022,207487.0
ES22,2023,196056.0
ES23,2008,90775.0
ES23,2009,91561.0
ES23,2010,91245.0
ES23,2011,86428.0
ES23,2012,81535.0
ES23,2013,77256.0
ES23,2014,79938.0
ES23,2015,82183.0
ES23,2016,86280.0
ES23,2017,81195.0
ES23,2018,85749.0
ES23,2019,89923.0
ES23,2020,88982.0
ES23,2021,89754.0
ES23,2022,99363.0
ES23,2023,101622.0
ES24,2008,358626.0
ES24,2009,365985.0
ES24,2010,348166.0
ES24,2011,333709.0
ES24,2012,343341.0
ES24,2013,327370.0
ES24,2014,321272.0
ES24,2015,332247.0
ES24,2016,346572.0
ES24,2017,352914.0
