geo,year,EU_labor_market_occupations_per_skill_level__persons_per_skill_level
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,693801.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2011,566706.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,697054.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,507365.0
AT1,2012,566875.0
AT1,2012,566875.0
AT1,2012,566875.0
AT1,2012,566875.0
AT1,2012,566875.0
AT1,2012,566875.0
AT1,2012,566875.0
AT1,2012,566875.0
AT1,2012,566875.0
AT1,2012,566875.0
AT1,2012,566875.0
AT1,2012,566875.0
AT1,2012,566875.0
AT1,2012,566875.0
AT1,2012,566875.0
AT1,2012,566875.0
AT1,2012,566875.0
AT1,2012,566875.0
AT1,2012,566875.0
AT1,2012,566875.0
AT1,2012,566875.0
AT1,2012,566875.0
AT1,2012,566875.0
AT1,2012,566875.0
AT1,2012,566875.0
AT1,2012,566875.0
AT1,2012,566875.0
AT1,2012,566875.0
AT1,2012,566875.0
AT1,2012,566875.0
AT1,2012,566875.0
AT1,2012,566875.0
