geo,nuts_level,n_variants,labels_joined
AT1,1,0,—
AT2,1,0,—
AT3,1,0,—
ATZ,1,0,—
BE1,1,0,—
BE2,1,0,—
BE3,1,0,—
BEZ,1,0,—
BG3,1,0,—
BG4,1,0,—
CH0,1,0,—
CY0,1,0,—
CZ0,1,0,—
DE1,1,0,—
DE2,1,0,—
DE3,1,0,—
DE4,1,0,—
DE5,1,0,—
DE6,1,0,—
DE7,1,0,—
DE8,1,0,—
DE9,1,0,—
DEA,1,0,—
DEB,1,0,—
DEC,1,0,—
DED,1,0,—
DEE,1,0,—
DEF,1,0,—
DEG,1,0,—
DK0,1,0,—
DKZ,1,0,—
EE0,1,0,—
EL3,1,0,—
EL4,1,0,—
EL5,1,0,—
EL6,1,0,—
ES1,1,0,—
ES2,1,0,—
ES3,1,0,—
ES4,1,0,—
ES5,1,0,—
ES6,1,0,—
ES7,1,0,—
ESZ,1,0,—
FI1,1,0,—
FI2,1,0,—
FIZ,1,0,—
FR1,1,0,—
FRB,1,0,—
FRC,1,0,—
FRD,1,0,—
FRE,1,0,—
FRF,1,0,—
FRG,1,0,—
FRH,1,0,—
FRI,1,0,—
FRJ,1,0,—
FRK,1,0,—
FRL,1,0,—
FRM,1,0,—
FRY,1,0,—
HR0,1,0,—
HU1,1,0,—
HU2,1,0,—
HU3,1,0,—
HUZ,1,0,—
IE0,1,0,—
IS0,1,0,—
ITC,1,0,—
ITF,1,0,—
ITG,1,0,—
ITH,1,0,—
ITI,1,0,—
ITZ,1,0,—
LT0,1,0,—
LU0,1,0,—
LV0,1,0,—
MT0,1,0,—
MTZ,1,0,—
NL1,1,0,—
NL2,1,0,—
NL3,1,0,—
NL4,1,0,—
NLZ,1,0,—
NO0,1,0,—
PL1,1,0,—
PL2,1,0,—
PL3,1,0,—
PL4,1,0,—
PL5,1,0,—
PL6,1,0,—
PL7,1,0,—
PL8,1,0,—
PL9,1,0,—
PT1,1,0,—
PT2,1,0,—
PT3,1,0,—
PTZ,1,0,—
RO1,1,0,—
RO2,1,0,—
RO3,1,0,—
RO4,1,0,—
RS1,1,0,—
RS2,1,0,—
SE1,1,0,—
SE2,1,0,—
SE3,1,0,—
SEZ,1,0,—
SI0,1,0,—
SK0,1,0,—
TR1,1,0,—
TR2,1,0,—
TR3,1,0,—
TR4,1,0,—
TR5,1,0,—
TR6,1,0,—
TR7,1,0,—
TR8,1,0,—
TR9,1,0,—
TRA,1,0,—
TRB,1,0,—
TRC,1,0,—
UKC,1,0,—
UKD,1,0,—
UKE,1,0,—
UKF,1,0,—
UKG,1,0,—
UKH,1,0,—
UKI,1,0,—
UKJ,1,0,—
UKK,1,0,—
UKL,1,0,—
UKM,1,0,—
UKN,1,0,—
