geo,year,EU_labor_market_workforce_education__education_level_pct_diff
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,-15.709459459459463
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
AT1,2014,42.19409282700424
