geo,year,precarious_part_time_employment__part_time_employment
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2009,647000.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2010,664500.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
BE2,2011,697900.0
