geo,year,EULaborMarket-SectoralEmployment__sector_employment_pct_diff
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT1,2023,-7.741935483870968
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2014,-7.142857142857142
AT11,2016,-7.142857142857142
AT11,2016,-7.142857142857142
AT11,2016,-7.142857142857142
AT11,2016,-7.142857142857142
AT11,2016,-7.142857142857142
AT11,2016,-7.142857142857142
AT11,2016,-7.142857142857142
AT11,2016,-7.142857142857142
AT11,2016,-7.142857142857142
AT11,2016,-7.142857142857142
AT11,2016,-7.142857142857142
