geo,year,precarious_part_time_employment__population
CZ0,1999,10289621.0
CZ0,2000,10278098.0
CZ0,2001,10232027.0
CZ0,2002,10201182.0
CZ0,2003,10192649.0
CZ0,2004,10195347.0
CZ0,2005,10198855.0
CZ0,2006,10223577.0
CZ0,2007,10254233.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2008,10343422.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2009,10425783.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2010,10462088.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
CZ0,2011,10486731.0
