geo,year,EU_labor_market_workforce_education__geo_label,EU_labor_market_workforce_education__Country_code,EU_labor_market_workforce_education__education_level,EU_labor_market_workforce_education__education_level_pct,EU_labor_market_workforce_education__education_level_pct_diff,_row_order_,__conflict_file
BE1,2009,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,42.4,4.950495049504951,12564,EU_labor_market_workforce_education
BE1,2010,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,32.2,3.870967741935493,19,EU_labor_market_workforce_education
BE1,2010,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,25.7,-3.745318352059925,6292,EU_labor_market_workforce_education
BE1,2010,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,42.1,-0.707547169811314,12565,EU_labor_market_workforce_education
BE1,2011,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,32.7,1.5527950310559004,20,EU_labor_market_workforce_education
BE1,2011,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,24.9,-3.1128404669260727,6293,EU_labor_market_workforce_education
BE1,2011,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,42.4,0.7125890736341975,12566,EU_labor_market_workforce_education
BE1,2012,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,31.7,-3.058103975535179,21,EU_labor_market_workforce_education
BE1,2012,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,25.6,2.8112449799196906,6294,EU_labor_market_workforce_education
BE1,2012,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,42.7,0.7075471698113308,12567,EU_labor_market_workforce_education
BE1,2013,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,32.4,2.2082018927444773,22,EU_labor_market_workforce_education
BE1,2013,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,26.1,1.953125,6295,EU_labor_market_workforce_education
BE1,2013,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,41.5,-2.8103044496487186,12568,EU_labor_market_workforce_education
BE1,2014,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,32.0,-1.2345679012345634,23,EU_labor_market_workforce_education
BE1,2014,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,24.4,-6.513409961685834,6296,EU_labor_market_workforce_education
BE1,2014,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,43.5,4.819277108433735,12569,EU_labor_market_workforce_education
BE1,2015,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,30.2,-5.625000000000002,24,EU_labor_market_workforce_education
BE1,2015,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,26.4,8.196721311475411,6297,EU_labor_market_workforce_education
BE1,2015,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,43.4,-0.2298850574712676,12570,EU_labor_market_workforce_education
BE1,2016,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,29.1,-3.6423841059602577,25,EU_labor_market_workforce_education
BE1,2016,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,26.9,1.893939393939394,6298,EU_labor_market_workforce_education
BE1,2016,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,44.1,1.6129032258064582,12571,EU_labor_market_workforce_education
BE1,2017,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,27.1,-6.872852233676976,26,EU_labor_market_workforce_education
BE1,2017,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,26.3,-2.2304832713754568,6299,EU_labor_market_workforce_education
BE1,2017,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,46.6,5.668934240362812,12572,EU_labor_market_workforce_education
BE1,2018,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,26.7,-1.4760147601476092,27,EU_labor_market_workforce_education
BE1,2018,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,25.8,-1.9011406844106464,6300,EU_labor_market_workforce_education
BE1,2018,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,47.5,1.9313304721030011,12573,EU_labor_market_workforce_education
BE1,2019,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,27.6,3.370786516853941,28,EU_labor_market_workforce_education
BE1,2019,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,25.2,-2.3255813953488427,6301,EU_labor_market_workforce_education
BE1,2019,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,47.1,-0.8421052631578918,12574,EU_labor_market_workforce_education
BE1,2020,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,26.9,-2.5362318840579814,29,EU_labor_market_workforce_education
BE1,2020,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,23.8,-5.55555555555555,6302,EU_labor_market_workforce_education
BE1,2020,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,49.3,4.670912951167719,12575,EU_labor_market_workforce_education
BE1,2021,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,24.1,-10.408921933085493,30,EU_labor_market_workforce_education
BE1,2021,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,23.8,0.0,6303,EU_labor_market_workforce_education
BE1,2021,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,52.2,5.8823529411764826,12576,EU_labor_market_workforce_education
BE1,2022,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,22.1,-8.29875518672199,31,EU_labor_market_workforce_education
BE1,2022,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,24.4,2.521008403361336,6304,EU_labor_market_workforce_education
BE1,2022,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,53.5,2.490421455938692,12577,EU_labor_market_workforce_education
BE1,2023,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,21.2,-4.072398190045258,32,EU_labor_market_workforce_education
BE1,2023,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,25.0,2.459016393442629,6305,EU_labor_market_workforce_education
BE1,2023,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,53.8,0.5607476635513965,12578,EU_labor_market_workforce_education
BE1,2024,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,21.0,-0.943396226415091,33,EU_labor_market_workforce_education
BE1,2024,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,25.2,0.7999999999999973,6306,EU_labor_market_workforce_education
BE1,2024,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,53.7,-0.1858736059479448,12579,EU_labor_market_workforce_education
BE10,2008,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,33.1,,34,EU_labor_market_workforce_education
BE10,2008,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,26.5,,6307,EU_labor_market_workforce_education
BE10,2008,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,40.4,,12580,EU_labor_market_workforce_education
BE10,2009,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,31.0,-6.344410876132935,35,EU_labor_market_workforce_education
BE10,2009,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,26.7,0.7547169811320728,6308,EU_labor_market_workforce_education
BE10,2009,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,42.4,4.950495049504951,12581,EU_labor_market_workforce_education
BE10,2010,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,32.2,3.870967741935493,36,EU_labor_market_workforce_education
BE10,2010,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,25.7,-3.745318352059925,6309,EU_labor_market_workforce_education
BE10,2010,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,42.1,-0.707547169811314,12582,EU_labor_market_workforce_education
BE10,2011,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,32.7,1.5527950310559004,37,EU_labor_market_workforce_education
BE10,2011,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,24.9,-3.1128404669260727,6310,EU_labor_market_workforce_education
BE10,2011,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,42.4,0.7125890736341975,12583,EU_labor_market_workforce_education
BE10,2012,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,31.7,-3.058103975535179,38,EU_labor_market_workforce_education
BE10,2012,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,25.6,2.8112449799196906,6311,EU_labor_market_workforce_education
BE10,2012,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,42.7,0.7075471698113308,12584,EU_labor_market_workforce_education
BE10,2013,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,32.4,2.2082018927444773,39,EU_labor_market_workforce_education
BE10,2013,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,26.1,1.953125,6312,EU_labor_market_workforce_education
BE10,2013,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,41.5,-2.8103044496487186,12585,EU_labor_market_workforce_education
BE10,2014,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,32.0,-1.2345679012345634,40,EU_labor_market_workforce_education
BE10,2014,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,24.4,-6.513409961685834,6313,EU_labor_market_workforce_education
BE10,2014,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,43.5,4.819277108433735,12586,EU_labor_market_workforce_education
BE10,2015,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,30.2,-5.625000000000002,41,EU_labor_market_workforce_education
BE10,2015,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,26.4,8.196721311475411,6314,EU_labor_market_workforce_education
BE10,2015,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,43.4,-0.2298850574712676,12587,EU_labor_market_workforce_education
BE10,2016,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,29.1,-3.6423841059602577,42,EU_labor_market_workforce_education
BE10,2016,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,26.9,1.893939393939394,6315,EU_labor_market_workforce_education
BE10,2016,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,44.1,1.6129032258064582,12588,EU_labor_market_workforce_education
BE10,2017,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,27.1,-6.872852233676976,43,EU_labor_market_workforce_education
BE10,2017,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,26.3,-2.2304832713754568,6316,EU_labor_market_workforce_education
BE10,2017,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,46.6,5.668934240362812,12589,EU_labor_market_workforce_education
BE10,2018,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,26.7,-1.4760147601476092,44,EU_labor_market_workforce_education
BE10,2018,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,25.8,-1.9011406844106464,6317,EU_labor_market_workforce_education
BE10,2018,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,47.5,1.9313304721030011,12590,EU_labor_market_workforce_education
BE10,2019,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,27.6,3.370786516853941,45,EU_labor_market_workforce_education
BE10,2019,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,25.2,-2.3255813953488427,6318,EU_labor_market_workforce_education
BE10,2019,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,47.1,-0.8421052631578918,12591,EU_labor_market_workforce_education
BE10,2020,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,26.9,-2.5362318840579814,46,EU_labor_market_workforce_education
BE10,2020,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,23.8,-5.55555555555555,6319,EU_labor_market_workforce_education
BE10,2020,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,49.3,4.670912951167719,12592,EU_labor_market_workforce_education
BE10,2021,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,24.1,-10.408921933085493,47,EU_labor_market_workforce_education
BE10,2021,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,23.8,0.0,6320,EU_labor_market_workforce_education
BE10,2021,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,52.2,5.8823529411764826,12593,EU_labor_market_workforce_education
BE10,2022,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,22.1,-8.29875518672199,48,EU_labor_market_workforce_education
BE10,2022,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,24.4,2.521008403361336,6321,EU_labor_market_workforce_education
BE10,2022,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,53.5,2.490421455938692,12594,EU_labor_market_workforce_education
BE10,2023,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,21.2,-4.072398190045258,49,EU_labor_market_workforce_education
BE10,2023,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,25.0,2.459016393442629,6322,EU_labor_market_workforce_education
BE10,2023,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,53.8,0.5607476635513965,12595,EU_labor_market_workforce_education
BE10,2024,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,low,21.0,-0.943396226415091,50,EU_labor_market_workforce_education
BE10,2024,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,medium,25.2,0.7999999999999973,6323,EU_labor_market_workforce_education
BE10,2024,Région de Bruxelles-Capitale/Brussels Hoofdstedelijk Gewest,BE,high,53.7,-0.1858736059479448,12596,EU_labor_market_workforce_education
BE2,2008,Vlaams Gewest,BE,low,28.4,,51,EU_labor_market_workforce_education
BE2,2008,Vlaams Gewest,BE,medium,39.1,,6324,EU_labor_market_workforce_education
BE2,2008,Vlaams Gewest,BE,high,32.5,,12597,EU_labor_market_workforce_education
BE2,2009,Vlaams Gewest,BE,low,27.4,-3.5211267605633805,52,EU_labor_market_workforce_education
BE2,2009,Vlaams Gewest,BE,medium,39.0,-0.2557544757033284,6325,EU_labor_market_workforce_education
BE2,2009,Vlaams Gewest,BE,high,33.6,3.3846153846153886,12598,EU_labor_market_workforce_education
BE2,2010,Vlaams Gewest,BE,low,27.2,-0.7299270072992675,53,EU_labor_market_workforce_education
BE2,2010,Vlaams Gewest,BE,medium,37.8,-3.076923076923084,6326,EU_labor_market_workforce_education
BE2,2010,Vlaams Gewest,BE,high,35.0,4.166666666666663,12599,EU_labor_market_workforce_education
BE2,2011,Vlaams Gewest,BE,low,26.2,-3.6764705882352944,54,EU_labor_market_workforce_education
BE2,2011,Vlaams Gewest,BE,medium,39.5,4.497354497354506,6327,EU_labor_market_workforce_education
BE2,2011,Vlaams Gewest,BE,high,34.3,-2.000000000000008,12600,EU_labor_market_workforce_education
BE2,2012,Vlaams Gewest,BE,low,26.1,-0.3816793893129689,55,EU_labor_market_workforce_education
