geo,year,precarious_part_time_employment__part_time_employment_diff
AT11,2004,16.0
AT12,2002,19.46564885496183
AT2,2002,18.197135636057286
AT22,2002,20.56737588652482
AT33,2002,21.771217712177123
BE1,2000,23.07692307692308
BE10,2000,23.07692307692308
BE31,2000,17.167381974248926
BE31,2001,-18.68131868131868
BE31,2002,16.216216216216218
BE31,2007,19.784172661870503
BE32,2003,18.01418439716312
BE33,2000,22.92682926829269
BE34,2001,18.93491124260355
BE34,2004,16.49484536082474
BE35,2004,28.321678321678323
BG3,2004,26.900584795321635
BG3,2005,-24.193548387096776
BG3,2006,-21.88449848024316
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2008,40.869565217391305
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
BG3,2011,-14.985590778097984
