geo,year,involuntary_temporary
BG31,2016,1743.0
BG31,2017,9091.0
BG31,2018,7919.0
BG31,2019,6460.0
BG31,2020,4965.0
BG31,2021,2725.0
BG31,2022,4933.0
BG31,2023,1879.0
BG32,2008,4440.0
BG32,2009,8800.0
BG32,2010,6800.0
BG32,2011,7353.0
BG32,2012,8105.0
BG32,2013,8010.0
BG32,2014,6093.0
BG32,2015,8088.0
BG32,2016,6390.0
BG32,2017,10912.0
BG32,2018,8386.0
BG32,2019,7608.0
BG32,2020,6647.0
BG32,2021,2985.0
BG32,2022,4141.0
BG32,2023,1585.0
BG33,2008,13091.0
BG33,2009,15907.0
BG33,2010,10443.0
BG33,2011,10139.0
BG33,2012,12503.0
BG33,2013,14605.0
BG33,2014,14331.0
BG33,2015,10224.0
BG33,2016,9563.0
BG33,2017,9000.0
BG33,2018,10515.0
BG33,2019,8412.0
BG33,2020,7010.0
BG33,2021,3815.0
BG33,2022,4875.0
BG33,2023,3769.0
BG34,2008,8181.0
BG34,2009,14074.0
BG34,2010,13851.0
BG34,2011,12007.0
BG34,2012,12754.0
BG34,2013,17703.0
BG34,2014,17111.0
BG34,2015,16506.0
BG34,2016,15555.0
BG34,2017,21297.0
BG34,2018,13224.0
BG34,2019,19673.0
BG34,2020,12063.0
BG34,2021,12792.0
BG34,2022,11386.0
BG34,2023,14333.0
BG41,2008,6571.0
BG41,2009,7066.0
BG41,2010,6548.0
BG41,2011,7130.0
BG41,2012,4355.0
BG41,2013,5108.0
BG41,2014,5842.0
BG41,2015,5480.0
BG41,2016,8807.0
BG41,2017,8076.0
BG41,2018,5221.0
BG41,2019,5561.0
BG41,2020,8317.0
BG41,2021,5825.0
BG41,2022,6553.0
BG41,2023,2856.0
BG42,2008,12523.0
BG42,2009,16810.0
BG42,2010,12255.0
BG42,2011,11430.0
BG42,2012,10990.0
BG42,2013,16856.0
BG42,2014,13395.0
BG42,2015,9385.0
BG42,2016,11306.0
BG42,2017,13274.0
BG42,2018,11813.0
BG42,2019,15173.0
BG42,2020,15070.0
BG42,2021,5701.0
BG42,2022,12984.0
BG42,2023,9956.0
CY00,2008,25696.0
CY00,2009,27540.0
CY00,2010,28733.0
CY00,2011,30764.0
CY00,2012,32906.0
CY00,2013,34940.0
CY00,2014,36399.0
CY00,2015,35233.0
CY00,2016,30169.0
CY00,2017,28761.0
CY00,2018,28760.0
CY00,2019,32752.0
CY00,2020,31052.0
CY00,2021,30715.0
CY00,2022,29583.0
CY00,2023,35201.0
CZ01,2008,12228.0
CZ01,2009,11488.0
CZ01,2010,10484.0
CZ01,2011,6110.0
CZ01,2012,12502.0
CZ01,2013,11744.0
CZ01,2014,9500.0
CZ01,2015,7637.0
CZ01,2016,10793.0
CZ01,2017,9673.0
CZ01,2018,7111.0
CZ01,2019,8723.0
CZ01,2020,5122.0
CZ01,2021,3937.0
CZ01,2022,3150.0
CZ01,2023,776.0
CZ02,2008,7095.0
CZ02,2009,9415.0
CZ02,2010,11405.0
CZ02,2011,10680.0
CZ02,2012,11959.0
CZ02,2013,14715.0
CZ02,2014,13252.0
CZ02,2015,17108.0
CZ02,2016,14950.0
CZ02,2017,14466.0
CZ02,2018,4970.0
CZ02,2019,5611.0
CZ02,2020,2914.0
CZ02,2021,3713.0
CZ02,2022,2199.0
CZ02,2023,2673.0
CZ03,2008,16152.0
CZ03,2009,17561.0
CZ03,2010,18449.0
CZ03,2011,22185.0
CZ03,2012,22321.0
