NUTS2,NUTS3,Hotel_Arrivals_Natives,Hotel_Arrivals_Foreign,Hotel_Arrivals_Total,Hotel_Beds
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,ΣΥΝΟΛΟ,363602,356595,720197,25620
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΡΟΔΟΠΗΣ,51819,16992,68811,1551
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΔΡΑΜΑΣ,33774,6199,39973,2800
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΕΒΡΟΥ,100431,57805,158236,4116
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΘΑΣΟΥ,38227,164416,202643,12378
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΑΒΑΛΑΣ,71220,97314,168534,3327
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΞΑΝΘΗΣ,68131,13869,82000,1448
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,ΣΥΝΟΛΟ,1217009,1875158,3092167,98869
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΘΕΣΣΑΛΟΝΙΚΗΣ,717462,680581,1398043,15432
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΗΜΑΘΙΑΣ,37646,9521,47167,1404
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΙΛΚΙΣ,10414,4893,15307,829
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΠΕΛΛΑΣ,79845,6275,86120,2623
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΠΙΕΡΙΑΣ,128240,253126,381366,22264
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΣΕΡΡΩΝ,62883,23567,86450,2245
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΧΑΛΚΙΔΙΚΗΣ,180519,897195,1077714,54072
ΔΥΤΙΚΗ ΜΑΚΕΔΟΝΙΑ,ΣΥΝΟΛΟ,128496,24002,152498,6035
ΔΥΤΙΚΗ ΜΑΚΕΔΟΝΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΟΖΑΝΗΣ,46098,4734,50832,1762
ΔΥΤΙΚΗ ΜΑΚΕΔΟΝΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΓΡΕΒΕΝΩΝ,6785,946,7731,1031
ΔΥΤΙΚΗ ΜΑΚΕΔΟΝΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΑΣΤΟΡΙΑΣ,55205,16248,71453,2012
ΔΥΤΙΚΗ ΜΑΚΕΔΟΝΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΦΛΩΡΙΝΑΣ,20408,2074,22482,1230
ΘΕΣΣΑΛΙΑ,ΣΥΝΟΛΟ,641474,504240,1145714,31713
ΘΕΣΣΑΛΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΛΑΡΙΣΑΣ,110899,19046,129945,2784
ΘΕΣΣΑΛΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΑΡΔΙΤΣΑΣ,71700,16218,87918,1969
