NUTS2,NUTS3,Year,Turnover_Catering,Turnover_Accomodation
ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,2023,48885.0,6466
ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,2024,50718.0,7415
ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,2019,2447373,1674803
ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,2020,1848473,732109
ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,2021,2436255,1274737
ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,2022,3698547.0,2233624
ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,2023,4408579.0,2631652
ΑΤΤΙΚΗΣ,ΑΤΤΙΚΗΣ,2024,4464743.0,2871918
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,2019,3901,2332
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,2020,2457,1028
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,2021,4845,2019
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,2022,6415.0,2616
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,2023,7924.0,3208
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,2024,9087.0,3869
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΕΣΒΟΥ,2019,54890,20349
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΕΣΒΟΥ,2020,,
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΕΣΒΟΥ,2021,,
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΕΣΒΟΥ,2022,60976.0,21040
