NUTS2,NUTS3,Year,Turnover_Catering,Turnover_Accomodation
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΕΛΛΑΣ,2020,24329,6555
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΕΛΛΑΣ,2021,29928,7388
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΕΛΛΑΣ,2022,46239.0,9046
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΕΛΛΑΣ,2023,54047.0,11737
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΕΛΛΑΣ,2024,56479.0,12239
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΙΕΡΙΑΣ,2019,70120,65516
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΙΕΡΙΑΣ,2020,46943,21820
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΙΕΡΙΑΣ,2021,63072,45808
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΙΕΡΙΑΣ,2022,95274.0,73830
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΙΕΡΙΑΣ,2023,112669.0,83183
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΙΕΡΙΑΣ,2024,113991.0,89420
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΣΕΡΡΩΝ,2019,35099,7778
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΣΕΡΡΩΝ,2020,28970,5439
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΣΕΡΡΩΝ,2021,35448,4472
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΣΕΡΡΩΝ,2022,54007.0,7063
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΣΕΡΡΩΝ,2023,61750.0,8420
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΣΕΡΡΩΝ,2024,57694.0,8552
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΧΑΛΚΙΔΙΚΗΣ,2019,108052,219460
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΧΑΛΚΙΔΙΚΗΣ,2020,71751,58070
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΧΑΛΚΙΔΙΚΗΣ,2021,118471,170093
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΧΑΛΚΙΔΙΚΗΣ,2022,172366.0,245892
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΧΑΛΚΙΔΙΚΗΣ,2023,195301.0,299656
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΧΑΛΚΙΔΙΚΗΣ,2024,204550.0,325509
ΚΡΗΤΗΣ,ΗΡΑΚΛΕΙΟΥ,2019,162230,588631
ΚΡΗΤΗΣ,ΗΡΑΚΛΕΙΟΥ,2020,109459,195990
ΚΡΗΤΗΣ,ΗΡΑΚΛΕΙΟΥ,2021,156851,493922
ΚΡΗΤΗΣ,ΗΡΑΚΛΕΙΟΥ,2022,241884.0,774411
ΚΡΗΤΗΣ,ΗΡΑΚΛΕΙΟΥ,2023,279300.0,872053
ΚΡΗΤΗΣ,ΗΡΑΚΛΕΙΟΥ,2024,298707.0,987466
ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,2019,50697,224783
ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,2020,30161,68164
ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,2021,47655,211246
ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,2022,73836.0,295658
ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,2023,85816.0,331327
ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,2024,91449.0,378043
ΚΡΗΤΗΣ,ΡΕΘΥΜΝΟΥ,2019,79883,246731
ΚΡΗΤΗΣ,ΡΕΘΥΜΝΟΥ,2020,45418,66210
ΚΡΗΤΗΣ,ΡΕΘΥΜΝΟΥ,2021,72940,184883
ΚΡΗΤΗΣ,ΡΕΘΥΜΝΟΥ,2022,118318.0,311043
ΚΡΗΤΗΣ,ΡΕΘΥΜΝΟΥ,2023,129561.0,348693
ΚΡΗΤΗΣ,ΡΕΘΥΜΝΟΥ,2024,140923.0,374827
ΚΡΗΤΗΣ,ΧΑΝΙΩΝ,2019,152035,348904
ΚΡΗΤΗΣ,ΧΑΝΙΩΝ,2020,83234,92608
ΚΡΗΤΗΣ,ΧΑΝΙΩΝ,2021,142479,253528
ΚΡΗΤΗΣ,ΧΑΝΙΩΝ,2022,232313.0,452993
ΚΡΗΤΗΣ,ΧΑΝΙΩΝ,2023,263235.0,501118
ΚΡΗΤΗΣ,ΧΑΝΙΩΝ,2024,277510.0,544219
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΑΝΔΡΟΥ,2019,9073,5758
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΑΝΔΡΟΥ,2020,6549,3748
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΑΝΔΡΟΥ,2021,10567,6270
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΑΝΔΡΟΥ,2022,13993.0,8261
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΑΝΔΡΟΥ,2023,15115.0,8331
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΑΝΔΡΟΥ,2024,14683.0,8007
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΘΗΡΑΣ,2019,135543,370193
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΘΗΡΑΣ,2020,43653,94012
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΘΗΡΑΣ,2021,123387,302131
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΘΗΡΑΣ,2022,216893.0,548436
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΘΗΡΑΣ,2023,227682.0,543732
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΘΗΡΑΣ,2024,212406.0,492378
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΑΛΥΜΝΟΥ,2019,20463,11722
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΑΛΥΜΝΟΥ,2020,12898,4562
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΑΛΥΜΝΟΥ,2021,21741,9076
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΑΛΥΜΝΟΥ,2022,32253.0,17902
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΑΛΥΜΝΟΥ,2023,42163.0,22625
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΑΛΥΜΝΟΥ,2024,43784.0,24482
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΑΡΠΑΘΟΥ,2019,9893,24985
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΑΡΠΑΘΟΥ,2020,3384,4165
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΑΡΠΑΘΟΥ,2021,8748,14890
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΑΡΠΑΘΟΥ,2022,14320.0,28801
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΑΡΠΑΘΟΥ,2023,15774.0,34751
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΑΡΠΑΘΟΥ,2024,18418.0,37082
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΕΑΣ - ΚΥΘΝΟΥ,2019,7347,3011
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΕΑΣ - ΚΥΘΝΟΥ,2020,6963,2105
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΕΑΣ - ΚΥΘΝΟΥ,2021,10837,3900
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΕΑΣ - ΚΥΘΝΟΥ,2022,14140.0,6315
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΕΑΣ - ΚΥΘΝΟΥ,2023,14891.0,6969
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΕΑΣ - ΚΥΘΝΟΥ,2024,16138.0,6758
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΩ,2019,48520,324232
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΩ,2020,23678,89952
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΩ,2021,44857,221564
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΩ,2022,83925.0,409161
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΩ,2023,96623.0,446349
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΩ,2024,108640.0,496001
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΜΗΛΟΥ,2019,23211,31334
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΜΗΛΟΥ,2020,16461,15553
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΜΗΛΟΥ,2021,32347,35328
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΜΗΛΟΥ,2022,44590.0,51468
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΜΗΛΟΥ,2023,48826.0,60290
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΜΗΛΟΥ,2024,52175.0,65161
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΜΥΚΟΝΟΥ,2019,131048,261827
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΜΥΚΟΝΟΥ,2020,49292,55097
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΜΥΚΟΝΟΥ,2021,147454,223302
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΜΥΚΟΝΟΥ,2022,233691.0,377723
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΜΥΚΟΝΟΥ,2023,197347.0,339903
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΜΥΚΟΝΟΥ,2024,182634.0,314077
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΝΑΞΟΥ,2019,40249,54170
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΝΑΞΟΥ,2020,19927,16951
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΝΑΞΟΥ,2021,38970,44613
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΝΑΞΟΥ,2022,62720.0,74782
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΝΑΞΟΥ,2023,69388.0,82932
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΝΑΞΟΥ,2024,78121.0,85726
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΠΑΡΟΥ,2019,50451,49124
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΠΑΡΟΥ,2020,25255,16980
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΠΑΡΟΥ,2021,57790,47751
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΠΑΡΟΥ,2022,91882.0,75797
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΠΑΡΟΥ,2023,104346.0,89077
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΠΑΡΟΥ,2024,108845.0,92801
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΡΟΔΟΥ,2019,144652,814992
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΡΟΔΟΥ,2020,74633,225749
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΡΟΔΟΥ,2021,129950,604741
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΡΟΔΟΥ,2022,228815.0,1051481
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΡΟΔΟΥ,2023,246534.0,1087198
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΡΟΔΟΥ,2024,288283.0,1347443
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΣΥΡΟΥ,2019,19920,10160
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΣΥΡΟΥ,2020,15355,5605
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΣΥΡΟΥ,2021,26332,10770
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΣΥΡΟΥ,2022,34079.0,15608
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΣΥΡΟΥ,2023,35781.0,17196
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΣΥΡΟΥ,2024,36931.0,19241
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΤΗΝΟΥ,2019,12656,7196
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΤΗΝΟΥ,2020,8079,3899
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΤΗΝΟΥ,2021,14992,7631
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΤΗΝΟΥ,2022,21553.0,11212
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΤΗΝΟΥ,2023,24734.0,13176
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΤΗΝΟΥ,2024,27711.0,13398
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΑΡΓΟΛΙΔΑΣ,2019,66871,36663
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΑΡΓΟΛΙΔΑΣ,2020,48985,16273
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΑΡΓΟΛΙΔΑΣ,2021,64752,28197
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΑΡΓΟΛΙΔΑΣ,2022,93046.0,40781
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΑΡΓΟΛΙΔΑΣ,2023,107624.0,45050
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΑΡΓΟΛΙΔΑΣ,2024,110714.0,47824
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΑΡΚΑΔΙΑΣ,2019,34250,6965
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΑΡΚΑΔΙΑΣ,2020,27086,5413
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΑΡΚΑΔΙΑΣ,2021,32339,5872
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΑΡΚΑΔΙΑΣ,2022,46102.0,9022
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΑΡΚΑΔΙΑΣ,2023,54964.0,10772
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΑΡΚΑΔΙΑΣ,2024,57027.0,11317
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΚΟΡΙΝΘΙΑΣ,2019,76101,16311
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΚΟΡΙΝΘΙΑΣ,2020,69670,8243
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΚΟΡΙΝΘΙΑΣ,2021,83885,12593
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΚΟΡΙΝΘΙΑΣ,2022,121269.0,22965
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΚΟΡΙΝΘΙΑΣ,2023,149846.0,30974
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΚΟΡΙΝΘΙΑΣ,2024,138523.0,34548
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΛΑΚΩΝΙΑΣ,2019,41572,22413
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΛΑΚΩΝΙΑΣ,2020,35129,14526
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΛΑΚΩΝΙΑΣ,2021,40994,21933
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΛΑΚΩΝΙΑΣ,2022,59153.0,32273
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΛΑΚΩΝΙΑΣ,2023,71403.0,36943
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΛΑΚΩΝΙΑΣ,2024,75124.0,41482
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΜΕΣΣΗΝΙΑΣ,2019,91228,42906
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΜΕΣΣΗΝΙΑΣ,2020,71231,22203
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΜΕΣΣΗΝΙΑΣ,2021,91959,35666
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΜΕΣΣΗΝΙΑΣ,2022,136352.0,52664
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΜΕΣΣΗΝΙΑΣ,2023,155507.0,58630
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΜΕΣΣΗΝΙΑΣ,2024,163596.0,64704
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΒΟΙΩΤΙΑΣ,2019,30926,6642
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΒΟΙΩΤΙΑΣ,2020,26672,3238
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΒΟΙΩΤΙΑΣ,2021,33504,5091
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΒΟΙΩΤΙΑΣ,2022,49218.0,9037
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΒΟΙΩΤΙΑΣ,2023,58224.0,9525
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΒΟΙΩΤΙΑΣ,2024,59970.0,10384
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΕΥΒΟΙΑΣ,2019,86331,29771
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΕΥΒΟΙΑΣ,2020,77242,18695
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΕΥΒΟΙΑΣ,2021,89092,24399
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΕΥΒΟΙΑΣ,2022,126783.0,36017
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΕΥΒΟΙΑΣ,2023,151011.0,49176
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΕΥΒΟΙΑΣ,2024,155630.0,48758
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΕΥΡΥΤΑΝΙΑΣ,2019,4313,2367
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΕΥΡΥΤΑΝΙΑΣ,2020,3407,1507
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΕΥΡΥΤΑΝΙΑΣ,2021,4081,2184
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΕΥΡΥΤΑΝΙΑΣ,2022,6674.0,3553
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΕΥΡΥΤΑΝΙΑΣ,2023,7431.0,4157
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΕΥΡΥΤΑΝΙΑΣ,2024,7949.0,4428
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,2019,46381,12466
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,2020,38578,6601
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,2021,44718,8512
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,2022,61160.0,11967
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,2023,74050.0,14374
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,2024,79120.0,15424
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΩΚΙΔΑΣ,2019,17529,8681
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΩΚΙΔΑΣ,2020,12734,3376
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΩΚΙΔΑΣ,2021,16196,5411
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΩΚΙΔΑΣ,2022,25053.0,9731
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΩΚΙΔΑΣ,2023,28479.0,11574
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΩΚΙΔΑΣ,2024,31002.0,12060
