NUTS2,NUTS3,Hotel_Arrivals_Natives,Hotel_Arrivals_Foreign,Hotel_Arrivals_Total,Hotel_Beds
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,ΣΥΝΟΛΟ,325594,305012,630606,22744
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΡΟΔΟΠΗΣ,45958,15974,61932,1471
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΔΡΑΜΑΣ,29215,5230,34445,1204
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΕΒΡΟΥ,97956,53640,151596,3861
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΘΑΣΟΥ,33428,135776,169204,11536
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΑΒΑΛΑΣ,60870,81110,141980,3318
ΑΝΑΤΟΛΙΚΗ ΜΑΚΕΔΟΝΙΑ & ΘΡΑΚΗ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΞΑΝΘΗΣ,58167,13282,71449,1354
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,ΣΥΝΟΛΟ,1063013,1730733,2793746,96476
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΘΕΣΣΑΛΟΝΙΚΗΣ,599510,566096,1165606,16254
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΗΜΑΘΙΑΣ,34686,7489,42175,1548
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΙΛΚΙΣ,9984,4364,14348,1034
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΠΕΛΛΑΣ,69056,6507,75563,2743
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΠΙΕΡΙΑΣ,109795,232807,342602,21116
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΣΕΡΡΩΝ,64505,22560,87065,2513
ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΧΑΛΚΙΔΙΚΗΣ,175477,890910,1066387,51268
ΔΥΤΙΚΗ ΜΑΚΕΔΟΝΙΑ,ΣΥΝΟΛΟ,109168,17222,126390,6589
ΔΥΤΙΚΗ ΜΑΚΕΔΟΝΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΟΖΑΝΗΣ,44900,4771,49671,1776
ΔΥΤΙΚΗ ΜΑΚΕΔΟΝΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΓΡΕΒΕΝΩΝ,5916,820,6736,1313
ΔΥΤΙΚΗ ΜΑΚΕΔΟΝΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΑΣΤΟΡΙΑΣ,44043,9867,53910,2000
ΔΥΤΙΚΗ ΜΑΚΕΔΟΝΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΦΛΩΡΙΝΑΣ,14309,1764,16073,1500
ΘΕΣΣΑΛΙΑ,ΣΥΝΟΛΟ,546844,393909,940753,29884
ΘΕΣΣΑΛΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΛΑΡΙΣΑΣ,83368,16590,99958,2724
ΘΕΣΣΑΛΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΑΡΔΙΤΣΑΣ,63048,11620,74668,1996
ΘΕΣΣΑΛΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΜΑΓΝΗΣΙΑΣ,233076,69514,302590,9600
ΘΕΣΣΑΛΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΣΠΟΡΑΔΩΝ,39650,115461,155111,10891
ΘΕΣΣΑΛΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΤΡΙΚΑΛΩΝ,127702,180724,308426,4673
ΗΠΕΙΡΟΣ,ΣΥΝΟΛΟ,406281,185681,591962,19095
ΗΠΕΙΡΟΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΙΩΑΝΝΙΝΩΝ,288248,88440,376688,8417
ΗΠΕΙΡΟΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΡΤΑΣ,27452,3946,31398,758
ΗΠΕΙΡΟΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΘΕΣΠΡΩΤΙΑΣ,34741,44309,79050,3831
ΗΠΕΙΡΟΣ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΠΡΕΒΕΖΑΣ,55840,48986,104826,6089
ΙΟΝΙΑ ΝΗΣΙΑ,ΣΥΝΟΛΟ,265106,1864203,2129309,106404
ΙΟΝΙΑ ΝΗΣΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΕΡΚΥΡΑΣ,134557,1040393,1174950,51478
ΙΟΝΙΑ ΝΗΣΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΖΑΚΥΝΘΟΥ,66698,580561,647259,37074
ΙΟΝΙΑ ΝΗΣΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΙΘΑΚΗΣ,3258,3747,7005,265
ΙΟΝΙΑ ΝΗΣΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΕΦΑΛΛΗΝΙΑΣ,39031,174600,213631,11604
ΙΟΝΙΑ ΝΗΣΙΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΛΕΥΚΑΔΑΣ,21562,64902,86464,5983
ΔΥΤΙΚΗ ΕΛΛΑΔΑ,ΣΥΝΟΛΟ,412509,255870,668379,20825
ΔΥΤΙΚΗ ΕΛΛΑΔΑ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΧΑΙΑΣ,212196,73782,285978,7632
