Year,NUTS,NUTS_el,GFCF_GHI,GFCF_Total
2003,Sterea Ellada,Στερεά Ελλάδα,96.37896096314861,3354.192094468826
2003,Peloponnisos,Πελοπόννησος,136.75159443209645,2468.5094299980706
2004,ELLADA,ΕΛΛΑΔΑ,6155.785718695536,47311.16063684455
2004,ATTIKI,ATTΙΚΗ,4045.596162270659,16901.030725842516
2004,Attiki,Αττική,4045.596162270659,16901.030725842516
2004,"NISIA AIGAIOU, KRITI","ΝΗΣΙΑ ΑΙΓΑΙΟΥ, ΚΡΗΤΗ",374.7732033828378,4512.186799704705
2004,Voreio Aigaio,Βόρειο Αιγαίο,36.599385462964804,657.7620461410974
2004,Notio Aigaio,Νότιο Αιγαίο,153.49811829120324,1320.285135444845
2004,Kriti,Κρήτη,184.67569962866972,2534.1396181187624
2004,VOREIA ELLADA,ΒΟΡΕΙΑ ΕΛΛΑΔΑ,1062.799431373829,13526.227880664514
2004,"Anatoliki Makedonia, Thraki","Ανατολική Μακεδονία, Θράκη",76.93255435913505,2146.2686922440075
2004,Kentriki Makedonia,Κεντρική Μακεδονία,886.1392597387952,8787.172032105267
2004,Dytiki Makedonia,Δυτική Μακεδονία,45.21374286818378,1312.8934412861543
2004,Ipeiros,Ήπειρος,54.513874407715186,1279.8937150290876
2004,KENTRIKI ELLADA,ΚΕΝΤΡΙΚΗ ΕΛΛΑΔΑ,672.6169216682107,12371.715230632813
2004,Thessalia,Θεσσαλία,181.16564357489827,2940.5989958964537
2004,Ionia Nisia,Ιόνια Νησιά,80.78189833096776,944.7536855035016
2004,Dytiki Ellada,Δυτική Ελλάδα,183.71119044080726,2284.6577941283826
2004,Sterea Ellada,Στερεά Ελλάδα,104.32687418880576,3433.2610267004384
2004,Peloponnisos,Πελοπόννησος,122.63131513273174,2768.4437284040364
2005,ELLADA,ΕΛΛΑΔΑ,4994.441699494041,41597.53075370176
2005,ATTIKI,ATTΙΚΗ,3269.680489788466,15427.709560037845
2005,Attiki,Αττική,3269.680489788466,15427.709560037845
2005,"NISIA AIGAIOU, KRITI","ΝΗΣΙΑ ΑΙΓΑΙΟΥ, ΚΡΗΤΗ",369.6488181606684,3935.6014552541637
2005,Voreio Aigaio,Βόρειο Αιγαίο,28.598104966119323,566.6738526486323
2005,Notio Aigaio,Νότιο Αιγαίο,152.5980231458781,1140.703739277554
2005,Kriti,Κρήτη,188.45269004867092,2228.2238633279776
2005,VOREIA ELLADA,ΒΟΡΕΙΑ ΕΛΛΑΔΑ,907.2469510407624,11726.75218355558
2005,"Anatoliki Makedonia, Thraki","Ανατολική Μακεδονία, Θράκη",83.0493565913222,1900.3637212153315
2005,Kentriki Makedonia,Κεντρική Μακεδονία,687.1676184309196,7185.76850787827
2005,Dytiki Makedonia,Δυτική Μακεδονία,59.83239110535431,1441.4487899021294
2005,Ipeiros,Ήπειρος,77.19758491316625,1199.1711645598505
2005,KENTRIKI ELLADA,ΚΕΝΤΡΙΚΗ ΕΛΛΑΔΑ,447.86544050414506,10507.467554854167
2005,Thessalia,Θεσσαλία,96.03548882235982,2475.954007505198
2005,Ionia Nisia,Ιόνια Νησιά,48.99574494759529,697.5115517801463
2005,Dytiki Ellada,Δυτική Ελλάδα,100.44174238650366,2076.8885739593757
2005,Sterea Ellada,Στερεά Ελλάδα,72.76817822411724,2822.3662136804537
2005,Peloponnisos,Πελοπόννησος,129.62428612356908,2434.7472079289932
2006,ELLADA,ΕΛΛΑΔΑ,7085.824658387053,51552.99095020719
2006,ATTIKI,ATTΙΚΗ,4819.147521119664,18689.045698914793
2006,Attiki,Αττική,4819.147521119664,18689.045698914793
2006,"NISIA AIGAIOU, KRITI","ΝΗΣΙΑ ΑΙΓΑΙΟΥ, ΚΡΗΤΗ",414.46023834350905,4931.098719340441
2006,Voreio Aigaio,Βόρειο Αιγαίο,38.6519157991795,646.3899458232315
2006,Notio Aigaio,Νότιο Αιγαίο,183.43307458929303,1484.6923843776506
2006,Kriti,Κρήτη,192.37524795503646,2800.0163891395596
2006,VOREIA ELLADA,ΒΟΡΕΙΑ ΕΛΛΑΔΑ,970.3114313978193,14339.383650373908
2006,"Anatoliki Makedonia, Thraki","Ανατολική Μακεδονία, Θράκη",85.72090682000015,2319.04018472525
2006,Kentriki Makedonia,Κεντρική Μακεδονία,793.2909972249072,8946.21858982444
2006,Dytiki Makedonia,Δυτική Μακεδονία,44.09821403147093,1672.2635477938486
2006,Ipeiros,Ήπειρος,47.20131332144113,1401.8613280303678
2006,KENTRIKI ELLADA,ΚΕΝΤΡΙΚΗ ΕΛΛΑΔΑ,881.9054675260644,13593.462881578054
2006,Thessalia,Θεσσαλία,260.56058953802443,3031.6460322528983
2006,Ionia Nisia,Ιόνια Νησιά,62.654261845383346,966.6482009002095
2006,Dytiki Ellada,Δυτική Ελλάδα,293.67305386999095,2581.4660742747765
2006,Sterea Ellada,Στερεά Ελλάδα,120.36984079407556,4052.492776849248
2006,Peloponnisos,Πελοπόννησος,144.64772147859,2961.2097973009195
2007,ELLADA,ΕΛΛΑΔΑ,8420.900212097928,58537.90214561331
2007,ATTIKI,ATTΙΚΗ,5401.999132857267,20631.347304965857
2007,Attiki,Αττική,5401.999132857267,20631.347304965857
2007,"NISIA AIGAIOU, KRITI","ΝΗΣΙΑ ΑΙΓΑΙΟΥ, ΚΡΗΤΗ",653.0000733712475,6364.237934179315
2007,Voreio Aigaio,Βόρειο Αιγαίο,71.02196486143673,875.6649445306413
2007,Notio Aigaio,Νότιο Αιγαίο,170.16315497691252,1742.7245066517555
2007,Kriti,Κρήτη,411.81495353289824,3745.8484829969184
2007,VOREIA ELLADA,ΒΟΡΕΙΑ ΕΛΛΑΔΑ,1509.7179429011162,17058.144696532894
2007,"Anatoliki Makedonia, Thraki","Ανατολική Μακεδονία, Θράκη",94.7568846700717,2866.7166244055265
2007,Kentriki Makedonia,Κεντρική Μακεδονία,1294.5515785598557,10766.974836490925
2007,Dytiki Makedonia,Δυτική Μακεδονία,46.06894208154384,1852.703020598425
2007,Ipeiros,Ήπειρος,74.34053758964492,1571.7502150380162
2007,KENTRIKI ELLADA,ΚΕΝΤΡΙΚΗ ΕΛΛΑΔΑ,856.1830629682973,14484.172209935241
2007,Thessalia,Θεσσαλία,244.35194318276524,3493.803886840695
2007,Ionia Nisia,Ιόνια Νησιά,143.52477415559602,1151.4655627652012
2007,Dytiki Ellada,Δυτική Ελλάδα,149.8883520512172,2752.738937764084
2007,Sterea Ellada,Στερεά Ελλάδα,164.96147516455494,4028.5333961109645
2007,Peloponnisos,Πελοπόννησος,153.456518414164,3057.6304264542982
2008,ELLADA,ΕΛΛΑΔΑ,7775.533894880615,55579.26374540702
2008,ATTIKI,ATTΙΚΗ,5685.350119654338,20331.415631470452
2008,Attiki,Αττική,5685.350119654338,20331.415631470452
2008,"NISIA AIGAIOU, KRITI","ΝΗΣΙΑ ΑΙΓΑΙΟΥ, ΚΡΗΤΗ",740.4927237434368,6603.56225889609
2008,Voreio Aigaio,Βόρειο Αιγαίο,67.45836722306488,924.675841098387
2008,Notio Aigaio,Νότιο Αιγαίο,285.7457254091805,2059.332524335963
2008,Kriti,Κρήτη,387.2886311111916,3619.55389346174
2008,VOREIA ELLADA,ΒΟΡΕΙΑ ΕΛΛΑΔΑ,674.8791412347031,14923.331408558586
2008,"Anatoliki Makedonia, Thraki","Ανατολική Μακεδονία, Θράκη",108.53939219435193,2764.317956690579
2008,Kentriki Makedonia,Κεντρική Μακεδονία,457.2494477542332,8121.005569116158
2008,Dytiki Makedonia,Δυτική Μακεδονία,37.23682848035853,2296.404983657335
2008,Ipeiros,Ήπειρος,71.85347280575938,1741.602899094513
2008,KENTRIKI ELLADA,ΚΕΝΤΡΙΚΗ ΕΛΛΑΔΑ,674.8119102481334,13720.954446481881
2008,Thessalia,Θεσσαλία,158.41215568932182,3220.1800753980638
2008,Ionia Nisia,Ιόνια Νησιά,123.45075863265225,1040.6495653785746
2008,Dytiki Ellada,Δυτική Ελλάδα,116.23614839912,3046.591475507565
2008,Sterea Ellada,Στερεά Ελλάδα,143.90896555639844,3410.3931408004837
2008,Peloponnisos,Πελοπόννησος,132.80388197064102,3003.140189397196
2009,ELLADA,ΕΛΛΑΔΑ,5288.856848779946,47891.90161145665
2009,ATTIKI,ATTΙΚΗ,3883.6334056435912,18851.10114547103
2009,Attiki,Αττική,3883.6334056435912,18851.10114547103
2009,"NISIA AIGAIOU, KRITI","ΝΗΣΙΑ ΑΙΓΑΙΟΥ, ΚΡΗΤΗ",399.09096904399814,4838.474835319722
2009,Voreio Aigaio,Βόρειο Αιγαίο,56.56231428997628,508.36068634344724
2009,Notio Aigaio,Νότιο Αιγαίο,117.00750503855389,1486.621856861894
2009,Kriti,Κρήτη,225.521149715468,2843.4922921143807
2009,VOREIA ELLADA,ΒΟΡΕΙΑ ΕΛΛΑΔΑ,628.1718062064265,12397.731159018593
2009,"Anatoliki Makedonia, Thraki","Ανατολική Μακεδονία, Θράκη",62.06910921706783,1814.4809744287008
2009,Kentriki Makedonia,Κεντρική Μακεδονία,481.3167275614229,6427.017255814565
2009,Dytiki Makedonia,Δυτική Μακεδονία,40.629262237556006,2713.396968362535
2009,Ipeiros,Ήπειρος,44.15670719037974,1442.8359604127945
2009,KENTRIKI ELLADA,ΚΕΝΤΡΙΚΗ ΕΛΛΑΔΑ,377.96066788592935,11804.594471647306
2009,Thessalia,Θεσσαλία,87.9399136083971,2975.085915490088
2009,Ionia Nisia,Ιόνια Νησιά,71.09119144917676,695.7631759295081
2009,Dytiki Ellada,Δυτική Ελλάδα,71.04076794767909,3356.161230987074
2009,Sterea Ellada,Στερεά Ελλάδα,68.3282752735444,2519.5179279803833
2009,Peloponnisos,Πελοπόννησος,79.56051960713208,2258.0662212602524
2010,ELLADA,ΕΛΛΑΔΑ,5493.4525910943785,37608.04911327612
2010,ATTIKI,ATTΙΚΗ,3272.3603574887097,12797.12401041121
2010,Attiki,Αττική,3272.3603574887097,12797.12401041121
2010,"NISIA AIGAIOU, KRITI","ΝΗΣΙΑ ΑΙΓΑΙΟΥ, ΚΡΗΤΗ",591.1145838248652,4569.743618735674
2010,Voreio Aigaio,Βόρειο Αιγαίο,50.58003470626143,605.0863786979284
2010,Notio Aigaio,Νότιο Αιγαίο,231.5745984505957,1417.5889931955735
2010,Kriti,Κρήτη,308.95995066800805,2547.0682468421724
2010,VOREIA ELLADA,ΒΟΡΕΙΑ ΕΛΛΑΔΑ,856.7561480039991,9743.953696396964
2010,"Anatoliki Makedonia, Thraki","Ανατολική Μακεδονία, Θράκη",154.63672973038922,1758.8387480449826
2010,Kentriki Makedonia,Κεντρική Μακεδονία,592.720520329533,5451.331012176972
2010,Dytiki Makedonia,Δυτική Μακεδονία,58.332837047186814,1369.2775005437627
2010,Ipeiros,Ήπειρος,51.066060896890086,1164.5064356312448
2010,KENTRIKI ELLADA,ΚΕΝΤΡΙΚΗ ΕΛΛΑΔΑ,773.2215017768044,10497.22778773228
2010,Thessalia,Θεσσαλία,118.65799535731193,2008.2923495352109
2010,Ionia Nisia,Ιόνια Νησιά,101.45204700716111,788.7031683916347
2010,Dytiki Ellada,Δυτική Ελλάδα,199.61531099761524,2444.6200317196453
2010,Sterea Ellada,Στερεά Ελλάδα,131.40619763288782,2706.4555205175966
2010,Peloponnisos,Πελοπόννησος,222.08995078182824,2549.156717568192
2011,ELLADA,ΕΛΛΑΔΑ,3716.78365351035,28213.018747194288
2011,ATTIKI,ATTΙΚΗ,2076.526191494088,9631.730055327718
2011,Attiki,Αττική,2076.526191494088,9631.730055327718
2011,"NISIA AIGAIOU, KRITI","ΝΗΣΙΑ ΑΙΓΑΙΟΥ, ΚΡΗΤΗ",448.72422002575064,3458.055324927509
2011,Voreio Aigaio,Βόρειο Αιγαίο,33.69943677284548,532.3704542541432
2011,Notio Aigaio,Νότιο Αιγαίο,209.97397409615613,1188.6896954589047
2011,Kriti,Κρήτη,205.05080915674898,1736.9951752144618
2011,VOREIA ELLADA,ΒΟΡΕΙΑ ΕΛΛΑΔΑ,774.405263176,7241.251276963651
2011,"Anatoliki Makedonia, Thraki","Ανατολική Μακεδονία, Θράκη",102.97109341037063,1300.5788642553314
2011,Kentriki Makedonia,Κεντρική Μακεδονία,581.812059568072,4292.671572416766
2011,Dytiki Makedonia,Δυτική Μακεδονία,18.908320605859732,773.7802855563798
2011,Ipeiros,Ήπειρος,70.71378959169782,874.2205547351748
2011,KENTRIKI ELLADA,ΚΕΝΤΡΙΚΗ ΕΛΛΑΔΑ,417.1279788145116,7881.982089975405
2011,Thessalia,Θεσσαλία,130.72510997221062,1615.492677183487
2011,Ionia Nisia,Ιόνια Νησιά,58.379818613075486,596.3036407672221
2011,Dytiki Ellada,Δυτική Ελλάδα,70.1508823107725,1517.9798447277487
2011,Sterea Ellada,Στερεά Ελλάδα,77.57497798907451,2251.8780965508518
2011,Peloponnisos,Πελοπόννησος,80.29718992937849,1900.3278307460962
2012,ELLADA,ΕΛΛΑΔΑ,2386.6560115000652,22827.546466162705
2012,ATTIKI,ATTΙΚΗ,1676.0657304534304,8021.9061403503265
2012,Attiki,Αττική,1676.0657304534304,8021.9061403503265
2012,"NISIA AIGAIOU, KRITI","ΝΗΣΙΑ ΑΙΓΑΙΟΥ, ΚΡΗΤΗ",188.6802811724065,2525.1752342176164
2012,Voreio Aigaio,Βόρειο Αιγαίο,11.968199446799547,419.02591493600954
2012,Notio Aigaio,Νότιο Αιγαίο,89.78428254211364,842.9148073047724
2012,Kriti,Κρήτη,86.92779918349328,1263.2345119768347
2012,VOREIA ELLADA,ΒΟΡΕΙΑ ΕΛΛΑΔΑ,340.1065872611423,6955.833289806508
2012,"Anatoliki Makedonia, Thraki","Ανατολική Μακεδονία, Θράκη",35.867441757316165,973.4039340706119
2012,Kentriki Makedonia,Κεντρική Μακεδονία,261.3089893120496,4458.861131639065
2012,Dytiki Makedonia,Δυτική Μακεδονία,22.320479000998443,999.8209635157799
2012,Ipeiros,Ήπειρος,20.6096771907781,523.7472605810515
2012,KENTRIKI ELLADA,ΚΕΝΤΡΙΚΗ ΕΛΛΑΔΑ,181.80341261308584,5324.631801788254
2012,Thessalia,Θεσσαλία,21.190317471948898,912.3922745039465
2012,Ionia Nisia,Ιόνια Νησιά,40.2652539734967,429.1155576884836
2012,Dytiki Ellada,Δυτική Ελλάδα,26.614293453232168,1114.5974145792864
2012,Sterea Ellada,Στερεά Ελλάδα,67.50219795433846,1613.8900699420306
2012,Peloponnisos,Πελοπόννησος,26.23134976006962,1254.6364850745076
2013,ELLADA,ΕΛΛΑΔΑ,2435.722015856726,20547.629334783145
2013,ATTIKI,ATTΙΚΗ,1650.0386973051618,6755.873441025304
2013,Attiki,Αττική,1650.0386973051618,6755.873441025304
