NUTS2,NUTS3,Hotel_Stays_Natives,Hotel_Stays_Foreign,Hotel_Stays_Total,Hotel_Beds,Hotel_Occupancy
ΓΕΝΙΚΟ ΣΥΝΟΛΟ ΕΛΛΑΔΑΣ,,17835010,99043390,116878400,900109,50.6
ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΣΥΝΟΛΟ,791611,1614990,2406601,22595,44.1
ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΡΟΔΟΠΗΣ,115156,49308,164464,1359,36.9
ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΡΑΜΑΣ,69329,15987,85316,1107,24.7
ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΕΒΡΟΥ,230923,212621,443544,3921,38.8
ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΘΑΣΟΥ,120923,1007492,1128415,11575,52.3
ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΚΑΒΑΛΑΣ,129059,294778,423837,3442,44.5
ΑΝΑΤΟΛΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΞΑΝΘΗΣ,126221,34804,161025,1191,38.8
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΣΥΝΟΛΟ,2740555,8922223,11662778,96294,49.4
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,1341749,1664505,3006254,16598,54.5
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΗΜΑΘΙΑΣ,68666,79261,147927,1174,40.8
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΙΛΚΙΣ,31691,99167,130858,869,44.5
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΕΛΛΑΣ,156502,25749,182251,2588,22.9
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΠΙΕΡΙΑΣ,385520,1412372,1797892,20472,43.1
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΣΕΡΡΩΝ,156135,160018,316153,2221,46.7
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΧΑΛΚΙΔΙΚΗΣ,600292,5481151,6081443,52372,51.5
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΣΥΝΟΛΟ,258093,39527,297620,6049,19.2
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΟΖΑΝΗΣ,109302,16514,125816,1537,25.9
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΓΡΕΒΕΝΩΝ,12141,1607,13748,1243,7.4
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΚΑΣΤΟΡΙΑΣ,93407,17161,110568,1842,23.7
ΔΥΤΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,ΦΛΩΡΙΝΑΣ,43243,4245,47488,1427,11.4
ΗΠΕΙΡΟΥ,ΣΥΝΟΛΟ,1057472,828796,1886268,18068,40
ΗΠΕΙΡΟΥ,ΙΩΑΝΝΙΝΩΝ,736174,174587,910761,7909,36.5
ΗΠΕΙΡΟΥ,ΑΡΤΑΣ,70361,11547,81908,685,36.6
ΗΠΕΙΡΟΥ,ΘΕΣΠΡΩΤΙΑΣ,87699,290969,378668,3831,45.4
ΗΠΕΙΡΟΥ,ΠΡΕΒΕΖΑΣ,163238,351693,514931,5643,44.2
ΘΕΣΣΑΛΙΑΣ,ΣΥΝΟΛΟ,1255742,1441211,2696953,28822,37.8
ΘΕΣΣΑΛΙΑΣ,ΛΑΡΙΣΑΣ,188245,87184,275429,2548,38
ΘΕΣΣΑΛΙΑΣ,ΚΑΡΔΙΤΣΑΣ,125320,23603,148923,1416,33
ΘΕΣΣΑΛΙΑΣ,ΜΑΓΝΗΣΙΑΣ,579409,225245,804654,9642,33.3
ΘΕΣΣΑΛΙΑΣ,ΣΠΟΡΑΔΩΝ,141773,807288,949061,10566,44.6
ΘΕΣΣΑΛΙΑΣ,ΤΡΙΚΑΛΩΝ,220995,297891,518886,4650,36.6
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΣΥΝΟΛΟ,1207968,1016463,2224431,28514,33.1
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,197487,100486,297973,5884,25.2
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΒΟΙΩΤΙΑΣ,109950,66363,176313,1666,34.3
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΕΥΒΟΙΑΣ,644168,559506,1203674,15417,35.5
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΕΥΡΥΤΑΝΙΑΣ,95589,3145,98734,1675,20.2
ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΩΚΙΔΑΣ,160774,286963,447737,3872,38.8
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΣΥΝΟΛΟ,923921,13403976,14327897,105850,61.1
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΚΕΡΚΥΡΑΣ,497194,7058108,7555302,49850,66.3
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΖΑΚΥΝΘΟΥ,217799,4755720,4973519,38783,58.1
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΙΘΑΚΗΣ,9110,17656,26766,265,37.6
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΚΕΦΑΛΛΗΝΙΑΣ,119493,1102222,1221715,11194,52.9
ΙΟΝΙΩΝ ΝΗΣΩΝ,ΛΕΥΚΑΔΑΣ,80325,470270,550595,5758,48.7
ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΣΥΝΟΛΟ,953371,1123758,2077129,20271,35.9
ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΑΧΑΪΑΣ,485115,361317,846432,7516,38.4
ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,223668,168622,392290,4165,35.6
ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ,ΗΛΕΙΑΣ,244588,593819,838407,8590,33.9
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΣΥΝΟΛΟ,2108429,2018211,4126640,40172,39.3
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΑΡΚΑΔΙΑΣ,136102,27745,163847,3103,19.4
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΑΡΓΟΛΙΔΑΣ,590835,607030,1197865,11425,46.1
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΚΟΡΙΝΘΙΑΣ,402226,418300,820526,7247,40.9
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΛΑΚΩΝΙΑΣ,353217,218524,571741,6450,33
ΠΕΛΟΠΟΝΝΗΣΟΥ,ΜΕΣΣΗΝΙΑΣ,626049,746612,1372661,11947,41.4
ΑΤΤΙΚΗΣ,ΣΥΝΟΛΟ,2817308,8779633,11596941,72114,52
ΑΤΤΙΚΗΣ,ΚΕΝΤΡΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,1465688,6147422,7613110,37097,60.4
ΑΤΤΙΚΗΣ,ΒΟΡΕΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,172299,145969,318268,2275,39.5
ΑΤΤΙΚΗΣ,ΔΥΤΙΚΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,16035,5079,21114,563,13.5
ΑΤΤΙΚΗΣ,ΝΟΤΙΟΥ ΤΟΜΕΑ ΑΘΗΝΩΝ,295372,577156,872528,6281,46.7
ΑΤΤΙΚΗΣ,ΑΝΑΤΟΛΙΚΗΣ ΑΤΤΙΚΗΣ,314232,1142618,1456850,12826,39.5
