NUTS2,NUTS3,Hotel_Stays_Natives,Hotel_Stays_Foreign,Hotel_Stays_Total,Hotel_Beds,Hotel_Occupancy
ΑΤΤΙΚΗΣ,ΔΥΤΙΚΗΣ ΑΤΤΙΚΗΣ,36706,112038,148744,1263,45.8
ΑΤΤΙΚΗΣ,ΠΕΙΡΑΙΩΣ,241428,403460,644888,4032,51.8
ΑΤΤΙΚΗΣ,ΝΗΣΩΝ,275548,245891,521439,7777,32.8
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΣΥΝΟΛΟ,492003,1686031,2178034,23353,39.6
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΕΣΒΟΥ,175828,492015,667843,6861,39.1
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΙΚΑΡΙΑΣ,35962,26745,62707,965,29
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΗΜΝΟΥ,55211,125330,180541,2161,34.4
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΣΑΜΟΥ,129473,915702,1045175,10615,45.5
ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΧΙΟΥ,95529,126239,221768,2751,29.7
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΣΥΝΟΛΟ,1847309,30600629,32447938,237935,53.3
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΣΥΡΟΥ,124632,108822,233454,2427,42.9
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΑΝΔΡΟΥ,63229,43478,106707,1345,34.1
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΘΗΡΑΣ,193642,2153785,2347427,20752,48.5
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΑΛΥΜΝΟΥ,84097,281906,366003,5214,32.3
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΑΡΠΑΘΟΥ - ΗΡΩΙΚΗΣ ΝΗΣΟΥ ΚΑΣΟΥ,46924,556624,603548,6455,47.6
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΕΑΣ - ΚΥΘΝΟΥ,25247,27908,53155,887,26.2
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΚΩ,253012,8478223,8731235,59073,57.2
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΜΗΛΟΥ,63263,153748,217011,2998,38.6
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΜΥΚΟΝΟΥ,134032,1778161,1912193,17349,46.1
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΝΑΞΟΥ,109225,509717,618942,7879,40.4
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΠΑΡΟΥ,131007,534585,665592,7681,43.7
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΡΟΔΟΥ,532910,15924861,16457771,103556,56.9
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,ΤΗΝΟΥ,86089,48811,134900,2319,23.8
ΚΡΗΤΗΣ,ΣΥΝΟΛΟ,1381228,27567942,28949170,200072,54
ΚΡΗΤΗΣ,ΗΡΑΚΛΕΙΟΥ,497836,12215787,12713623,81572,55.8
ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,161763,3457415,3619178,27588,48.7
ΚΡΗΤΗΣ,ΡΕΘΥΜΝΟΥ,283640,5058762,5342402,36876,55.8
