NUTS2,NUTS3,Hotel_Stays_Natives,Hotel_Stays_Foreign,Hotel_Stays_Total,Hotel_Beds,Hotel_Occupancy
ΝΟΤΙΟ ΑΙΓΑΙΟ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΑΝΔΡΟΥ,56389,35581,91970,1452,24.6
ΝΟΤΙΟ ΑΙΓΑΙΟ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΘΗΡΑΣ,193724,1670166,1863890,17748,48.9
ΝΟΤΙΟ ΑΙΓΑΙΟ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΑΛΥΜΝΟΥ,99008,230524,329532,5574,26.7
ΝΟΤΙΟ ΑΙΓΑΙΟ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΑΡΠΑΘΟΥ,39354,536920,576274,6040,45.6
ΝΟΤΙΟ ΑΙΓΑΙΟ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΕΑΣ-ΚΥΘΝΟΥ,21652,16100,37752,527,25.9
ΝΟΤΙΟ ΑΙΓΑΙΟ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΚΩ,257632,7981305,8238937,61911,67
ΝΟΤΙΟ ΑΙΓΑΙΟ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΜΗΛΟΥ,59679,119414,179093,2778,28.7
ΝΟΤΙΟ ΑΙΓΑΙΟ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΜΥΚΟΝΟΥ,112705,1579038,1691743,13739,58.3
ΝΟΤΙΟ ΑΙΓΑΙΟ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΝΑΞΟΥ,122524,434553,557077,6916,36.8
ΝΟΤΙΟ ΑΙΓΑΙΟ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΠΑΡΟΥ,115434,450363,565797,7575,38.2
ΝΟΤΙΟ ΑΙΓΑΙΟ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΡΟΔΟΥ,594332,14735326,15329658,110394,65.7
ΝΟΤΙΟ ΑΙΓΑΙΟ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΤΗΝΟΥ,119195,30003,149198,2340,25.6
ΚΡΗΤΗ,ΣΥΝΟΛΟ,1131173,27871922,29003095,209557,61.7
ΚΡΗΤΗ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΗΡΑΚΛΕΙΟΥ,393056,12262179,12655235,89022,65.4
ΚΡΗΤΗ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΛΑΣΙΘΙΟΥ,146708,3786189,3932897,29505,59
ΚΡΗΤΗ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΡΕΘΥΜΝΟΥ,229299,4951365,5180664,36452,61
ΚΡΗΤΗ,ΠΕΡΙΦΕΡΕΙΑΚΗ ΕΝΟΤΗΤΑ ΧΑΝΙΩΝ,362110,6872189,7234299,54578,58
