NUTS,Year,GVA,Total
Evrytania,2001,33.287446,158.197439
Fthiotida,2001,348.328396,1873.222044
Fokida,2001,82.765552,369.688916
Peloponnisos,2001,1331.738865,6059.402822
Argolida,2001,275.764303,1075.08399
Arkadia,2001,198.633516,1032.467047
Korinthia,2001,365.391697,1639.332882
Lakonia,2001,215.112804,850.947505
Messinia,2001,276.836545,1461.571399
ELLADA,2002,34257.052727,141238.87738
ATTIKI,2002,14575.007686,65329.791278
Attiki,2002,14575.007686,65329.791278
Voreios Tomeas Athinon,2002,1979.083783,10470.697526
Dytikos Tomeas Athinon,2002,1317.441919,4873.907039
Kentrikos Tomeas Athinon,2002,4886.225861,24710.952301
Notios Tomeas Athinon,2002,2201.999587,7909.515088
Anatoliki Attiki,2002,1281.700941,6110.661842
Dytiki Attiki,2002,558.206036,3227.431738
"Peiraias, Nisoi",2002,2350.349559,8026.625744
"NISIA AIGAIOU, KRITI",2002,4910.526654,13136.588954
Voreio Aigaio,2002,578.45098,1795.619277
"Lesvos, Limnos",2002,294.058062,930.950439
"Ikaria, Samos",2002,146.297449,379.629019
Chios,2002,138.095469,485.039819
Notio Aigaio,2002,1998.358383,4340.97546
"Kalymnos, Karpathos, Kos, Rodos",2002,1159.714055,2498.246428
"Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos",2002,838.644328,1842.729032
Kriti,2002,2333.717292,6999.994216
Irakleio,2002,1184.555855,3420.76573
Lasithi,2002,251.532788,841.080527
Rethymni,2002,335.598671,980.487873
Chania,2002,562.029979,1757.660086
VOREIA ELLADA,2002,7635.84008,31922.336567
"Anatoliki Makedonia, Thraki",2002,1298.638296,5695.013711
Evros,2002,303.188237,1286.684504
Xanthi,2002,182.369878,968.911015
Rodopi,2002,178.81865,1069.896927
Drama,2002,197.52202,918.591446
"Thasos, Kavala",2002,436.739512,1450.929817
Kentriki Makedonia,2002,5092.238289,19619.762484
Imathia,2002,336.757752,1423.347419
Thessaloniki,2002,3314.659296,12540.663835
Kilkis,2002,118.359216,770.992206
Pella,2002,283.956232,1341.412651
Pieria,2002,355.361552,1065.819944
Serres,2002,304.119666,1389.259782
Chalkidiki,2002,379.024575,1088.266647
Dytiki Makedonia,2002,463.533005,3259.113661
Grevena,2002,35.251885,269.239233
Kozani,2002,264.930709,1929.280447
Kastoria,2002,95.507538,433.057989
Florina,2002,67.842873,627.535991
Ipeiros,2002,781.43049,3348.446712
Arta,2002,113.446496,614.711391
Preveza,2002,142.152049,544.730588
Thesprotia,2002,183.462391,585.408304
Ioannina,2002,342.369553,1603.596429
KENTRIKI ELLADA,2002,7135.678307,30850.160581
Thessalia,2002,1663.606501,7536.602596
Karditsa,2002,194.325564,967.298754
Trikala,2002,259.143779,1179.347824
Larisa,2002,567.275093,3188.64303
Magnisia,2002,642.862065,2201.312989
Ionia Nisia,2002,1195.075277,2547.889958
Zakynthos,2002,296.23236,585.453236
Kerkyra,2002,609.912573,1290.141915
"Ithaki, Kefallinia",2002,226.149564,471.882882
Lefkada,2002,62.780781,200.411925
Dytiki Ellada,2002,1644.786835,6977.783053
Aitoloakarnania,2002,510.789014,1965.658162
Achaia,2002,828.814196,3532.534682
Ileia,2002,305.183625,1479.590209
