NUTS,Year,GVA,Total
"Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos",2008,1847.543858,3182.618237
Kriti,2008,3644.622986,10306.669733
Irakleio,2008,1853.762086,5113.526243
Lasithi,2008,361.880232,1266.706075
Rethymni,2008,477.357669,1289.976338
Chania,2008,951.622999,2636.461077
VOREIA ELLADA,2008,11723.105652,46053.540131
"Anatoliki Makedonia, Thraki",2008,2050.121696,8164.672265
Evros,2008,453.378775,1950.409605
Xanthi,2008,241.591464,1391.528521
Rodopi,2008,252.864872,1480.400455
Drama,2008,251.464402,1127.202347
"Thasos, Kavala",2008,850.822184,2215.131337
Kentriki Makedonia,2008,7767.172943,29091.468649
Imathia,2008,481.015963,1928.936863
Thessaloniki,2008,5025.665586,19022.264587
Kilkis,2008,189.338749,1125.531591
Pella,2008,406.470334,1906.582082
Pieria,2008,521.417311,1623.928766
Serres,2008,491.913762,1833.483262
Chalkidiki,2008,651.351239,1650.741499
Dytiki Makedonia,2008,697.69056,4436.554717
Grevena,2008,66.454434,346.922779
Kozani,2008,376.901948,2656.457089
Kastoria,2008,137.627831,588.591687
Florina,2008,116.706346,844.583162
Ipeiros,2008,1208.120453,4360.844499
Arta,2008,173.937911,767.219452
Preveza,2008,206.002275,696.990868
Thesprotia,2008,321.530182,677.99203
Ioannina,2008,506.650085,2218.64215
KENTRIKI ELLADA,2008,11529.870071,43106.631601
Thessalia,2008,2619.986431,10610.815192
Karditsa,2008,297.039791,1229.373617
Trikala,2008,365.797132,1614.603954
Larisa,2008,866.128918,4547.382475
Magnisia,2008,1091.02059,3219.455146
Ionia Nisia,2008,1982.467925,3920.321118
Zakynthos,2008,470.387778,890.466318
Kerkyra,2008,955.075939,1936.830729
"Ithaki, Kefallinia",2008,432.44038,786.667439
Lefkada,2008,124.563829,306.356632
Dytiki Ellada,2008,2699.470576,9977.912592
Aitoloakarnania,2008,827.959004,2789.997323
Achaia,2008,1316.009516,5185.719381
Ileia,2008,555.502056,2002.195887
Sterea Ellada,2008,2174.909408,9577.276242
Voiotia,2008,306.91916,2651.981599
Evvoia,2008,1020.371026,3603.904211
Evrytania,2008,39.134391,233.904473
Fthiotida,2008,678.470489,2541.26608
Fokida,2008,130.014341,546.21988
Peloponnisos,2008,2053.035731,9020.306457
Argolida,2008,445.839093,1741.498141
Arkadia,2008,259.514851,1514.765876
Korinthia,2008,575.450178,2325.785991
Lakonia,2008,300.517301,1211.223333
Messinia,2008,471.714307,2227.033116
ELLADA,2009,51185.458187,209179.254187
ATTIKI,2009,22668.878533,101364.420247
Attiki,2009,22668.878533,101364.420247
Voreios Tomeas Athinon,2009,2958.547677,17171.087008
Dytikos Tomeas Athinon,2009,1814.393779,6738.961076
Kentrikos Tomeas Athinon,2009,6768.39834,36792.249798
Notios Tomeas Athinon,2009,3001.900455,11704.130756
Anatoliki Attiki,2009,2959.31887,11892.753408
Dytiki Attiki,2009,1297.81069,5344.278743
"Peiraias, Nisoi",2009,3868.508723,11720.959457
"NISIA AIGAIOU, KRITI",2009,7447.599216,19957.460419
Voreio Aigaio,2009,894.669234,2985.710613
"Lesvos, Limnos",2009,407.380512,1531.881869
"Ikaria, Samos",2009,264.556069,676.559716
Chios,2009,222.732652,777.269027
Notio Aigaio,2009,3210.252556,6760.743654
"Kalymnos, Karpathos, Kos, Rodos",2009,1576.059472,3674.626209
"Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos",2009,1634.193084,3086.117445
Kriti,2009,3342.677426,10211.006153
Irakleio,2009,1603.93928,5001.762347
Lasithi,2009,382.934901,1280.267834
Rethymni,2009,442.891555,1302.826485
Chania,2009,912.911689,2626.149486
VOREIA ELLADA,2009,10931.927976,45743.188946
"Anatoliki Makedonia, Thraki",2009,1805.113945,8143.776419
Evros,2009,393.716663,2013.186961
Xanthi,2009,229.263988,1351.435401
Rodopi,2009,215.384445,1440.636204
Drama,2009,223.490765,1146.606932
"Thasos, Kavala",2009,743.258083,2191.91092
Kentriki Makedonia,2009,7335.218147,28709.455726
Imathia,2009,479.658602,1891.893374
Thessaloniki,2009,4704.992321,18862.645862
Kilkis,2009,185.384059,1058.471594
Pella,2009,399.053446,1826.910671
Pieria,2009,484.407451,1633.463576
Serres,2009,481.527012,1827.489424
Chalkidiki,2009,600.195256,1608.581225
Dytiki Makedonia,2009,664.377444,4565.01525
Grevena,2009,61.586273,329.694693
Kozani,2009,361.399434,2749.830445
Kastoria,2009,135.785644,585.150062
Florina,2009,105.606094,900.340051
Ipeiros,2009,1127.21844,4324.941551
Arta,2009,164.170756,777.826479
Preveza,2009,195.700441,710.526354
Thesprotia,2009,262.031822,626.408867
Ioannina,2009,505.31542,2210.179851
KENTRIKI ELLADA,2009,10137.052461,42114.184574
Thessalia,2009,2308.747669,10471.531584
Karditsa,2009,287.020891,1274.563262
Trikala,2009,344.532387,1638.276503
Larisa,2009,787.37455,4511.457539
Magnisia,2009,889.819841,3047.234281
Ionia Nisia,2009,1675.935138,3732.359549
Zakynthos,2009,414.751847,858.785999
Kerkyra,2009,779.097418,1807.576514
"Ithaki, Kefallinia",2009,357.486298,737.882091
Lefkada,2009,124.599575,328.114944
Dytiki Ellada,2009,2295.393692,9645.506232
Aitoloakarnania,2009,708.924203,2734.499058
Achaia,2009,1095.558319,4950.894359
Ileia,2009,490.911169,1960.112814
Sterea Ellada,2009,1900.447595,9325.920454
Voiotia,2009,302.859927,2680.601034
Evvoia,2009,877.088156,3383.539755
Evrytania,2009,40.230688,238.883364
Fthiotida,2009,571.157991,2482.908743
Fokida,2009,109.110833,539.987558
Peloponnisos,2009,1956.528366,8938.866755
Argolida,2009,403.790829,1718.80931
Arkadia,2009,254.341689,1529.830518
Korinthia,2009,530.395983,2227.584187
Lakonia,2009,302.624123,1239.263241
Messinia,2009,465.375743,2223.379499
ELLADA,2010,49197.519511,197195.618916
ATTIKI,2010,22852.592172,95569.825135
Attiki,2010,22852.592172,95569.825135
Voreios Tomeas Athinon,2010,2963.352149,16414.637206
Dytikos Tomeas Athinon,2010,1799.761395,6280.023971
Kentrikos Tomeas Athinon,2010,6698.885941,34329.201674
Notios Tomeas Athinon,2010,2955.119353,11075.815377
Anatoliki Attiki,2010,3128.625975,11479.717959
Dytiki Attiki,2010,1374.78188,4950.407884
"Peiraias, Nisoi",2010,3932.06548,11040.021065
"NISIA AIGAIOU, KRITI",2010,6922.040715,18702.171536
Voreio Aigaio,2010,763.795683,2774.096761
"Lesvos, Limnos",2010,359.428368,1432.843246
"Ikaria, Samos",2010,215.26739,614.661661
Chios,2010,189.099925,726.591853
Notio Aigaio,2010,3013.275967,6339.867358
"Kalymnos, Karpathos, Kos, Rodos",2010,1451.846371,3444.902071
"Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos",2010,1561.429596,2894.965287
Kriti,2010,3144.969064,9588.207416
Irakleio,2010,1525.234219,4771.418414
Lasithi,2010,355.359414,1160.323577
Rethymni,2010,413.666529,1217.08086
Chania,2010,850.708902,2439.384565
VOREIA ELLADA,2010,9996.583924,43465.883382
"Anatoliki Makedonia, Thraki",2010,1725.626311,8023.172129
Evros,2010,354.665613,2083.429435
Xanthi,2010,241.755689,1371.89739
Rodopi,2010,225.085014,1348.439095
Drama,2010,221.292208,1114.400995
"Thasos, Kavala",2010,682.827786,2105.005214
Kentriki Makedonia,2010,6612.477549,26685.490336
Imathia,2010,417.958498,1810.607763
Thessaloniki,2010,4139.74097,17331.993696
Kilkis,2010,182.453947,1001.407881
Pella,2010,391.42288,1736.231212
Pieria,2010,454.277785,1525.259445
Serres,2010,469.665263,1788.664325
Chalkidiki,2010,556.958207,1491.326013
Dytiki Makedonia,2010,583.449873,4551.450759
Grevena,2010,64.970857,329.504731
Kozani,2010,319.222456,2790.362076
Kastoria,2010,108.972501,555.075567
Florina,2010,90.28406,876.508384
Ipeiros,2010,1075.030191,4205.770157
Arta,2010,166.043992,771.662725
Preveza,2010,192.396116,681.818695
Thesprotia,2010,252.87676,622.478389
Ioannina,2010,463.713323,2129.810349
KENTRIKI ELLADA,2010,9426.3027,39457.738864
Thessalia,2010,2050.838499,9507.48015
Karditsa,2010,260.873046,1154.659952
Trikala,2010,310.345793,1498.6297
Larisa,2010,694.269351,4112.45659
Magnisia,2010,785.350309,2741.733908
Ionia Nisia,2010,1529.742309,3497.259219
Zakynthos,2010,385.113853,805.635814
Kerkyra,2010,678.687,1652.031165
"Ithaki, Kefallinia",2010,332.260005,705.089387
Lefkada,2010,133.681451,334.502851
Dytiki Ellada,2010,2216.735337,9252.168247
Aitoloakarnania,2010,683.092916,2601.386875
Achaia,2010,1069.942123,4809.988495
Ileia,2010,463.700298,1840.792877
Sterea Ellada,2010,1818.10777,8749.499026
Voiotia,2010,316.367923,2588.912899
Evvoia,2010,785.543255,3087.862565
Evrytania,2010,42.741011,223.833913
Fthiotida,2010,567.296283,2345.368277
Fokida,2010,106.159298,503.521371
Peloponnisos,2010,1810.878785,8451.332222
Argolida,2010,381.237207,1613.916236
Arkadia,2010,239.789725,1446.928426
Korinthia,2010,487.324424,2107.178218
Lakonia,2010,270.081672,1149.534368
Messinia,2010,432.445756,2133.774973
ELLADA,2011,43134.355186,178347.307521
ATTIKI,2011,20388.868785,86506.054696
Attiki,2011,20388.868785,86506.054696
Voreios Tomeas Athinon,2011,2667.525872,15153.671802
Dytikos Tomeas Athinon,2011,1607.53617,5618.754823
Kentrikos Tomeas Athinon,2011,5897.416201,30854.444933
Notios Tomeas Athinon,2011,2576.207708,10029.687873
Anatoliki Attiki,2011,2895.830582,10672.440387
Dytiki Attiki,2011,1270.262913,4405.254103
"Peiraias, Nisoi",2011,3474.089339,9771.800775
"NISIA AIGAIOU, KRITI",2011,5956.041237,16720.592768
Voreio Aigaio,2011,638.21479,2526.263389
"Lesvos, Limnos",2011,307.031,1302.478824
"Ikaria, Samos",2011,177.196361,559.709613
Chios,2011,153.987429,664.074951
Notio Aigaio,2011,2573.830492,5748.760799
"Kalymnos, Karpathos, Kos, Rodos",2011,1297.082656,3157.774248
"Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos",2011,1276.747835,2590.986551
Kriti,2011,2743.995955,8445.56858
Irakleio,2011,1299.541984,4072.242214
Lasithi,2011,321.226652,1034.146161
Rethymni,2011,396.667792,1113.352927
Chania,2011,726.559527,2225.827279
VOREIA ELLADA,2011,8739.693445,39596.13449
"Anatoliki Makedonia, Thraki",2011,1446.99717,6944.782495
Evros,2011,286.340382,1859.631325
Xanthi,2011,204.450112,1156.996178
Rodopi,2011,198.112279,1200.032874
Drama,2011,197.156562,950.397255
"Thasos, Kavala",2011,560.937835,1777.724863
Kentriki Makedonia,2011,5876.187945,24381.58755
Imathia,2011,377.885951,1666.271642
Thessaloniki,2011,3531.54245,15693.79617
Kilkis,2011,168.681884,919.696023
Pella,2011,371.527266,1596.90408
Pieria,2011,435.692733,1447.582032
Serres,2011,434.560114,1633.978022
Chalkidiki,2011,556.297548,1423.359581
Dytiki Makedonia,2011,499.351816,4414.306166
Grevena,2011,56.046611,301.789921
Kozani,2011,261.660118,2704.57613
Kastoria,2011,99.607716,525.179536
Florina,2011,82.037372,882.76058
Ipeiros,2011,917.156514,3855.458279
Arta,2011,147.483673,708.055992
Preveza,2011,179.584546,649.459208
Thesprotia,2011,215.8712,550.40734
Ioannina,2011,374.217094,1947.535739
KENTRIKI ELLADA,2011,8049.751719,35524.525567
Thessalia,2011,1770.767285,8507.218288
Karditsa,2011,231.030949,1024.292123
Trikala,2011,261.146517,1334.754793
Larisa,2011,555.171566,3608.35187
Magnisia,2011,723.418253,2539.819502
Ionia Nisia,2011,1201.117929,3004.607669
Zakynthos,2011,293.677695,677.392222
Kerkyra,2011,546.691704,1455.293296
"Ithaki, Kefallinia",2011,243.336283,582.115801
Lefkada,2011,117.412246,289.80635
Dytiki Ellada,2011,1885.747347,8197.559567
Aitoloakarnania,2011,614.298628,2341.619985
Achaia,2011,867.459009,4194.278902
Ileia,2011,403.98971,1661.66068
Sterea Ellada,2011,1626.064165,8027.27143
Voiotia,2011,271.425401,2505.726959
Evvoia,2011,718.641628,2761.773621
Evrytania,2011,38.559588,203.185366
Fthiotida,2011,499.724835,2106.718152
Fokida,2011,97.712713,449.867333
Peloponnisos,2011,1566.054993,7787.868613
Argolida,2011,311.705571,1433.42477
Arkadia,2011,207.725643,1348.676333
Korinthia,2011,424.950907,1948.518892
Lakonia,2011,244.030784,1073.471066
Messinia,2011,377.642087,1983.777553
ELLADA,2012,39074.402061,163766.192185
ATTIKI,2012,18233.775009,78167.190503
Attiki,2012,18233.775009,78167.190503
Voreios Tomeas Athinon,2012,2530.713715,14002.015874
Dytikos Tomeas Athinon,2012,1534.105194,5199.95684
Kentrikos Tomeas Athinon,2012,5298.52171,27896.139995
Notios Tomeas Athinon,2012,2406.658541,9096.211566
Anatoliki Attiki,2012,2352.335655,9338.433172
Dytiki Attiki,2012,1022.862705,3789.644581
"Peiraias, Nisoi",2012,3088.57749,8844.788476
"NISIA AIGAIOU, KRITI",2012,5508.451441,15230.686714
Voreio Aigaio,2012,593.40769,2327.185523
"Lesvos, Limnos",2012,277.488587,1186.216955
"Ikaria, Samos",2012,161.974356,508.389915
Chios,2012,153.944747,632.578653
Notio Aigaio,2012,2443.0373,5263.914903
"Kalymnos, Karpathos, Kos, Rodos",2012,1384.460496,3026.068538
"Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos",2012,1058.576804,2237.846365
Kriti,2012,2472.006451,7639.586289
Irakleio,2012,1111.363234,3708.978155
Lasithi,2012,304.649161,954.709863
Rethymni,2012,374.0037,1002.651995
Chania,2012,681.990355,1973.246276
VOREIA ELLADA,2012,7916.336476,37027.191024
"Anatoliki Makedonia, Thraki",2012,1383.462081,6428.536052
Evros,2012,261.583556,1697.81657
Xanthi,2012,179.995998,1057.657988
Rodopi,2012,166.748893,1077.777792
Drama,2012,172.53719,901.273618
"Thasos, Kavala",2012,602.596444,1694.010085
Kentriki Makedonia,2012,5266.99666,22414.339476
Imathia,2012,354.380382,1568.947836
Thessaloniki,2012,2945.508844,14210.443517
Kilkis,2012,174.598087,837.161678
Pella,2012,394.122119,1545.558088
Pieria,2012,408.6629,1325.083781
Serres,2012,418.406172,1577.765552
Chalkidiki,2012,571.318157,1349.379023
Dytiki Makedonia,2012,452.35917,4743.250217
Grevena,2012,51.800625,285.900476
Kozani,2012,232.42152,3032.850654
Kastoria,2012,88.581645,491.294568
Florina,2012,79.555379,933.204519
Ipeiros,2012,813.518565,3441.065277
Arta,2012,128.179076,647.526794
Preveza,2012,154.249319,569.657175
Thesprotia,2012,200.5651,505.214651
Ioannina,2012,330.525069,1718.666657
KENTRIKI ELLADA,2012,7415.839134,33341.123944
Thessalia,2012,1575.115793,8095.208069
Karditsa,2012,205.978058,976.142
Trikala,2012,232.19818,1277.431611
Larisa,2012,499.897029,3496.470511
Magnisia,2012,637.042526,2345.163948
Ionia Nisia,2012,1211.359038,2779.515523
Zakynthos,2012,301.347807,637.13713
Kerkyra,2012,553.154981,1333.415445
"Ithaki, Kefallinia",2012,239.83949,538.527003
Lefkada,2012,117.01676,270.435945
Dytiki Ellada,2012,1744.158341,7633.275898
Aitoloakarnania,2012,598.370304,2240.387999
Achaia,2012,778.043716,3846.482157
Ileia,2012,367.744321,1546.405742
Sterea Ellada,2012,1472.131257,7497.493718
Voiotia,2012,232.369319,2428.525848
Evvoia,2012,675.055388,2530.454183
Evrytania,2012,37.827834,184.051628
Fthiotida,2012,435.790777,1945.899491
Fokida,2012,91.087939,408.562567
Peloponnisos,2012,1413.074705,7335.630736
Argolida,2012,290.149573,1324.786275
Arkadia,2012,181.642871,1313.982395
Korinthia,2012,371.604315,1842.248633
Lakonia,2012,224.793074,1002.649374
Messinia,2012,344.884872,1851.96406
ELLADA,2013,38882.913176,157795.283175
ATTIKI,2013,17914.831487,75206.353741
Attiki,2013,17914.831487,75206.353741
Voreios Tomeas Athinon,2013,2514.390826,13605.775376
Dytikos Tomeas Athinon,2013,1492.903605,4948.307858
Kentrikos Tomeas Athinon,2013,5209.927671,26787.343624
Notios Tomeas Athinon,2013,2409.110514,8795.823853
Anatoliki Attiki,2013,2264.985511,8918.214197
Dytiki Attiki,2013,976.422881,3652.205131
"Peiraias, Nisoi",2013,3047.090479,8498.683703
"NISIA AIGAIOU, KRITI",2013,5971.999892,15350.912637
Voreio Aigaio,2013,583.270399,2251.221935
"Lesvos, Limnos",2013,282.257393,1166.283645
"Ikaria, Samos",2013,165.514284,492.095504
Chios,2013,135.498722,592.842786
Notio Aigaio,2013,2699.612946,5454.479173
"Kalymnos, Karpathos, Kos, Rodos",2013,1368.064241,2945.714038
"Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos",2013,1331.548705,2508.765135
Kriti,2013,2689.116546,7645.21153
Irakleio,2013,1222.303992,3681.629778
Lasithi,2013,333.17244,992.953027
Rethymni,2013,418.077222,1013.393047
Chania,2013,715.562893,1957.235678
VOREIA ELLADA,2013,7700.886823,35180.435165
"Anatoliki Makedonia, Thraki",2013,1317.4628,6041.198555
Evros,2013,257.410643,1551.28743
Xanthi,2013,175.977689,1003.385138
Rodopi,2013,167.904173,1030.144449
Drama,2013,166.747415,889.965508
"Thasos, Kavala",2013,549.42288,1566.41603
Kentriki Makedonia,2013,5127.287324,21258.140143
Imathia,2013,318.974568,1513.17599
Thessaloniki,2013,2914.734326,13387.898965
Kilkis,2013,154.491027,794.542717
Pella,2013,356.031138,1440.012911
Pieria,2013,402.835902,1276.24448
Serres,2013,386.111482,1529.896898
Chalkidiki,2013,594.108881,1316.368183
Dytiki Makedonia,2013,436.662015,4506.717127
Grevena,2013,52.690097,271.707589
Kozani,2013,220.91126,2889.88987
Kastoria,2013,86.365719,465.884856
Florina,2013,76.694939,879.234812
Ipeiros,2013,819.474684,3374.379341
Arta,2013,120.702995,632.267165
Preveza,2013,162.155202,571.283874
Thesprotia,2013,204.111397,490.68251
Ioannina,2013,332.50509,1680.145792
KENTRIKI ELLADA,2013,7295.194975,32057.581631
Thessalia,2013,1567.414905,7871.518953
Karditsa,2013,198.281287,999.442866
Trikala,2013,230.541928,1260.326634
Larisa,2013,485.470316,3346.348933
Magnisia,2013,653.121375,2265.40052
Ionia Nisia,2013,1275.723208,2747.659112
Zakynthos,2013,324.685724,621.025421
Kerkyra,2013,589.701125,1338.280248
"Ithaki, Kefallinia",2013,238.407767,521.233884
Lefkada,2013,122.928592,267.11956
Dytiki Ellada,2013,1634.870587,7240.829333
Aitoloakarnania,2013,547.681639,2238.46016
Achaia,2013,737.131879,3529.66419
Ileia,2013,350.057069,1472.704983
Sterea Ellada,2013,1396.476867,7094.549051
Voiotia,2013,225.812388,2288.387969
Evvoia,2013,642.482109,2441.437897
Evrytania,2013,36.753604,173.080673
Fthiotida,2013,403.030397,1792.796423
Fokida,2013,88.398369,398.846089
Peloponnisos,2013,1420.709408,7103.025182
Argolida,2013,293.087632,1278.899326
Arkadia,2013,183.317175,1331.858042
Korinthia,2013,366.048493,1786.994865
Lakonia,2013,225.96601,987.246821
Messinia,2013,352.290099,1718.026128
ELLADA,2014,39320.959946,155355.365448
ATTIKI,2014,18056.346679,74004.657868
Attiki,2014,18056.346679,74004.657868
Voreios Tomeas Athinon,2014,2619.149949,13561.641821
Dytikos Tomeas Athinon,2014,1601.826319,4939.396071
Kentrikos Tomeas Athinon,2014,5291.409754,26477.334934
Notios Tomeas Athinon,2014,2475.293554,8704.922854
Anatoliki Attiki,2014,2121.887672,8625.623474
Dytiki Attiki,2014,904.77632,3330.563935
"Peiraias, Nisoi",2014,3042.00311,8365.174779
"NISIA AIGAIOU, KRITI",2014,6166.28335,15451.514854
Voreio Aigaio,2014,582.958401,2231.299427
"Lesvos, Limnos",2014,281.578377,1158.556732
"Ikaria, Samos",2014,164.878875,489.289057
Chios,2014,136.501149,583.453639
Notio Aigaio,2014,2766.93312,5431.850556
"Kalymnos, Karpathos, Kos, Rodos",2014,1375.942767,2931.80415
"Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos",2014,1390.990353,2500.046406
Kriti,2014,2816.391829,7788.364871
Irakleio,2014,1294.023921,3767.452363
Lasithi,2014,339.669974,1008.638136
Rethymni,2014,424.114891,1008.630889
Chania,2014,758.583044,2003.643482
VOREIA ELLADA,2014,7721.748169,34403.483263
"Anatoliki Makedonia, Thraki",2014,1329.775828,5894.824477
Evros,2014,257.657827,1527.905414
Xanthi,2014,171.987595,947.339049
Rodopi,2014,164.492397,964.139327
Drama,2014,162.488685,861.614413
"Thasos, Kavala",2014,573.149322,1593.826275
Kentriki Makedonia,2014,5147.460663,20712.950976
Imathia,2014,320.171957,1400.019793
Thessaloniki,2014,2954.200274,13091.783607
Kilkis,2014,152.042014,784.226758
Pella,2014,353.244812,1410.879168
Pieria,2014,398.235414,1234.793468
Serres,2014,385.503609,1478.47002
Chalkidiki,2014,584.062584,1312.778162
Dytiki Makedonia,2014,411.585721,4486.606764
Grevena,2014,49.175673,269.50938
Kozani,2014,206.055378,2803.317288
Kastoria,2014,82.909122,462.283464
Florina,2014,73.445547,951.496634
Ipeiros,2014,832.925957,3309.101046
Arta,2014,122.701537,609.904585
Preveza,2014,163.07317,574.182627
Thesprotia,2014,212.679621,493.844005
Ioannina,2014,334.471629,1631.169829
KENTRIKI ELLADA,2014,7376.581749,31495.709464
Thessalia,2014,1548.908201,7800.224971
Karditsa,2014,196.405597,962.468308
Trikala,2014,228.383823,1279.459157
Larisa,2014,490.523687,3379.590471
Magnisia,2014,633.595093,2178.707035
Ionia Nisia,2014,1317.92221,2772.462976
Zakynthos,2014,332.145011,626.95557
Kerkyra,2014,605.146154,1349.732211
"Ithaki, Kefallinia",2014,253.412304,533.70153
Lefkada,2014,127.218742,262.073666
Dytiki Ellada,2014,1699.615622,7156.368453
Aitoloakarnania,2014,576.262748,2149.12317
Achaia,2014,755.795034,3515.961961
Ileia,2014,367.557841,1491.283322
Sterea Ellada,2014,1390.139526,6808.598065
Voiotia,2014,221.320782,2030.734799
Evvoia,2014,639.922222,2456.908305
Evrytania,2014,35.04301,164.911534
Fthiotida,2014,406.296756,1765.314073
Fokida,2014,87.556756,390.729354
Peloponnisos,2014,1419.99619,6958.054999
Argolida,2014,293.47979,1262.54679
Arkadia,2014,183.07761,1300.825159
Korinthia,2014,359.575568,1662.488264
Lakonia,2014,229.641089,984.660727
Messinia,2014,354.222132,1747.534058
ELLADA,2015,37597.836659,154780.624919
ATTIKI,2015,17163.730769,73428.060156
Attiki,2015,17163.730769,73428.060156
Voreios Tomeas Athinon,2015,2539.478737,13632.432719
Dytikos Tomeas Athinon,2015,1442.943689,4791.007452
Kentrikos Tomeas Athinon,2015,5006.986629,26190.226218
Notios Tomeas Athinon,2015,2368.31074,8595.512238
Anatoliki Attiki,2015,2075.477701,8695.548005
Dytiki Attiki,2015,883.989841,3383.777238
"Peiraias, Nisoi",2015,2846.543432,8139.556287
"NISIA AIGAIOU, KRITI",2015,5867.937991,15287.161884
Voreio Aigaio,2015,530.941708,2177.210353
"Lesvos, Limnos",2015,265.309851,1138.88129
"Ikaria, Samos",2015,148.315953,470.210931
Chios,2015,117.315904,568.118132
Notio Aigaio,2015,2577.81649,5326.038467
"Kalymnos, Karpathos, Kos, Rodos",2015,1336.390674,2937.228698
"Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos",2015,1241.425816,2388.809769
Kriti,2015,2759.179793,7783.913064
Irakleio,2015,1263.138464,3699.021644
Lasithi,2015,340.061795,1042.210363
Rethymni,2015,425.323283,1040.466777
Chania,2015,730.656251,2002.214279
VOREIA ELLADA,2015,7585.036907,34329.272884
"Anatoliki Makedonia, Thraki",2015,1268.418976,5843.915598
Evros,2015,252.59992,1527.131728
Xanthi,2015,173.376272,951.910474
Rodopi,2015,165.483868,943.891743
Drama,2015,163.284591,881.628342
"Thasos, Kavala",2015,513.674325,1539.35331
Kentriki Makedonia,2015,5131.866343,21042.428488
Imathia,2015,320.973749,1392.10283
Thessaloniki,2015,2937.226613,13288.208046
Kilkis,2015,151.55458,820.170695
Pella,2015,357.401623,1451.725206
Pieria,2015,401.806639,1260.682321
Serres,2015,388.29327,1519.253536
Chalkidiki,2015,574.609869,1310.285853
Dytiki Makedonia,2015,402.458386,4176.409067
Grevena,2015,48.290592,275.962847
Kozani,2015,202.955968,2582.166238
Kastoria,2015,80.34527,459.057267
Florina,2015,70.866556,859.222715
Ipeiros,2015,782.293201,3266.519731
Arta,2015,117.62177,595.849259
Preveza,2015,158.285949,571.13928
Thesprotia,2015,182.711496,463.567409
Ioannina,2015,323.673985,1635.963783
KENTRIKI ELLADA,2015,6981.130992,31736.129996
Thessalia,2015,1517.381995,7926.472407
Karditsa,2015,195.256189,963.773804
Trikala,2015,229.013153,1268.155931
Larisa,2015,479.22346,3487.742053
Magnisia,2015,613.889193,2206.800619
Ionia Nisia,2015,1231.146857,2713.070631
Zakynthos,2015,318.561102,622.086796
Kerkyra,2015,575.094696,1330.6619
"Ithaki, Kefallinia",2015,216.802421,504.309038
Lefkada,2015,120.688638,256.012898
Dytiki Ellada,2015,1536.3421,7136.397794
Aitoloakarnania,2015,515.146963,2110.118638
Achaia,2015,685.490276,3481.310628
Ileia,2015,335.704861,1544.968528
Sterea Ellada,2015,1306.728378,6855.828755
Voiotia,2015,213.629205,2073.426843
Evvoia,2015,599.192691,2452.407856
Evrytania,2015,34.239592,167.670918
Fthiotida,2015,377.214278,1771.939643
Fokida,2015,82.452612,390.383495
Peloponnisos,2015,1389.531662,7104.360408
Argolida,2015,289.865975,1286.062923
Arkadia,2015,179.830547,1315.227875
Korinthia,2015,349.997365,1717.89603
Lakonia,2015,218.674327,1011.899233
Messinia,2015,351.163447,1773.274346
ELLADA,2016,36726.026256,152015.610584
ATTIKI,2016,16883.098755,72385.450122
Attiki,2016,16883.098755,72385.450122
Voreios Tomeas Athinon,2016,2480.990618,13449.642385
Dytikos Tomeas Athinon,2016,1475.688141,4764.792077
Kentrikos Tomeas Athinon,2016,4885.848802,25820.680297
Notios Tomeas Athinon,2016,2361.746121,8544.51447
Anatoliki Attiki,2016,2046.881618,8563.51715
Dytiki Attiki,2016,875.675293,3295.265095
"Peiraias, Nisoi",2016,2756.268161,7947.038648
"NISIA AIGAIOU, KRITI",2016,5495.671519,14685.733096
Voreio Aigaio,2016,501.476287,2112.250388
"Lesvos, Limnos",2016,250.671905,1102.91943
"Ikaria, Samos",2016,139.562014,457.875806
Chios,2016,111.242368,551.455152
Notio Aigaio,2016,2388.183921,5074.747679
"Kalymnos, Karpathos, Kos, Rodos",2016,1252.057289,2808.443051
"Andros, Thira, Kea, Milos, Mykonos, Naxos, Paros, Syros, Tinos",2016,1136.126632,2266.304627
Kriti,2016,2606.011311,7498.73503
Irakleio,2016,1192.817296,3564.575379
Lasithi,2016,324.134265,998.095453
Rethymni,2016,402.65174,999.215619
Chania,2016,686.408011,1936.848578
VOREIA ELLADA,2016,7557.291434,33757.42849
"Anatoliki Makedonia, Thraki",2016,1221.869804,5845.019985
Evros,2016,246.605104,1541.581106
Xanthi,2016,171.041816,917.121517
Rodopi,2016,163.795354,1012.8714
Drama,2016,160.874907,862.679841
"Thasos, Kavala",2016,479.552623,1510.766121
Kentriki Makedonia,2016,5177.151745,20908.338828
Imathia,2016,326.308976,1359.499817
Thessaloniki,2016,2973.601962,13294.21078
Kilkis,2016,154.578411,814.30985
Pella,2016,363.654641,1405.109761
Pieria,2016,401.867956,1246.027508
Serres,2016,393.257952,1490.812759
Chalkidiki,2016,563.881845,1298.368353
Dytiki Makedonia,2016,398.232218,3776.189468
