Avg_expenditure_per_journey,Avg_expenditure_per_stay,Avg_duration_of_stay,Year,Region
267.1422634713949,67.1284612840907,3.9795678071755094,2024,Eastern Macedonia & Thrace
254.41177071666772,55.85610618359439,4.554770965960952,2023,Eastern Macedonia & Thrace
334.4959212900892,62.217518408506415,5.37623373362247,2022,Eastern Macedonia & Thrace
402.7487500609438,52.84381503171135,7.621492691609339,2021,Eastern Macedonia & Thrace
151.64333611376043,38.80893708312868,3.9074333777537023,2020,Eastern Macedonia & Thrace
114.74371931951944,43.244347561298746,2.6533807489376624,2019,Eastern Macedonia & Thrace
166.65739401005234,49.7378130474808,3.3507181719260064,2018,Eastern Macedonia & Thrace
208.99878689020272,52.02625068051224,4.01717948451912,2017,Eastern Macedonia & Thrace
211.53467188599254,53.26243545869328,3.971554625023567,2016,Eastern Macedonia & Thrace
