geo,nuts_level,nuts_label
EL533,3.0,Φλώρινα
EL54,2.0,Epirus
EL54,2.0,Ipeiros
EL54,2.0,Ήπειρος
EL54,2.0,ΗΠΕΙΡΟΥ
EL54,2.0,
EL541,3.0,Arta
EL541,3.0,Preveza
EL541,3.0,Άρτα
EL541,3.0,ΑΡΤΑΣ
EL541,3.0,ΠΡΕΒΕΖΑΣ
EL541,3.0,Πρέβεζα
EL542,3.0,Thesprotia
EL542,3.0,ΘΕΣΠΡΩΤΙΑΣ
EL542,3.0,Θεσπρωτία
EL543,3.0,Ioannina
EL543,3.0,ΙΩΑΝΝΙΝΩΝ
EL543,3.0,Ιωάννινα
EL6,1.0,KENTRIKI ELLADA
EL6,1.0,Κεντρική Ελλάδα
EL6,1.0,
EL61,2.0,Thessalia
EL61,2.0,Thessaly
EL61,2.0,ΘΕΣΣΑΛΙΑΣ
EL61,2.0,Θεσσαλία
EL61,2.0,
EL611,3.0,Karditsa
EL611,3.0,Trikala
EL611,3.0,ΚΑΡΔΙΤΣΑΣ
EL611,3.0,Καρδίτσα
EL611,3.0,ΤΡΙΚΑΛΩΝ
EL611,3.0,Τρίκαλα
EL612,3.0,Larisa
EL612,3.0,ΛΑΡΙΣΑΣ
EL612,3.0,Λάρισα
EL613,3.0,Magnisia
EL613,3.0,ΜΑΓΝΗΣΙΑΣ
EL613,3.0,Μαγνησία
EL613,3.0,ΣΠΟΡΑΔΩΝ
EL613,3.0,Σποράδες
EL62,2.0,Ionia Nisia
EL62,2.0,Ionian Islands
EL62,2.0,ΙΟΝΙΩΝ ΝΗΣΩΝ
EL62,2.0,Ιόνια Νησιά
EL62,2.0,
EL621,3.0,Zakynthos
EL621,3.0,ΖΑΚΥΝΘΟΥ
EL621,3.0,Ζάκυνθος
EL622,3.0,Kerkyra
EL622,3.0,ΚΕΡΚΥΡΑΣ
EL622,3.0,Κέρκυρα
EL623,3.0,"Ithaki, Kefallinia"
EL623,3.0,ΙΘΑΚΗΣ
EL623,3.0,Ιθάκη
EL623,3.0,ΚΕΦΑΛΛΗΝΙΑΣ
EL623,3.0,Κεφαλληνία
EL624,3.0,Lefkada
EL624,3.0,ΛΕΥΚΑΔΑΣ
EL624,3.0,Λευκάδα
EL63,2.0,Dytiki Ellada
EL63,2.0,Western Greece
EL63,2.0,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ
EL63,2.0,Δυτική Ελλάδα
EL63,2.0,
EL631,3.0,Aitoloakarnania
EL631,3.0,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
EL631,3.0,Αιτωλοακαρνανία
EL632,3.0,Achaia
EL632,3.0,ΑΧΑΪΑΣ
EL632,3.0,Αχαΐα
EL633,3.0,Ileia
EL633,3.0,ΗΛΕΙΑΣ
EL633,3.0,Ηλεία
EL64,2.0,Central Greece
EL64,2.0,Sterea Ellada
EL64,2.0,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ
EL64,2.0,Στερεά Ελλάδα
EL64,2.0,
EL641,3.0,Voiotia
EL641,3.0,ΒΟΙΩΤΙΑΣ
EL641,3.0,Βοιωτία
EL642,3.0,Evvoia
EL642,3.0,ΕΥΒΟΙΑΣ
EL642,3.0,Εύβοια
EL643,3.0,Evrytania
EL643,3.0,ΕΥΡΥΤΑΝΙΑΣ
EL643,3.0,Ευρυτανία
EL644,3.0,Fthiotida
EL644,3.0,ΦΘΙΩΤΙΔΑΣ
EL644,3.0,Φθιώτιδα
EL645,3.0,Fokida
EL645,3.0,ΦΩΚΙΔΑΣ
EL645,3.0,Φωκίδα
EL65,2.0,Peloponnese
EL65,2.0,Peloponnisos
EL65,2.0,ΠΕΛΟΠΟΝΝΗΣΟΥ
EL65,2.0,Πελοπόννησος
EL65,2.0,
EL651,3.0,Argolida
EL651,3.0,Arkadia
EL651,3.0,ΑΡΓΟΛΙΔΑΣ
EL651,3.0,ΑΡΚΑΔΙΑΣ
EL651,3.0,Αργολίδα
EL651,3.0,Αρκαδία
EL652,3.0,Korinthia
EL652,3.0,ΚΟΡΙΝΘΙΑΣ
EL652,3.0,Κορινθία
EL653,3.0,Lakonia
EL653,3.0,Messinia
EL653,3.0,ΛΑΚΩΝΙΑΣ
EL653,3.0,Λακωνία
EL653,3.0,ΜΕΣΣΗΝΙΑΣ
EL653,3.0,Μεσσηνία
