geo,year,greek_tourism_Arrivals__Hotel_Arrivals_Foreign
EL30,2015,2615990.0
EL30,2016,2530513.0
EL30,2017,2906545.0
EL30,2018,3424862.0
EL30,2019,3458674.0
EL30,2019,3458674.0
EL30,2020,743521.0
EL30,2020,743521.0
EL30,2021,1468710.0
EL30,2021,1468710.0
EL30,2022,3172040.0
EL30,2022,3172040.0
EL30,2023,3779970.0
EL30,2023,3779970.0
EL303,2015,1916641.0
EL303,2016,1793836.0
EL303,2017,2055831.0
EL303,2018,2416899.0
EL303,2019,2438305.0
EL303,2020,489087.0
EL303,2021,964685.0
EL303,2022,2265247.0
EL303,2023,2695309.0
EL305,2017,392361.0
EL305,2018,485102.0
EL305,2019,480794.0
EL305,2022,440320.0
EL305,2023,509384.0
EL42,2015,2894010.0
EL42,2016,2933974.0
EL42,2017,3323048.0
EL42,2018,4877492.0
EL42,2019,5127923.0
EL42,2020,1325308.0
EL42,2021,2887263.0
EL42,2022,4846585.0
EL42,2023,5240993.0
EL421,2015,773828.0
EL421,2015,773828.0
EL421,2015,773828.0
EL421,2015,773828.0
EL421,2015,1515480.0
EL421,2015,1515480.0
EL421,2015,1515480.0
EL421,2015,1515480.0
EL421,2016,622180.0
EL421,2016,622180.0
EL421,2016,622180.0
EL421,2016,622180.0
EL421,2016,1694077.0
EL421,2016,1694077.0
EL421,2016,1694077.0
EL421,2016,1694077.0
EL421,2017,827473.0
EL421,2017,827473.0
EL421,2017,827473.0
EL421,2017,827473.0
EL421,2017,1754993.0
EL421,2017,1754993.0
EL421,2017,1754993.0
EL421,2017,1754993.0
EL421,2018,1154572.0
EL421,2018,1154572.0
EL421,2018,1154572.0
EL421,2018,1154572.0
EL421,2018,2275244.0
EL421,2018,2275244.0
EL421,2018,2275244.0
EL421,2018,2275244.0
EL421,2019,1229686.0
EL421,2019,1229686.0
EL421,2019,1229686.0
EL421,2019,1229686.0
EL421,2019,1229686.0
EL421,2019,1229686.0
EL421,2019,1229686.0
EL421,2019,1229686.0
EL421,2019,1229686.0
EL421,2019,1229686.0
EL421,2019,1229686.0
EL421,2019,1229686.0
EL421,2019,1229686.0
EL421,2019,1229686.0
EL421,2019,1229686.0
EL421,2019,1229686.0
EL421,2019,2236949.0
EL421,2019,2236949.0
EL421,2019,2236949.0
EL421,2019,2236949.0
EL421,2019,2236949.0
EL421,2019,2236949.0
EL421,2019,2236949.0
EL421,2019,2236949.0
EL421,2019,2236949.0
EL421,2019,2236949.0
EL421,2019,2236949.0
EL421,2019,2236949.0
EL421,2019,2236949.0
EL421,2019,2236949.0
EL421,2019,2236949.0
EL421,2019,2236949.0
EL421,2020,405991.0
EL421,2020,405991.0
EL421,2020,405991.0
EL421,2020,405991.0
EL421,2020,405991.0
EL421,2020,405991.0
EL421,2020,405991.0
EL421,2020,405991.0
EL421,2020,405991.0
EL421,2020,405991.0
EL421,2020,405991.0
EL421,2020,405991.0
EL421,2020,405991.0
EL421,2020,405991.0
EL421,2020,405991.0
EL421,2020,405991.0
EL421,2020,613062.0
EL421,2020,613062.0
EL421,2020,613062.0
EL421,2020,613062.0
EL421,2020,613062.0
EL421,2020,613062.0
EL421,2020,613062.0
EL421,2020,613062.0
EL421,2020,613062.0
EL421,2020,613062.0
EL421,2020,613062.0
EL421,2020,613062.0
EL421,2020,613062.0
EL421,2020,613062.0
EL421,2020,613062.0
EL421,2020,613062.0
EL421,2021,691246.0
EL421,2021,691246.0
EL421,2021,691246.0
EL421,2021,691246.0
EL421,2021,691246.0
EL421,2021,691246.0
EL421,2021,691246.0
EL421,2021,691246.0
EL421,2021,691246.0
EL421,2021,691246.0
EL421,2021,691246.0
EL421,2021,691246.0
EL421,2021,691246.0
EL421,2021,691246.0
EL421,2021,691246.0
EL421,2021,691246.0
EL421,2021,1438356.0
EL421,2021,1438356.0
EL421,2021,1438356.0
EL421,2021,1438356.0
EL421,2021,1438356.0
EL421,2021,1438356.0
EL421,2021,1438356.0
EL421,2021,1438356.0
EL421,2021,1438356.0
EL421,2021,1438356.0
EL421,2021,1438356.0
EL421,2021,1438356.0
EL421,2021,1438356.0
EL421,2021,1438356.0
EL421,2021,1438356.0
EL421,2021,1438356.0
EL421,2022,1177478.0
EL421,2022,1177478.0
EL421,2022,1177478.0
EL421,2022,1177478.0
EL421,2022,1177478.0
EL421,2022,1177478.0
EL421,2022,1177478.0
EL421,2022,1177478.0
EL421,2022,1177478.0
EL421,2022,1177478.0
EL421,2022,1177478.0
EL421,2022,1177478.0
EL421,2022,1177478.0
EL421,2022,1177478.0
EL421,2022,1177478.0
EL421,2022,1177478.0
EL421,2022,2101370.0
EL421,2022,2101370.0
EL421,2022,2101370.0
EL421,2022,2101370.0
EL421,2022,2101370.0
EL421,2022,2101370.0
EL421,2022,2101370.0
EL421,2022,2101370.0
EL421,2022,2101370.0
EL421,2022,2101370.0
EL421,2022,2101370.0
EL421,2022,2101370.0
EL421,2022,2101370.0
EL421,2022,2101370.0
EL421,2022,2101370.0
EL421,2022,2101370.0
EL421,2023,1289002.0
EL421,2023,1289002.0
EL421,2023,1289002.0
