geo,year,greek_tourism_Stays__Hotel_Occupancy_pct_diff
EL30,2020,-52.98969072164949
EL30,2020,-52.98969072164949
EL30,2021,46.92982456140351
EL30,2021,46.92982456140351
EL301,2020,-46.87500000000001
EL302,2020,-40.425531914893625
EL302,2021,62.5
EL302,2023,75.00000000000003
EL303,2020,-59.22818791946308
EL303,2022,60.17191977077364
EL304,2020,-56.01750547045952
EL304,2021,61.6915422885572
EL305,2020,-44.02035623409669
EL306,2022,48.85993485342021
EL307,2020,-43.79391100702576
EL307,2020,-43.79391100702576
EL307,2021,75.48076923076923
EL307,2021,75.48076923076923
EL41,2020,-42.57142857142856
EL411,2020,-45.04792332268371
EL411,2020,-45.04792332268371
EL411,2020,-45.04792332268371
EL411,2020,-45.04792332268371
EL412,2020,-37.264150943396224
EL412,2020,-37.264150943396224
EL412,2020,-43.58974358974359
EL412,2020,-43.58974358974359
EL412,2020,-37.264150943396224
EL412,2020,-37.264150943396224
EL412,2020,-43.58974358974359
EL412,2020,-43.58974358974359
EL412,2021,50.82644628099175
EL412,2021,50.82644628099175
EL412,2021,50.82644628099175
EL412,2021,50.82644628099175
EL421,2020,-52.05811138014528
EL421,2020,-52.05811138014528
EL421,2020,-52.05811138014528
EL421,2020,-52.05811138014528
EL421,2020,-52.05811138014528
EL421,2020,-52.05811138014528
EL421,2020,-52.05811138014528
EL421,2020,-52.05811138014528
EL421,2020,-52.05811138014528
EL421,2020,-52.05811138014528
EL421,2020,-52.05811138014528
EL421,2020,-52.05811138014528
EL421,2020,-52.05811138014528
EL421,2020,-52.05811138014528
EL421,2020,-52.05811138014528
EL421,2020,-52.05811138014528
EL421,2021,52.073732718894014
EL421,2021,52.073732718894014
EL421,2021,52.073732718894014
EL421,2021,52.073732718894014
EL421,2021,117.17171717171718
EL421,2021,117.17171717171718
EL421,2021,117.17171717171718
EL421,2021,117.17171717171718
EL421,2021,52.073732718894014
EL421,2021,52.073732718894014
EL421,2021,52.073732718894014
EL421,2021,52.073732718894014
EL421,2021,117.17171717171718
EL421,2021,117.17171717171718
EL421,2021,117.17171717171718
EL421,2021,117.17171717171718
EL421,2021,52.073732718894014
EL421,2021,52.073732718894014
EL421,2021,52.073732718894014
EL421,2021,52.073732718894014
EL421,2021,117.17171717171718
EL421,2021,117.17171717171718
EL421,2021,117.17171717171718
EL421,2021,117.17171717171718
EL421,2021,52.073732718894014
EL421,2021,52.073732718894014
EL421,2021,52.073732718894014
EL421,2021,52.073732718894014
EL421,2021,117.17171717171718
EL421,2021,117.17171717171718
EL421,2021,117.17171717171718
EL421,2021,117.17171717171718
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-38.27534039334341
EL422,2020,-38.27534039334341
EL422,2020,-38.27534039334341
EL422,2020,-38.27534039334341
EL422,2020,-38.27534039334341
EL422,2020,-38.27534039334341
EL422,2020,-38.27534039334341
EL422,2020,-38.27534039334341
EL422,2020,-38.27534039334341
EL422,2020,-42.81984334203655
EL422,2020,-42.81984334203655
EL422,2020,-42.81984334203655
EL422,2020,-42.81984334203655
EL422,2020,-42.81984334203655
EL422,2020,-42.81984334203655
EL422,2020,-42.81984334203655
EL422,2020,-42.81984334203655
EL422,2020,-42.81984334203655
EL422,2020,-43.609022556390975
EL422,2020,-43.609022556390975
EL422,2020,-43.609022556390975
EL422,2020,-43.609022556390975
EL422,2020,-43.609022556390975
EL422,2020,-43.609022556390975
EL422,2020,-43.609022556390975
EL422,2020,-43.609022556390975
EL422,2020,-43.609022556390975
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-38.27534039334341
EL422,2020,-38.27534039334341
EL422,2020,-38.27534039334341
EL422,2020,-38.27534039334341
EL422,2020,-38.27534039334341
EL422,2020,-38.27534039334341
EL422,2020,-38.27534039334341
EL422,2020,-38.27534039334341
EL422,2020,-38.27534039334341
EL422,2020,-42.81984334203655
EL422,2020,-42.81984334203655
EL422,2020,-42.81984334203655
EL422,2020,-42.81984334203655
EL422,2020,-42.81984334203655
EL422,2020,-42.81984334203655
EL422,2020,-42.81984334203655
EL422,2020,-42.81984334203655
EL422,2020,-42.81984334203655
EL422,2020,-43.609022556390975
EL422,2020,-43.609022556390975
EL422,2020,-43.609022556390975
EL422,2020,-43.609022556390975
EL422,2020,-43.609022556390975
EL422,2020,-43.609022556390975
EL422,2020,-43.609022556390975
EL422,2020,-43.609022556390975
EL422,2020,-43.609022556390975
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-38.27534039334341
EL422,2020,-38.27534039334341
EL422,2020,-38.27534039334341
EL422,2020,-38.27534039334341
EL422,2020,-38.27534039334341
EL422,2020,-38.27534039334341
EL422,2020,-38.27534039334341
EL422,2020,-38.27534039334341
EL422,2020,-38.27534039334341
EL422,2020,-42.81984334203655
EL422,2020,-42.81984334203655
EL422,2020,-42.81984334203655
EL422,2020,-42.81984334203655
EL422,2020,-42.81984334203655
EL422,2020,-42.81984334203655
EL422,2020,-42.81984334203655
EL422,2020,-42.81984334203655
EL422,2020,-42.81984334203655
EL422,2020,-43.609022556390975
EL422,2020,-43.609022556390975
EL422,2020,-43.609022556390975
EL422,2020,-43.609022556390975
EL422,2020,-43.609022556390975
EL422,2020,-43.609022556390975
EL422,2020,-43.609022556390975
EL422,2020,-43.609022556390975
EL422,2020,-43.609022556390975
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
EL422,2020,-40.76305220883534
