geo,nuts_level,nuts_label
EL611,3,Trikala
EL611,3,ΚΑΡΔΙΤΣΑΣ
EL611,3,Καρδίτσα
EL611,3,ΤΡΙΚΑΛΩΝ
EL611,3,Τρίκαλα
EL612,3,Larisa
EL612,3,ΛΑΡΙΣΑΣ
EL612,3,Λάρισα
EL613,3,Magnisia
EL613,3,ΜΑΓΝΗΣΙΑΣ
EL613,3,Μαγνησία
EL613,3,ΣΠΟΡΑΔΩΝ
EL613,3,Σποράδες
EL62,2,Ionia Nisia
EL62,2,Ionian Islands
EL62,2,ΙΟΝΙΩΝ ΝΗΣΩΝ
EL62,2,Ιόνια Νησιά
EL621,3,Zakynthos
EL621,3,ΖΑΚΥΝΘΟΥ
EL621,3,Ζάκυνθος
EL622,3,Kerkyra
EL622,3,ΚΕΡΚΥΡΑΣ
EL622,3,Κέρκυρα
EL623,3,"Ithaki, Kefallinia"
EL623,3,ΙΘΑΚΗΣ
EL623,3,Ιθάκη
EL623,3,ΚΕΦΑΛΛΗΝΙΑΣ
EL623,3,Κεφαλληνία
EL624,3,Lefkada
EL624,3,ΛΕΥΚΑΔΑΣ
EL624,3,Λευκάδα
EL63,2,Dytiki Ellada
EL63,2,Western Greece
EL63,2,ΔΥΤΙΚΗΣ ΕΛΛΑΔΑΣ
EL63,2,Δυτική Ελλάδα
EL631,3,Aitoloakarnania
EL631,3,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ
EL631,3,Αιτωλοακαρνανία
EL632,3,Achaia
EL632,3,ΑΧΑΪΑΣ
EL632,3,Αχαΐα
EL633,3,Ileia
EL633,3,ΗΛΕΙΑΣ
EL633,3,Ηλεία
EL64,2,Central Greece
EL64,2,Sterea Ellada
EL64,2,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ
EL64,2,Στερεά Ελλάδα
EL641,3,Voiotia
EL641,3,ΒΟΙΩΤΙΑΣ
EL641,3,Βοιωτία
EL642,3,Evvoia
EL642,3,ΕΥΒΟΙΑΣ
EL642,3,Εύβοια
EL643,3,Evrytania
EL643,3,ΕΥΡΥΤΑΝΙΑΣ
EL643,3,Ευρυτανία
EL644,3,Fthiotida
EL644,3,ΦΘΙΩΤΙΔΑΣ
EL644,3,Φθιώτιδα
EL645,3,Fokida
EL645,3,ΦΩΚΙΔΑΣ
EL645,3,Φωκίδα
EL65,2,Peloponnese
EL65,2,Peloponnisos
EL65,2,ΠΕΛΟΠΟΝΝΗΣΟΥ
EL65,2,Πελοπόννησος
EL651,3,Argolida
EL651,3,Arkadia
EL651,3,ΑΡΓΟΛΙΔΑΣ
EL651,3,ΑΡΚΑΔΙΑΣ
EL651,3,Αργολίδα
EL651,3,Αρκαδία
EL652,3,Korinthia
EL652,3,ΚΟΡΙΝΘΙΑΣ
EL652,3,Κορινθία
EL653,3,Lakonia
EL653,3,Messinia
EL653,3,ΛΑΚΩΝΙΑΣ
EL653,3,Λακωνία
EL653,3,ΜΕΣΣΗΝΙΑΣ
EL653,3,Μεσσηνία
"κεα, κυθνοσ",3,"Κέα, Κύθνος"
