geo,year,greek_tourism_Stays__Hotel_Stays_Natives,greek_tourism_Stays__Hotel_Stays_Foreign,greek_tourism_Stays__Hotel_Stays_Total,greek_tourism_Stays__Hotel_Beds,greek_tourism_Stays__Hotel_Occupancy,greek_tourism_Stays__Hotel_Stays_Natives_pct_diff,greek_tourism_Stays__Hotel_Stays_Foreign_pct_diff,greek_tourism_Stays__Hotel_Stays_Total_pct_diff,greek_tourism_Stays__Hotel_Occupancy_pct_diff,_row_order_,__conflict_file
EL422,2018,59679,119414,179093,2778,28.7,110.83515862361337,160.18956313323892,141.3619762536893,31.651376146788984,622,greek_tourism_Stays
EL422,2018,112705,1579038,1691743,13739,58.3,31.21405453233055,35.1730927270237,34.90192607335888,-2.345058626465671,631,greek_tourism_Stays
EL422,2018,122524,434553,557077,6916,36.8,107.5130411218752,244.4923618433048,200.81863197740665,-4.415584415584424,640,greek_tourism_Stays
EL422,2018,115434,450363,565797,7575,38.2,41.04838709677419,56.90778471486705,53.3890539602672,1.326259946949602,676,greek_tourism_Stays
EL422,2018,134144,82836,216980,2459,33.9,51.89265696654023,338.65706418131754,102.40860455787836,-0.5865102639296271,775,greek_tourism_Stays
EL422,2018,119195,30003,149198,2340,25.6,38.41374905649423,112.56110520722636,48.85563204629352,-8.571428571428566,784,greek_tourism_Stays
EL422,2019,59581,38382,97963,1439,26.0,5.660678501126106,7.872178971923217,6.516255300641513,5.6910569105691,209,greek_tourism_Stays
EL422,2019,186617,1889481,2076098,18836,49.8,-3.6686213375730414,13.13132946066439,11.385221230866629,1.8404907975460087,398,greek_tourism_Stays
EL422,2019,40288,115477,155765,2762,25.2,-32.492166423700134,-3.2969333578977342,-13.025634726092033,-12.195121951219512,623,greek_tourism_Stays
EL422,2019,108405,1963107,2071512,18272,66.1,-3.8152699525309433,24.32297386130036,22.44838607282548,13.37907375643224,632,greek_tourism_Stays
EL422,2019,119853,483586,603439,7357,38.3,-2.179981064934217,11.283548842143537,8.322368362003816,4.076086956521739,641,greek_tourism_Stays
EL422,2019,129147,484705,613852,7943,39.9,11.87951556733718,7.625404396009442,8.493328879439092,4.450261780104701,677,greek_tourism_Stays
