geo,year,greek_tourism_Turnover__Turnover_Catering,greek_tourism_Turnover__Turnover_Accomodation,greek_tourism_Turnover__Turnover_Catering_pct_diff,greek_tourism_Turnover__Turnover_Accomodation_pct_diff,_row_order_,__conflict_file
EL651,2021,32339.0,5872.0,19.393782766004577,8.479586181415112,122,greek_tourism_Turnover
EL651,2022,93046.0,40781.0,43.69594761551767,44.628861226371605,117,greek_tourism_Turnover
EL651,2022,46102.0,9022.0,42.55852067163487,53.64441416893733,123,greek_tourism_Turnover
EL651,2023,107624.0,45050.0,15.66751929153322,10.46811014933425,118,greek_tourism_Turnover
EL651,2023,54964.0,10772.0,19.22259337989675,19.39702948348481,124,greek_tourism_Turnover
EL651,2024,110714.0,47824.0,2.8711068163234965,6.157602663706992,119,greek_tourism_Turnover
EL651,2024,57027.0,11317.0,3.7533658394585543,5.059413293724471,125,greek_tourism_Turnover
EL541,2019,17647.0,2785.0,,,126,greek_tourism_Turnover
EL541,2019,37445.0,31349.0,,,408,greek_tourism_Turnover
EL541,2020,14588.0,1499.0,-17.33439111463705,-46.175942549371634,127,greek_tourism_Turnover
EL541,2020,25501.0,14420.0,-31.89744959273601,-54.00172254298384,409,greek_tourism_Turnover
EL541,2021,17620.0,2070.0,20.784206196874145,38.0920613742495,128,greek_tourism_Turnover
EL541,2021,35928.0,28318.0,40.8885926042116,96.38002773925103,410,greek_tourism_Turnover
EL541,2022,23140.0,2898.0,31.32803632236095,40.0,129,greek_tourism_Turnover
EL541,2022,53381.0,43176.0,48.57771097751058,52.46839466063987,411,greek_tourism_Turnover
EL541,2023,25784.0,3389.0,11.426101987899742,16.94271911663216,130,greek_tourism_Turnover
EL541,2023,63662.0,50978.0,19.25966167737585,18.070224198628868,412,greek_tourism_Turnover
EL541,2024,24737.0,3987.0,-4.060657772261868,17.645323104160518,131,greek_tourism_Turnover
EL541,2024,67669.0,57117.0,6.294178630894411,12.042449684177488,413,greek_tourism_Turnover
EL531,2019,9075.0,3609.0,,,150,greek_tourism_Turnover
EL531,2019,37798.0,13532.0,,,300,greek_tourism_Turnover
EL531,2020,7172.0,3191.0,-20.96969696969697,-11.582155721806595,151,greek_tourism_Turnover
EL531,2020,30466.0,6752.0,-19.397851738187207,-50.103458468814665,301,greek_tourism_Turnover
EL531,2021,7112.0,1530.0,-0.8365867261572784,-52.05264807270448,152,greek_tourism_Turnover
EL531,2021,37286.0,10769.0,22.385610188406748,59.49348341232228,302,greek_tourism_Turnover
EL531,2022,10818.0,,52.10911136107986,,153,greek_tourism_Turnover
EL531,2022,55500.0,14990.0,48.84943410395323,39.195839910855234,303,greek_tourism_Turnover
EL531,2023,13082.0,1428.0,20.928082824921425,,154,greek_tourism_Turnover
EL531,2023,63681.0,17420.0,14.74054054054054,16.210807204803203,304,greek_tourism_Turnover
EL531,2024,12718.0,1552.0,-2.782449166794068,8.683473389355742,155,greek_tourism_Turnover
EL531,2024,63277.0,18158.0,-0.6344121480504389,4.236509758897818,305,greek_tourism_Turnover
EL515,2019,23758.0,51703.0,,,204,greek_tourism_Turnover
EL515,2019,52913.0,17835.0,,,246,greek_tourism_Turnover
EL515,2020,10202.0,15350.0,-57.0586749726408,-70.31120051060867,205,greek_tourism_Turnover
EL515,2020,38613.0,7592.0,-27.025494679946327,-57.43201569946734,247,greek_tourism_Turnover
EL515,2021,20911.0,40303.0,104.96961380121546,162.56026058631923,206,greek_tourism_Turnover
EL515,2021,49439.0,13241.0,28.037189547561702,74.4072708113804,248,greek_tourism_Turnover
EL515,2022,36456.0,64974.0,74.33886471235235,61.21380542391385,207,greek_tourism_Turnover
EL515,2022,74825.0,21364.0,51.34812597342179,61.3473302620648,249,greek_tourism_Turnover
EL515,2023,46000.0,76580.0,26.17950405968839,17.86252962723551,208,greek_tourism_Turnover
EL515,2023,90323.0,29165.0,20.712328767123285,36.514697622168136,250,greek_tourism_Turnover
EL515,2024,45707.0,86446.0,-0.6369565217391304,12.88325933664142,209,greek_tourism_Turnover
EL515,2024,95832.0,33771.0,6.099221682185047,15.79290245156866,251,greek_tourism_Turnover
EL623,2019,3244.0,2319.0,,,228,greek_tourism_Turnover
EL623,2019,46293.0,66439.0,,,288,greek_tourism_Turnover
EL623,2020,2011.0,927.0,-38.00863131935881,-60.025873221216045,229,greek_tourism_Turnover
EL623,2020,21006.0,21833.0,-54.62380921521613,-67.138277216695,289,greek_tourism_Turnover
EL623,2021,3415.0,1741.0,69.81601193436101,87.8101402373247,230,greek_tourism_Turnover
