geo,year,greek_tourism_Stays__Hotel_Stays_Foreign
EL30,2015,5661483.0
EL30,2016,5671125.0
EL30,2017,6473146.0
EL30,2018,7576299.0
EL30,2019,7603950.0
EL30,2019,7603950.0
EL30,2020,1790303.0
EL30,2020,1790303.0
EL30,2021,3318037.0
EL30,2021,3318037.0
EL30,2022,7285123.0
EL30,2022,7285123.0
EL30,2023,8572789.0
EL30,2023,8572789.0
EL30,2024,8779633.0
EL30,2024,8779633.0
EL303,2015,3978110.0
EL303,2016,3964340.0
EL303,2017,4389846.0
EL303,2018,5101323.0
EL303,2019,5180449.0
EL303,2021,2144825.0
EL303,2022,5098300.0
EL303,2023,6013671.0
EL303,2024,6147422.0
EL41,2015,1421364.0
EL41,2017,1354165.0
EL41,2018,1609213.0
EL41,2019,1538153.0
EL41,2023,1508312.0
EL41,2024,1686031.0
EL42,2015,17735593.0
EL42,2016,17618576.0
EL42,2017,20054482.0
EL42,2018,27902129.0
EL42,2019,28701778.0
EL42,2020,7342324.0
EL42,2021,15315940.0
EL42,2022,26835038.0
EL42,2023,28126513.0
EL42,2024,30600629.0
EL421,2015,5619748.0
EL421,2015,9808975.0
EL421,2015,5619748.0
EL421,2015,9808975.0
EL421,2015,5619748.0
EL421,2015,9808975.0
EL421,2015,5619748.0
EL421,2015,9808975.0
EL421,2016,4730652.0
EL421,2016,10557226.0
EL421,2016,4730652.0
EL421,2016,10557226.0
EL421,2016,4730652.0
EL421,2016,10557226.0
EL421,2016,4730652.0
EL421,2016,10557226.0
EL421,2017,5835235.0
EL421,2017,11459047.0
EL421,2017,5835235.0
EL421,2017,11459047.0
EL421,2017,5835235.0
EL421,2017,11459047.0
EL421,2017,5835235.0
EL421,2017,11459047.0
EL421,2018,7981305.0
EL421,2018,14735326.0
EL421,2018,7981305.0
EL421,2018,14735326.0
EL421,2018,7981305.0
EL421,2018,14735326.0
EL421,2018,7981305.0
EL421,2018,14735326.0
EL421,2019,8345642.0
EL421,2019,8345642.0
EL421,2019,8345642.0
EL421,2019,8345642.0
EL421,2019,14493694.0
EL421,2019,14493694.0
EL421,2019,14493694.0
EL421,2019,14493694.0
EL421,2019,8345642.0
EL421,2019,8345642.0
EL421,2019,8345642.0
EL421,2019,8345642.0
EL421,2019,14493694.0
EL421,2019,14493694.0
EL421,2019,14493694.0
EL421,2019,14493694.0
EL421,2019,8345642.0
EL421,2019,8345642.0
EL421,2019,8345642.0
EL421,2019,8345642.0
EL421,2019,14493694.0
EL421,2019,14493694.0
EL421,2019,14493694.0
EL421,2019,14493694.0
EL421,2019,8345642.0
EL421,2019,8345642.0
EL421,2019,8345642.0
EL421,2019,8345642.0
EL421,2019,14493694.0
EL421,2019,14493694.0
EL421,2019,14493694.0
EL421,2019,14493694.0
EL421,2020,2413382.0
EL421,2020,2413382.0
EL421,2020,2413382.0
EL421,2020,2413382.0
EL421,2020,3731516.0
EL421,2020,3731516.0
EL421,2020,3731516.0
EL421,2020,3731516.0
EL421,2020,2413382.0
EL421,2020,2413382.0
EL421,2020,2413382.0
EL421,2020,2413382.0
EL421,2020,3731516.0
EL421,2020,3731516.0
EL421,2020,3731516.0
EL421,2020,3731516.0
EL421,2020,2413382.0
EL421,2020,2413382.0
EL421,2020,2413382.0
EL421,2020,2413382.0
EL421,2020,3731516.0
EL421,2020,3731516.0
EL421,2020,3731516.0
EL421,2020,3731516.0
EL421,2020,2413382.0
EL421,2020,2413382.0
EL421,2020,2413382.0
EL421,2020,2413382.0
EL421,2020,3731516.0
EL421,2020,3731516.0
EL421,2020,3731516.0
EL421,2020,3731516.0
EL421,2021,4459459.0
EL421,2021,4459459.0
EL421,2021,4459459.0
EL421,2021,4459459.0
EL421,2021,8022445.0
EL421,2021,8022445.0
EL421,2021,8022445.0
EL421,2021,8022445.0
EL421,2021,4459459.0
EL421,2021,4459459.0
EL421,2021,4459459.0
EL421,2021,4459459.0
EL421,2021,8022445.0
EL421,2021,8022445.0
EL421,2021,8022445.0
EL421,2021,8022445.0
EL421,2021,4459459.0
EL421,2021,4459459.0
EL421,2021,4459459.0
EL421,2021,4459459.0
EL421,2021,8022445.0
EL421,2021,8022445.0
EL421,2021,8022445.0
EL421,2021,8022445.0
EL421,2021,4459459.0
EL421,2021,4459459.0
EL421,2021,4459459.0
EL421,2021,4459459.0
EL421,2021,8022445.0
EL421,2021,8022445.0
EL421,2021,8022445.0
EL421,2021,8022445.0
EL421,2022,7670321.0
EL421,2022,7670321.0
EL421,2022,7670321.0
EL421,2022,7670321.0
EL421,2022,13559213.0
EL421,2022,13559213.0
EL421,2022,13559213.0
EL421,2022,13559213.0
EL421,2022,7670321.0
EL421,2022,7670321.0
EL421,2022,7670321.0
EL421,2022,7670321.0
EL421,2022,13559213.0
EL421,2022,13559213.0
EL421,2022,13559213.0
EL421,2022,13559213.0
EL421,2022,7670321.0
EL421,2022,7670321.0
EL421,2022,7670321.0
EL421,2022,7670321.0
EL421,2022,13559213.0
EL421,2022,13559213.0
EL421,2022,13559213.0
EL421,2022,13559213.0
EL421,2022,7670321.0
EL421,2022,7670321.0
EL421,2022,7670321.0
EL421,2022,7670321.0
EL421,2022,13559213.0
EL421,2022,13559213.0
EL421,2022,13559213.0
