geo,nuts_label,nuts_level,year,Hotel_Arrivals_Natives,Hotel_Arrivals_Foreign,Hotel_Arrivals_Total,Hotel_Beds,Hotel_Arrivals_Natives_pct_diff,Hotel_Arrivals_Foreign_pct_diff,Hotel_Arrivals_Total_pct_diff,Hotel_Beds_pct_diff
EL307,Νήσοι,3,2015,65767,35830,101597,6607,,,,
EL307,Πειραιάς,3,2015,100235,116517,216752,2931,,,,
EL307,Νήσοι,3,2016,74744,37840,112584,6705,13.649702738455458,5.609824169690204,10.81429569770761,1.4832753140608446
EL307,Πειραιάς,3,2016,99686,121715,221401,2797,-0.5477128747443507,4.461151591613241,2.144847567727172,-4.571818491982259
EL307,Νήσοι,3,2017,74011,43297,117308,6683,-0.9806807235363374,14.421247357293868,4.195978114119235,-0.3281133482475764
EL307,Πειραιάς,3,2017,104267,130864,235131,2867,4.595429649098168,7.51673992523518,6.201417337771735,2.502681444404719
EL307,Νήσοι,3,2018,97101,64743,161844,8070,31.198065152477334,49.53230015936439,37.96501517373069,20.754152326799343
EL307,Πειραιάς,3,2018,104298,158774,263072,3050,0.0297313627513978,21.3274850226189,11.883163002751658,6.382978723404255
EL307,Νήσοι,3,2019,90142,59550,149692,8042,-7.166764502940238,-8.020944349196052,-7.508464941548652,-0.3469640644361834
EL307,Πειραιάς,3,2019,104224,163750,267974,3195,-0.0709505455521678,3.1340143852268008,1.863368203381584,4.754098360655737
EL307,Νήσοι,3,2020,49739,18404,68143,6222,-44.82150384948193,-69.09487825356842,-54.47786120834781,-22.631186272071623
EL307,Πειραιάς,3,2020,50696,47856,98552,2906,-51.3586122198342,-70.77496183206107,-63.22329778262071,-9.045383411580596
EL307,Νήσοι,3,2021,79926,41363,121289,5110,60.69080600735841,124.75005433601392,77.9918700380083,-17.872066859530698
EL307,Πειραιάς,3,2021,60695,79243,139938,2563,19.72344958182105,65.58634236041458,41.99407419433396,-11.803165863730214
EL307,Νήσοι,3,2022,89002,59165,148167,7899,11.355503841052975,43.03846432802263,22.160294833002165,54.57925636007828
EL307,Πειραιάς,3,2022,100032,151889,251921,3445,64.81093994562978,91.67497444569236,80.02329603109949,34.41279750292626
EL307,Νήσοι,3,2023,97856,70760,168616,7301,9.948091054133616,19.597735147468946,13.801318782184968,-7.570578554247373
EL307,Πειραιάς,3,2023,117933,197416,315349,3581,17.895273512476006,29.97386249168801,25.177734289717808,3.947750362844703
EL411,Λέσβος,3,2015,41432,90201,131633,7148,,,,
EL411,Λήμνος,3,2015,9608,15120,24728,1778,,,,
EL411,Λέσβος,3,2016,38525,53358,91988,6922,-7.016315891098667,-40.845445172448194,-30.117827596423396,-3.161723559037493
EL411,Λήμνος,3,2016,11201,13185,24386,1788,16.57993338884263,-12.797619047619047,-1.3830475574247816,0.562429696287964
EL411,Λέσβος,3,2017,47000,65531,112531,7282,21.99870214146658,22.81382360658196,22.33226072966039,5.200809014735626
EL411,Λήμνος,3,2017,13146,14974,28120,1797,17.36452102490849,13.568448995070156,15.31206429918806,0.5033557046979865
