geo,year,greek_tourism_Arrivals__Hotel_Arrivals_Natives,greek_tourism_Arrivals__Hotel_Arrivals_Foreign,greek_tourism_Arrivals__Hotel_Arrivals_Total,greek_tourism_Arrivals__Hotel_Beds,greek_tourism_Arrivals__Hotel_Arrivals_Natives_pct_diff,greek_tourism_Arrivals__Hotel_Arrivals_Foreign_pct_diff,greek_tourism_Arrivals__Hotel_Arrivals_Total_pct_diff,greek_tourism_Arrivals__Hotel_Beds_pct_diff,_row_order_,__conflict_file
EL422,2015,11645,4887,16532,1361,,,,,135,greek_tourism_Arrivals
EL422,2015,16913,198416,215329,8851,,,,,324,greek_tourism_Arrivals
EL422,2015,11499,10630,22129,1775,,,,,549,greek_tourism_Arrivals
EL422,2015,26794,237373,264167,8911,,,,,558,greek_tourism_Arrivals
EL422,2015,13252,34551,47803,2761,,,,,567,greek_tourism_Arrivals
EL422,2015,15823,59845,75668,5908,,,,,603,greek_tourism_Arrivals
EL422,2015,25543,4094,29637,1378,,,,,702,greek_tourism_Arrivals
EL422,2015,43921,2088,46009,1638,,,,,711,greek_tourism_Arrivals
EL422,2016,17972,4365,22337,1321,54.332331472735085,-10.681399631675877,35.11371884829422,-2.9390154298310067,136,greek_tourism_Arrivals
EL422,2016,21589,174774,196348,8964,27.64737184414356,-11.915369728247722,-8.814883271644785,1.276691899220427,325,greek_tourism_Arrivals
EL422,2016,12296,12194,24490,1813,6.931037481520132,14.71307619943556,10.669257535360838,2.140845070422535,550,greek_tourism_Arrivals
EL422,2016,33208,288717,321950,10344,23.93819511831007,21.63009272326676,21.873663250898108,16.08124789585905,559,greek_tourism_Arrivals
EL422,2016,28673,21838,50511,2731,116.36734077875036,-36.79488292668808,5.664916427839257,-1.0865628395508875,568,greek_tourism_Arrivals
EL422,2016,21601,53128,74766,5801,36.51646337609809,-11.223995321246552,-1.1920494793043297,-1.8111035883547733,604,greek_tourism_Arrivals
EL422,2016,27314,3766,31080,1465,6.933406412715813,-8.01172447484123,4.868913857677903,6.313497822931785,703,greek_tourism_Arrivals
EL422,2016,31539,2889,34428,1563,-28.191525693859436,38.362068965517246,-25.17116216392445,-4.5787545787545785,712,greek_tourism_Arrivals
EL422,2017,19757,6477,26234,1348,9.932116625862452,48.38487972508591,17.44638939875543,2.043906131718395,137,greek_tourism_Arrivals
EL422,2017,20466,196739,217205,9247,-5.2017230997267125,12.567658805085424,10.62246623342229,3.1570727353859884,326,greek_tourism_Arrivals
EL422,2017,8354,12821,21175,1801,-32.05920624593364,5.141873052320813,-13.536137198856675,-0.6618863761720905,551,greek_tourism_Arrivals
EL422,2017,31768,355542,387310,11264,-4.336304504938569,23.145502343124928,20.301289020034165,8.894044856921887,560,greek_tourism_Arrivals
EL422,2017,20807,30061,50868,2885,-27.433473999930246,37.65454711969961,0.7067767416998277,5.638960087879898,569,greek_tourism_Arrivals
EL422,2017,24582,67412,91994,5981,13.8002870237489,26.886011142900166,23.0425594521574,3.102913290811929,605,greek_tourism_Arrivals
EL422,2017,26465,4930,31395,1351,-3.108296111884016,30.90812533191715,1.0135135135135136,-7.781569965870307,704,greek_tourism_Arrivals
EL422,2017,38246,4202,42448,1511,21.26573448745997,45.44825199030807,23.29499244800744,-3.326935380678183,713,greek_tourism_Arrivals
EL422,2018,20062,8953,29015,1452,1.543756643215063,38.227574494364674,10.600747122055347,7.71513353115727,138,greek_tourism_Arrivals
EL422,2018,73862,528415,602277,17748,260.9010065474445,168.5868079028561,177.2850532906701,91.93251865469882,327,greek_tourism_Arrivals
EL422,2018,21003,39045,60048,2778,151.4124970074216,204.5394275017549,183.5796930342385,54.24764019988895,552,greek_tourism_Arrivals
EL422,2018,44801,499148,543949,13739,41.02556031226391,40.39072739648199,40.442797758901136,21.97265625,561,greek_tourism_Arrivals
EL422,2018,40061,100431,140492,6916,92.5361657134618,234.09068227936527,176.18935283478808,139.72270363951475,570,greek_tourism_Arrivals
EL422,2018,31364,111042,142406,7575,27.58929297860223,64.72141458494036,54.79922603648064,26.651061695368668,606,greek_tourism_Arrivals
EL422,2018,47526,19967,67493,2459,79.58057812204798,305.0101419878296,114.98009237139672,82.01332346410067,705,greek_tourism_Arrivals
EL422,2018,55145,9247,64392,2340,44.185012811797314,120.0618752974774,51.696192989068976,54.86432825943084,714,greek_tourism_Arrivals
EL422,2019,19924,9556,29480,1439,-0.687867610407736,6.73517256785435,1.6026193348268138,-0.8953168044077136,139,greek_tourism_Arrivals
EL422,2019,74010,631537,705547,18836,0.2003736698166852,19.51534305422821,17.146595337361383,6.130268199233716,328,greek_tourism_Arrivals
EL422,2019,15538,40375,55913,2762,-26.020092367756988,3.40632603406326,-6.886157740474287,-0.5759539236861051,553,greek_tourism_Arrivals
EL422,2019,43141,573126,616267,18272,-3.7052744358384855,14.820854736470944,13.294996405913054,32.99366766140185,562,greek_tourism_Arrivals
EL422,2019,40282,117657,157939,7357,0.5516587204513117,17.15207455865221,12.418500697548614,6.376518218623482,571,greek_tourism_Arrivals
EL422,2019,36812,123319,160131,7943,17.370233388598393,11.05617694205796,12.44680701655829,4.858085808580858,607,greek_tourism_Arrivals
EL422,2019,46612,22289,68901,2531,-1.9231578504397595,11.629188160464766,2.086142266605426,2.928019520130134,706,greek_tourism_Arrivals
EL422,2019,55715,8077,63792,2348,1.033638589173996,-12.65275224397102,-0.9317927692881104,0.3418803418803419,715,greek_tourism_Arrivals
EL422,2020,7610,2003,9613,958,-61.8048584621562,-79.03934700711595,-67.39145183175033,-33.42599027102155,140,greek_tourism_Arrivals
EL422,2020,27198,116554,143752,13020,-63.25091203891367,-81.54439090662939,-79.62545372597431,-30.877043958377577,329,greek_tourism_Arrivals
EL422,2020,12227,13572,25799,2399,-21.30904878362724,-66.38513931888545,-53.85867329601345,-13.142650253439536,554,greek_tourism_Arrivals
EL422,2020,20260,89767,110027,8012,-53.03771354396049,-84.33730104723918,-82.14621259940901,-56.151488616462345,563,greek_tourism_Arrivals
EL422,2020,22640,24727,47367,5279,-43.79623653244625,-78.98382586671427,-70.0093073908281,-28.245208644828057,572,greek_tourism_Arrivals
EL422,2020,17537,24004,41541,5681,-52.36064326849941,-80.53503515273397,-74.05811491841055,-28.47790507364976,608,greek_tourism_Arrivals
EL422,2020,24139,5373,29512,1791,-48.21290654767012,-75.89393871416394,-57.167530224525045,-29.237455551165542,707,greek_tourism_Arrivals
EL422,2020,25675,4690,30365,2145,-53.91725747105807,-41.933886343939584,-52.39998745924254,-8.645655877342419,716,greek_tourism_Arrivals
EL422,2021,13060,5686,18746,1067,71.61629434954008,183.8741887169246,95.00676167689586,11.377870563674325,141,greek_tourism_Arrivals
EL422,2021,36365,271180,307545,12935,33.70468416795352,132.66468761260876,113.94137125048697,-0.65284178187404,330,greek_tourism_Arrivals
EL422,2021,12488,24563,37051,1960,2.1346201030506258,80.98290598290599,43.6140935695182,-18.299291371404752,555,greek_tourism_Arrivals
EL422,2021,30772,251962,282734,10699,51.88548864758145,180.6844386021589,156.96783516773155,33.53719420868697,564,greek_tourism_Arrivals
EL422,2021,21138,51294,72432,4259,-6.6342756183745575,107.44125854329276,52.91658749762493,-19.32184125781398,573,greek_tourism_Arrivals
EL422,2021,25897,66792,92689,5110,47.670639219935,178.25362439593405,123.1265496738162,-10.051047350818518,609,greek_tourism_Arrivals
EL422,2021,31545,16215,47760,1933,30.680641285885912,201.78671133445,61.83247492545405,7.928531546621999,708,greek_tourism_Arrivals
EL422,2021,20541,5142,25683,1538,-19.99610516066212,9.637526652452026,-15.419068005927878,-28.2983682983683,717,greek_tourism_Arrivals
EL422,2022,17514,9048,26562,1331,34.104134762634,59.12768202602884,41.69422810199509,24.742268041237114,142,greek_tourism_Arrivals
EL422,2022,63790,608721,672511,20278,75.41592190292864,124.4711999409986,118.67076362808696,56.76845767298029,331,greek_tourism_Arrivals
EL422,2022,16995,36359,53354,3044,36.09064702114029,48.02344990432765,44.00151143019082,55.30612244897959,556,greek_tourism_Arrivals
EL422,2022,48192,540660,588852,16958,56.60990510854023,114.5799763456394,108.27067137309272,58.5007944667726,565,greek_tourism_Arrivals
