nuts_label,nuts_level,geo,year,Turnover_Catering,Turnover_Accomodation,Turnover_Catering_pct_diff,Turnover_Accomodation_pct_diff
ΑΤΤΙΚΗΣ,2,EL30,2019,2447373.0,1674803.0,,
ΑΤΤΙΚΗΣ,3,EL30,2019,2447373.0,1674803.0,,
ΑΤΤΙΚΗΣ,2,EL30,2020,1848473.0,732109.0,-24.47113701099097,-56.28685881264841
ΑΤΤΙΚΗΣ,3,EL30,2020,1848473.0,732109.0,-24.47113701099097,-56.28685881264841
ΑΤΤΙΚΗΣ,2,EL30,2021,2436255.0,1274737.0,31.798246444497703,74.11847142980076
ΑΤΤΙΚΗΣ,3,EL30,2021,2436255.0,1274737.0,31.798246444497703,74.11847142980076
ΑΤΤΙΚΗΣ,2,EL30,2022,3698547.0,2233624.0,51.81280284699263,75.22233998071759
ΑΤΤΙΚΗΣ,3,EL30,2022,3698547.0,2233624.0,51.81280284699263,75.22233998071759
ΑΤΤΙΚΗΣ,2,EL30,2023,4408579.0,2631652.0,19.197593000710818,17.81983001615312
ΑΤΤΙΚΗΣ,3,EL30,2023,4408579.0,2631652.0,19.197593000710818,17.81983001615312
ΑΤΤΙΚΗΣ,2,EL30,2024,4464743.0,2871918.0,1.273970592338257,9.129854555237548
ΑΤΤΙΚΗΣ,3,EL30,2024,4464743.0,2871918.0,1.273970592338257,9.129854555237548
ΛΕΣΒΟΥ,3,EL411,2019,54890.0,20349.0,,
ΛΗΜΝΟΥ,3,EL411,2019,8125.0,5134.0,,
ΛΕΣΒΟΥ,3,EL411,2020,,,,
ΛΗΜΝΟΥ,3,EL411,2020,6294.0,3474.0,-22.53538461538461,-32.33346318659914
ΛΕΣΒΟΥ,3,EL411,2021,,,,
ΛΗΜΝΟΥ,3,EL411,2021,7991.0,,26.962186209088017,
ΛΕΣΒΟΥ,3,EL411,2022,60976.0,21040.0,,
ΛΗΜΝΟΥ,3,EL411,2022,11883.0,7282.0,48.7047928920035,
ΛΕΣΒΟΥ,3,EL411,2023,78650.0,27664.0,28.985174494883232,31.482889733840302
ΛΗΜΝΟΥ,3,EL411,2023,15263.0,,28.443995624000674,
ΛΕΣΒΟΥ,3,EL411,2024,85927.0,34902.0,9.252383979656708,26.16396761133603
ΛΗΜΝΟΥ,3,EL411,2024,19049.0,14614.0,24.80508419052611,
ΙΚΑΡΙΑΣ,3,EL412,2019,3901.0,2332.0,,
ΣΑΜΟΥ,3,EL412,2019,23516.0,45920.0,,
ΙΚΑΡΙΑΣ,3,EL412,2020,2457.0,1028.0,-37.016149705203794,-55.91766723842196
ΣΑΜΟΥ,3,EL412,2020,11383.0,14547.0,-51.5946589556047,-68.3209930313589
ΙΚΑΡΙΑΣ,3,EL412,2021,4845.0,2019.0,97.1916971916972,96.40077821011673
ΣΑΜΟΥ,3,EL412,2021,19905.0,30240.0,74.86602828779759,107.87791297174677
ΙΚΑΡΙΑΣ,3,EL412,2022,6415.0,2616.0,32.404540763673886,29.569093610698367
ΣΑΜΟΥ,3,EL412,2022,34056.0,54689.0,71.0926902788244,80.84986772486774
ΙΚΑΡΙΑΣ,3,EL412,2023,7924.0,3208.0,23.52299298519096,22.629969418960243
ΣΑΜΟΥ,3,EL412,2023,41011.0,59493.0,20.422245712943383,8.784216204355538
ΙΚΑΡΙΑΣ,3,EL412,2024,9087.0,3869.0,14.67693084300858,20.604738154613468
