geo,nuts_label,nuts_level,year,GVA_GHI,GVA_total,GVA_GHI_pct,GVA_GHI_pct_diff
EL531,Grevena,3,2000,38.42658,278.780313,13.783821241351433,
EL531,Kozani,3,2000,246.776682,1697.979465,14.533549261739749,
EL531,Grevena,3,2001,41.243482,293.075738,14.072636063787716,7.330608136347286
EL531,Kozani,3,2001,248.645282,1809.922052,13.737900023111052,0.7572028219424779
EL531,Grevena,3,2002,35.251885,269.239233,13.093145678364044,-14.527379138356938
EL531,Kozani,3,2002,264.930709,1929.280447,13.732099416233806,6.549662583181437
EL531,Grevena,3,2003,41.945646,266.801108,15.721691080833144,18.988377500947827
EL531,Kozani,3,2003,281.261301,2197.510811,12.799086111071697,6.16409930794396
EL531,Grevena,3,2004,50.981137,310.225844,16.43355574205481,21.540950877237638
EL531,Kozani,3,2004,292.748417,2345.924916,12.479019042909556,4.084143804767516
EL531,Grevena,3,2005,53.535973,307.564672,17.406411683068722,5.011335859378739
EL531,Kozani,3,2005,286.349457,2454.109678,11.668160537688896,-2.18582223793888
EL531,Grevena,3,2006,54.716695,319.153524,17.1443179803335,2.20547406507397
EL531,Kozani,3,2006,302.187484,2630.667973,11.4871008846999,5.531013456749811
EL531,Grevena,3,2007,58.609712,331.865348,17.66069050390883,7.114861378232002
EL531,Kozani,3,2007,324.422935,2632.342758,12.324494369665215,7.358164112448817
EL531,Grevena,3,2008,66.454434,346.922779,19.15539653854785,13.384679317311788
EL531,Kozani,3,2008,376.901948,2656.457089,14.18814365798325,16.176110668624588
EL531,Grevena,3,2009,61.586273,329.694693,18.67978900103193,-7.325562354499938
EL531,Kozani,3,2009,361.399434,2749.830445,13.142607925413378,-4.113142445207001
EL531,Grevena,3,2010,64.970857,329.504731,19.717731154518688,5.495679207605235
EL531,Kozani,3,2010,319.222456,2790.362076,11.44018042481452,-11.670460446819616
EL531,Grevena,3,2011,56.046611,301.789921,18.571399208524262,-13.735767715054148
EL531,Kozani,3,2011,261.660118,2704.57613,9.674718159995,-18.032045339567212
EL531,Grevena,3,2012,51.800625,285.900476,18.118411597188103,-7.575812211018436
EL531,Kozani,3,2012,232.42152,3032.850654,7.663467361752921,-11.174266152398518
EL531,Grevena,3,2013,52.690097,271.707589,19.39220659751245,1.7171066951412362
EL531,Kozani,3,2013,220.91126,2889.88987,7.64427953789118,-4.952321110368777
EL531,Grevena,3,2014,49.175673,269.50938,18.24636790007086,-6.669989618732336
EL531,Kozani,3,2014,206.055378,2803.317288,7.350412273417977,-6.7248188254414965
