geo,year,total_employment
AT1,2008,1707100.0
AT1,2008,1707100.0
AT1,2008,1707100.0
AT1,2008,1707100.0
AT1,2008,1707100.0
AT1,2008,1707100.0
AT1,2008,1707100.0
AT1,2008,1707100.0
AT1,2008,1707100.0
AT1,2008,1707100.0
AT1,2008,1707100.0
AT1,2008,1707100.0
AT1,2008,1707100.0
AT1,2008,1707100.0
AT1,2008,1659600.0
AT1,2009,1703200.0
AT1,2009,1703200.0
AT1,2009,1703200.0
AT1,2009,1703200.0
AT1,2009,1703200.0
AT1,2009,1703200.0
AT1,2009,1703200.0
AT1,2009,1703200.0
AT1,2009,1703200.0
AT1,2009,1703200.0
AT1,2009,1703200.0
AT1,2009,1703200.0
AT1,2009,1703200.0
AT1,2009,1703200.0
AT1,2009,1651100.0
AT1,2010,1714800.0
AT1,2010,1714800.0
AT1,2010,1714800.0
AT1,2010,1714800.0
AT1,2010,1714800.0
AT1,2010,1714800.0
AT1,2010,1714800.0
AT1,2010,1714800.0
AT1,2010,1714800.0
AT1,2010,1714800.0
AT1,2010,1714800.0
AT1,2010,1714800.0
AT1,2010,1714800.0
AT1,2010,1714800.0
AT1,2010,1671900.0
AT1,2011,1742500.0
AT1,2011,1742500.0
AT1,2011,1742500.0
AT1,2011,1742500.0
AT1,2011,1742500.0
AT1,2011,1742500.0
AT1,2011,1742500.0
AT1,2011,1742500.0
AT1,2011,1742500.0
AT1,2011,1742500.0
AT1,2011,1742500.0
AT1,2011,1742500.0
AT1,2011,1742500.0
AT1,2011,1742500.0
AT1,2011,1683900.0
AT1,2012,1768700.0
AT1,2012,1768700.0
AT1,2012,1768700.0
AT1,2012,1768700.0
AT1,2012,1768700.0
AT1,2012,1768700.0
AT1,2012,1768700.0
AT1,2012,1768700.0
AT1,2012,1768700.0
AT1,2012,1768700.0
AT1,2012,1768700.0
AT1,2012,1768700.0
AT1,2012,1768700.0
AT1,2012,1768700.0
AT1,2012,1698000.0
AT1,2013,1777100.0
AT1,2013,1777100.0
AT1,2013,1777100.0
AT1,2013,1777100.0
AT1,2013,1777100.0
AT1,2013,1777100.0
AT1,2013,1777100.0
AT1,2013,1777100.0
AT1,2013,1777100.0
AT1,2013,1777100.0
AT1,2013,1777100.0
AT1,2013,1777100.0
AT1,2013,1777100.0
AT1,2013,1777100.0
AT1,2013,1708900.0
AT1,2014,1795700.0
AT1,2014,1795700.0
AT1,2014,1795700.0
AT1,2014,1795700.0
AT1,2014,1795700.0
AT1,2014,1795700.0
AT1,2014,1795700.0
AT1,2014,1795700.0
AT1,2014,1795700.0
AT1,2014,1795700.0
AT1,2014,1795700.0
AT1,2014,1795700.0
AT1,2014,1795700.0
AT1,2014,1795700.0
AT1,2014,1712100.0
AT1,2015,1809200.0
AT1,2015,1809200.0
AT1,2015,1809200.0
AT1,2015,1809200.0
AT1,2015,1809200.0
AT1,2015,1809200.0
AT1,2015,1809200.0
AT1,2015,1809200.0
AT1,2015,1809200.0
AT1,2015,1809200.0
AT1,2015,1809200.0
AT1,2015,1809200.0
AT1,2015,1809200.0
AT1,2015,1809200.0
AT1,2015,1733300.0
AT1,2016,1834900.0
AT1,2016,1834900.0
AT1,2016,1834900.0
AT1,2016,1834900.0
AT1,2016,1834900.0
AT1,2016,1834900.0
AT1,2016,1834900.0
AT1,2016,1834900.0
AT1,2016,1834900.0
AT1,2016,1834900.0
AT1,2016,1834900.0
AT1,2016,1834900.0
AT1,2016,1834900.0
AT1,2016,1834900.0
AT1,2016,1762500.0
AT1,2017,1866700.0
AT1,2017,1866700.0
AT1,2017,1866700.0
AT1,2017,1866700.0
AT1,2017,1866700.0
AT1,2017,1866700.0
AT1,2017,1866700.0
AT1,2017,1866700.0
AT1,2017,1866700.0
AT1,2017,1866700.0
AT1,2017,1866700.0
AT1,2017,1866700.0
AT1,2017,1866700.0
AT1,2017,1866700.0
AT1,2017,1793700.0
AT1,2018,1900500.0
AT1,2018,1900500.0
AT1,2018,1900500.0
AT1,2018,1900500.0
AT1,2018,1900500.0
AT1,2018,1900500.0
AT1,2018,1900500.0
AT1,2018,1900500.0
AT1,2018,1900500.0
AT1,2018,1900500.0
AT1,2018,1900500.0
AT1,2018,1900500.0
AT1,2018,1900500.0
AT1,2018,1900500.0
AT1,2018,1819500.0
AT1,2019,1927300.0
AT1,2019,1927300.0
AT1,2019,1927300.0
AT1,2019,1927300.0
AT1,2019,1927300.0
AT1,2019,1927300.0
AT1,2019,1927300.0
AT1,2019,1927300.0
AT1,2019,1927300.0
AT1,2019,1927300.0
AT1,2019,1927300.0
AT1,2019,1927300.0
AT1,2019,1927300.0
AT1,2019,1927300.0
AT1,2019,1828400.0
AT1,2020,1901600.0
AT1,2020,1901600.0
AT1,2020,1901600.0
AT1,2020,1901600.0
AT1,2020,1901600.0
AT1,2020,1901600.0
AT1,2020,1901600.0
AT1,2020,1901600.0
AT1,2020,1901600.0
AT1,2020,1901600.0
AT1,2020,1901600.0
AT1,2020,1901600.0
AT1,2020,1901600.0
AT1,2020,1901600.0
AT1,2020,1811500.0
AT1,2021,1946900.0
AT1,2021,1946900.0
AT1,2021,1946900.0
AT1,2021,1946900.0
AT1,2021,1946900.0
