geo,year,sector_employment_pct_diff
AT11,2021,13.333333333333334
AT11,2022,11.11111111111111
AT111,2010,-10.0
AT111,2011,11.11111111111111
AT111,2011,11.11111111111111
AT111,2012,-9.090909090909092
AT111,2014,10.0
AT111,2015,-10.0
AT111,2015,-9.090909090909092
AT111,2017,10.0
AT111,2018,-9.090909090909092
AT111,2019,-11.11111111111111
AT111,2019,10.0
AT112,2021,10.16949152542373
AT113,2011,15.625
AT113,2021,10.81081081081081
AT121,2021,9.90990990990991
AT125,2021,13.513513513513514
AT127,2020,-10.714285714285714
AT127,2021,12.5
AT21,2021,10.0
AT212,2009,-11.25
AT212,2009,-12.32876712328767
AT212,2021,9.803921568627452
AT221,2018,11.838790931989925
AT221,2018,12.5
AT222,2010,11.428571428571429
AT223,2021,9.75609756097561
AT225,2009,-9.090909090909092
AT225,2009,-9.036144578313252
AT226,2009,-9.75609756097561
AT226,2010,13.513513513513514
AT226,2022,10.256410256410255
AT31,2017,10.16260162601626
AT31,2019,-9.933774834437086
AT311,2019,-10.126582278481012
AT313,2019,-11.627906976744184
AT313,2021,10.126582278481012
AT313,2021,12.0
AT314,2009,-15.18987341772152
AT314,2019,-10.81081081081081
AT315,2019,-10.638297872340424
AT32,2023,-8.91089108910891
AT321,2009,16.666666666666664
AT321,2010,12.5
AT321,2012,14.285714285714285
AT321,2015,-15.384615384615383
AT321,2015,11.11111111111111
AT321,2017,12.5
AT321,2018,-11.11111111111111
AT321,2019,-9.090909090909092
AT321,2020,10.0
AT321,2020,-10.0
AT321,2020,-9.375
AT321,2021,11.11111111111111
AT321,2021,-10.344827586206897
AT321,2022,-9.090909090909092
AT321,2022,19.230769230769237
AT321,2022,12.5
AT322,2020,-9.58904109589041
AT322,2022,17.363344051446948
AT33,2022,10.920436817472712
AT33,2022,11.294311624072549
AT331,2012,-12.5
AT331,2012,17.647058823529413
AT331,2012,19.35483870967742
AT331,2012,-31.818181818181817
AT331,2015,-14.285714285714285
AT331,2017,-16.666666666666664
AT331,2019,-20.0
AT331,2019,12.5
AT331,2020,11.11111111111111
AT331,2020,-8.695652173913043
AT331,2022,9.67741935483871
AT331,2022,25.0
AT333,2014,12.5
AT333,2015,-11.11111111111111
AT333,2018,-9.523809523809524
AT334,2020,-13.77952755905512
AT334,2021,-9.1324200913242
AT334,2022,24.623115577889447
AT335,2022,11.135371179039302
AT34,2013,12.5
AT341,2020,-9.580838323353294
AT341,2020,-9.433962264150944
AT341,2022,15.172413793103448
ATZ,2020,-12.5
ATZ,2020,-12.5
ATZZ,2020,-12.5
ATZZ,2020,-12.5
ATZZZ,2020,-12.5
BE1,2009,-9.090909090909092
BE1,2010,-30.0
BE1,2011,57.14285714285714
BE1,2013,16.666666666666664
BE1,2015,-10.344827586206897
BE1,2020,-10.50925925925926
BE1,2020,-14.011246485473288
BE1,2021,33.33333333333333
BE1,2023,-23.52941176470588
BE10,2009,-9.090909090909092
BE10,2010,-30.0
BE10,2011,57.14285714285714
BE10,2013,16.666666666666664
BE10,2015,-10.344827586206897
BE10,2020,-10.50925925925926
BE10,2020,-14.011246485473288
BE10,2021,33.33333333333333
BE10,2023,-23.52941176470588
BE100,2009,-9.090909090909092
BE100,2010,-30.0
BE100,2011,57.14285714285714
BE100,2013,16.666666666666664
BE100,2015,-10.344827586206897
BE100,2020,-10.50925925925926
BE100,2020,-14.011246485473288
BE100,2021,33.33333333333333
BE100,2023,-23.52941176470588
BE2,2009,9.992269037495168
BE2,2020,11.149004683840747
BE2,2020,12.89511030834731
BE2,2020,-24.35964453737585
BE21,2009,16.528436018957347
BE21,2020,10.971345059763037
BE21,2020,-23.685782556750297
BE211,2009,-9.648020113136392
BE211,2009,-11.889632107023411
BE211,2009,24.566473988439306
BE211,2018,11.460577337354588
BE211,2020,-24.8019801980198
BE212,2010,-17.424242424242426
BE212,2012,11.433756805807622
BE212,2014,11.830357142857142
BE212,2015,14.570858283433132
BE212,2015,16.9811320754717
BE212,2020,13.234005258545135
BE212,2020,-10.666666666666668
BE212,2020,14.836888331242156
BE212,2020,-19.08006814310051
BE213,2009,11.450381679389311
BE213,2009,-25.0
BE213,2013,15.527950310559005
BE213,2016,10.909090909090908
BE213,2019,10.144927536231885
BE213,2020,12.20971989466124
BE213,2020,-10.552763819095476
BE213,2020,-10.526315789473683
BE213,2020,13.816970007690337
BE213,2020,-24.18918918918919
BE22,2009,22.115384615384613
BE22,2012,-15.789473684210526
BE22,2015,-9.680399039349712
BE22,2015,-10.22370486656201
BE22,2019,15.985130111524162
BE22,2020,11.757269279393173
BE22,2020,-8.695652173913043
BE22,2020,13.188922401974226
BE22,2020,-23.27365728900256
BE22,2021,-14.02439024390244
BE223,2009,16.666666666666664
BE223,2011,-10.0
BE223,2012,11.11111111111111
BE223,2013,10.0
BE223,2014,11.11111111111111
BE223,2014,-9.090909090909092
BE223,2017,-9.558823529411764
BE223,2017,-9.75609756097561
BE223,2017,15.0
BE223,2018,9.75609756097561
BE223,2019,12.0
BE223,2020,-14.634146341463412
BE223,2020,16.21037463976944
BE223,2020,-11.428571428571429
BE223,2020,10.714285714285714
BE223,2020,17.829457364341085
BE223,2020,-28.88888888888889
BE223,2021,-16.129032258064516
BE223,2023,-8.823529411764707
BE223,2023,-15.384615384615383
BE224,2009,20.833333333333336
BE224,2009,50.0
BE224,2012,-24.17582417582417
BE224,2014,12.5
BE224,2015,-16.274377942165433
BE224,2015,-17.224020136641496
BE224,2016,-9.541984732824428
BE224,2016,11.053984575835475
BE224,2017,-9.282700421940929
BE224,2018,14.418604651162791
BE224,2019,17.873303167420815
BE224,2020,-21.45289443813848
BE224,2021,-15.306122448979592
BE224,2023,-9.523809523809524
BE225,2009,-16.9811320754717
BE225,2009,-25.0
BE225,2012,21.73913043478261
BE225,2013,17.391304347826086
BE225,2014,-14.814814814814811
BE225,2016,-8.928571428571429
BE225,2017,12.0
