Country_code,NUTS_name,year,age,skill_level,persons_per_skill_level,geo,nuts_level,nuts_label
AT,Ostösterreich,2016,15-64,9,133844.0,AT1,1,
AT,Ostösterreich,2016,15-64,10,3573.0,AT1,1,
AT,Ostösterreich,2016,30-64,1-3,627271.0,AT1,1,
AT,Ostösterreich,2016,30-64,4-5,351230.0,AT1,1,
AT,Ostösterreich,2016,30-64,6-8,243366.0,AT1,1,
AT,Ostösterreich,2016,30-64,9,111420.0,AT1,1,
AT,Ostösterreich,2016,30-64,10,3177.0,AT1,1,
AT,Ostösterreich,2017,15-29,1-3,155304.0,AT1,1,
AT,Ostösterreich,2017,15-29,4-5,146607.0,AT1,1,
AT,Ostösterreich,2017,15-29,6-8,63970.0,AT1,1,
AT,Ostösterreich,2017,15-29,9,21993.0,AT1,1,
AT,Ostösterreich,2017,15-29,10,0.0,AT1,1,
AT,Ostösterreich,2017,15-64,1-3,821217.0,AT1,1,
AT,Ostösterreich,2017,15-64,4-5,505804.0,AT1,1,
AT,Ostösterreich,2017,15-64,6-8,299297.0,AT1,1,
AT,Ostösterreich,2017,15-64,9,134653.0,AT1,1,
AT,Ostösterreich,2017,15-64,10,0.0,AT1,1,
AT,Ostösterreich,2017,30-64,1-3,665913.0,AT1,1,
AT,Ostösterreich,2017,30-64,4-5,359197.0,AT1,1,
AT,Ostösterreich,2017,30-64,6-8,235328.0,AT1,1,
AT,Ostösterreich,2017,30-64,9,111662.0,AT1,1,
AT,Ostösterreich,2017,30-64,10,0.0,AT1,1,
AT,Ostösterreich,2018,15-29,1-3,147614.0,AT1,1,
AT,Ostösterreich,2018,15-29,4-5,142849.0,AT1,1,
AT,Ostösterreich,2018,15-29,6-8,73148.0,AT1,1,
AT,Ostösterreich,2018,15-29,9,26411.0,AT1,1,
AT,Ostösterreich,2018,15-29,10,0.0,AT1,1,
AT,Ostösterreich,2018,15-64,1-3,822072.0,AT1,1,
AT,Ostösterreich,2018,15-64,4-5,503220.0,AT1,1,
AT,Ostösterreich,2018,15-64,6-8,318921.0,AT1,1,
AT,Ostösterreich,2018,15-64,9,143204.0,AT1,1,
AT,Ostösterreich,2018,15-64,10,4750.0,AT1,1,
