,0
Avg_expenditure_per_stay_pct_diff,0.9997889905837049
Avg_expenditure_per_journey_pct_diff,0.9997889905837049
Avg_duration_of_stay_pct_diff,0.9997889905837049
Avg_expenditure_per_stay,0.9997626144066679
Avg_duration_of_stay,0.9997626144066679
Avg_expenditure_per_journey,0.9997626144066679
GFCF_pct_diff,0.9992411776760153
GFCF_Total,0.9992066857521978
NUTS_label_el,0.9992066857521978
GFCF_GHI,0.9992066857521978
GFCF_pct,0.9992066857521978
Turnover_Accomodation_pct_diff,0.9991721938283804
Turnover_Catering_pct_diff,0.9991539333981241
Turnover_Accomodation,0.9989916184625124
Turnover_Catering,0.9989814737790366
Hotel_Arrivals_Total_pct_diff,0.9985898889968734
Hotel_Beds_pct_diff,0.9985898889968734
Hotel_Arrivals_Foreign_pct_diff,0.9985898889968734
Hotel_Arrivals_Natives_pct_diff,0.9985898889968734
Hotel_Stays_Total_pct_diff,0.9985878600601783
Hotel_Occupancy_pct_diff,0.9985878600601783
Hotel_Stays_Foreign_pct_diff,0.9985878600601783
Hotel_Stays_Natives_pct_diff,0.9985878600601783
Hotel_Arrivals_Natives,0.9984113425677006
Hotel_Arrivals_Total,0.9984113425677006
Hotel_Arrivals_Foreign,0.9984113425677006
Hotel_Stays_Foreign,0.998236854011918
Hotel_Stays_Total,0.998236854011918
Hotel_Occupancy,0.998236854011918
Hotel_Stays_Natives,0.998236854011918
temporary_employment_diff,0.9982185935816617
temporary_employment,0.9981475807973316
involuntary_part_time_employment_diff,0.9980177288488422
involuntary_part_time_employment,0.9979386003177315
GVA_GHI_pct_diff,0.996696891060302
Hotel_Beds,0.9966481965796186
GVA_GHI_pct,0.9965467497448612
GVA_total,0.9965467497448612
GVA_GHI,0.9965467497448612
unemployment_diff,0.9947714301366083
unemployment_pct,0.9942560802160412
nuts_label,0.9911416623889918
total_employment_pct_diff,0.9883478165597755
employed_pct,0.9877918879053055
GDP_pct_diff,0.9857223724762564
GDP,0.985647301818536
unemployment_rate_pct_diff,0.9836061915032189
unemployment_rate,0.9827966457618555
part_time_employment_diff,0.982496363130974
part_time_employment_pct,0.982108836222201
part_time_employment,0.981719280376733
population,0.9693691427133782
education_level_pct_diff,0.9652767773992683
education_level_pct,0.9630307444777415
education_level,0.9618174403340441
persons_per_skill_level,0.8476856933586815
NUTS_name,0.8370439203926399
age,0.8323164978929493
skill_level,0.8323164978929493
sector_employment_pct_diff,0.48310200073447507
sector_employment_pct,0.4412572103337804
sector_employment,0.4385303194155039
total_employment,0.3093398042887664
nace_r2,0.28919043396926974
geo_label,0.19108525794886674
Country_code,0.027307458979972367
nuts_level,3.246298712233879e-05
source,0.0
geo,0.0
year,0.0
