geo,geo_label,nuts_level,Country_code,year,education_level,education_level_pct,education_level_pct_diff,nuts_label
AT11,Burgenland,2,AT,2017,high,28.0,0.3584229390681054,
AT11,Burgenland,2,AT,2018,low,15.1,2.02702702702702,
AT11,Burgenland,2,AT,2018,medium,56.5,-1.2237762237762286,
AT11,Burgenland,2,AT,2018,high,28.4,1.4285714285714235,
AT11,Burgenland,2,AT,2019,low,15.1,0.0,
AT11,Burgenland,2,AT,2019,medium,54.2,-4.070796460176986,
AT11,Burgenland,2,AT,2019,high,30.7,8.098591549295778,
AT11,Burgenland,2,AT,2020,low,13.2,-12.582781456953644,
AT11,Burgenland,2,AT,2020,medium,53.7,-0.9225092250922508,
AT11,Burgenland,2,AT,2020,high,33.1,7.817589576547239,
AT11,Burgenland,2,AT,2021,low,13.0,-1.5151515151515098,
AT11,Burgenland,2,AT,2021,medium,55.7,3.724394785847299,
AT11,Burgenland,2,AT,2021,high,31.4,-5.135951661631428,
AT11,Burgenland,2,AT,2022,low,13.4,3.0769230769230798,
AT11,Burgenland,2,AT,2022,medium,55.1,-1.077199281867148,
AT11,Burgenland,2,AT,2022,high,31.4,0.0,
AT11,Burgenland,2,AT,2023,low,12.8,-4.477611940298504,
AT11,Burgenland,2,AT,2023,medium,54.0,-1.996370235934667,
AT11,Burgenland,2,AT,2023,high,33.2,5.732484076433135,
AT11,Burgenland,2,AT,2024,low,11.8,-7.8125,
AT11,Burgenland,2,AT,2024,medium,53.6,-0.740740740740738,
AT11,Burgenland,2,AT,2024,high,34.7,4.518072289156626,
AT12,Niederösterreich,2,AT,2008,low,17.1,,
AT12,Niederösterreich,2,AT,2008,medium,66.9,,
AT12,Niederösterreich,2,AT,2008,high,16.1,,
AT12,Niederösterreich,2,AT,2009,low,16.2,-5.263157894736854,
AT12,Niederösterreich,2,AT,2009,medium,66.2,-1.0463378176382705,
AT12,Niederösterreich,2,AT,2009,high,17.6,9.316770186335404,
AT12,Niederösterreich,2,AT,2010,low,15.6,-3.7037037037037015,
AT12,Niederösterreich,2,AT,2010,medium,66.5,0.4531722054380622,
AT12,Niederösterreich,2,AT,2010,high,17.9,1.7045454545454382,
AT12,Niederösterreich,2,AT,2011,low,16.7,7.05128205128205,
AT12,Niederösterreich,2,AT,2011,medium,66.1,-0.6015037593985048,
AT12,Niederösterreich,2,AT,2011,high,17.2,-3.910614525139661,
AT12,Niederösterreich,2,AT,2012,low,16.7,0.0,
AT12,Niederösterreich,2,AT,2012,medium,66.1,0.0,
AT12,Niederösterreich,2,AT,2012,high,17.2,0.0,
AT12,Niederösterreich,2,AT,2013,low,16.0,-4.191616766467062,
AT12,Niederösterreich,2,AT,2013,medium,66.4,0.4538577912254333,
AT12,Niederösterreich,2,AT,2013,high,17.6,2.32558139534885,
AT12,Niederösterreich,2,AT,2014,low,15.5,-3.125,
AT12,Niederösterreich,2,AT,2014,medium,55.4,-16.566265060240973,
AT12,Niederösterreich,2,AT,2014,high,29.1,65.34090909090908,
AT12,Niederösterreich,2,AT,2015,low,13.9,-10.322580645161288,
AT12,Niederösterreich,2,AT,2015,medium,55.8,0.7220216606498169,
AT12,Niederösterreich,2,AT,2015,high,30.3,4.123711340206183,
AT12,Niederösterreich,2,AT,2016,low,14.7,5.755395683453229,
AT12,Niederösterreich,2,AT,2016,medium,55.1,-1.2544802867383438,
AT12,Niederösterreich,2,AT,2016,high,30.2,-0.3300330033003347,
AT12,Niederösterreich,2,AT,2017,low,14.2,-3.4013605442176877,
AT12,Niederösterreich,2,AT,2017,medium,53.8,-2.3593466424682474,
AT12,Niederösterreich,2,AT,2017,high,32.0,5.960264900662255,
AT12,Niederösterreich,2,AT,2018,low,13.5,-4.929577464788728,
AT12,Niederösterreich,2,AT,2018,medium,54.6,1.4869888475836512,
AT12,Niederösterreich,2,AT,2018,high,31.9,-0.3125000000000044,
AT12,Niederösterreich,2,AT,2019,low,13.1,-2.962962962962965,
AT12,Niederösterreich,2,AT,2019,medium,54.5,-0.1831501831501857,
AT12,Niederösterreich,2,AT,2019,high,32.4,1.5673981191222572,
AT12,Niederösterreich,2,AT,2020,low,12.9,-1.526717557251903,
AT12,Niederösterreich,2,AT,2020,medium,54.1,-0.7339449541284377,
AT12,Niederösterreich,2,AT,2020,high,33.0,1.8518518518518563,
AT12,Niederösterreich,2,AT,2021,low,12.8,-0.7751937984496096,
AT12,Niederösterreich,2,AT,2021,medium,53.2,-1.6635859519408478,
AT12,Niederösterreich,2,AT,2021,high,33.9,2.727272727272723,
AT12,Niederösterreich,2,AT,2022,low,13.1,2.343749999999992,
AT12,Niederösterreich,2,AT,2022,medium,52.8,-0.7518796992481309,
AT12,Niederösterreich,2,AT,2022,high,34.1,0.5899705014749347,
AT12,Niederösterreich,2,AT,2023,low,11.9,-9.160305343511444,
AT12,Niederösterreich,2,AT,2023,medium,52.1,-1.325757575757568,
AT12,Niederösterreich,2,AT,2023,high,36.0,5.571847507331374,
AT12,Niederösterreich,2,AT,2024,low,12.3,3.3613445378151288,
AT12,Niederösterreich,2,AT,2024,medium,49.7,-4.606525911708251,
AT12,Niederösterreich,2,AT,2024,high,38.0,5.555555555555555,
AT13,Wien,2,AT,2008,low,19.5,,
AT13,Wien,2,AT,2008,medium,56.4,,
AT13,Wien,2,AT,2008,high,24.1,,
AT13,Wien,2,AT,2009,low,19.4,-0.5128205128205201,
AT13,Wien,2,AT,2009,medium,54.6,-3.1914893617021227,
AT13,Wien,2,AT,2009,high,26.0,7.883817427385886,
AT13,Wien,2,AT,2010,low,17.9,-7.731958762886598,
AT13,Wien,2,AT,2010,medium,54.8,0.3663003663003585,
AT13,Wien,2,AT,2010,high,27.3,5.000000000000003,
AT13,Wien,2,AT,2011,low,18.3,2.234636871508392,
AT13,Wien,2,AT,2011,medium,55.0,0.3649635036496402,
AT13,Wien,2,AT,2011,high,26.6,-2.5641025641025617,
AT13,Wien,2,AT,2012,low,17.9,-2.1857923497267877,
AT13,Wien,2,AT,2012,medium,54.5,-0.9090909090909092,
AT13,Wien,2,AT,2012,high,27.5,3.3834586466165355,
AT13,Wien,2,AT,2013,low,17.8,-0.5586592178770831,
AT13,Wien,2,AT,2013,medium,51.6,-5.32110091743119,
AT13,Wien,2,AT,2013,high,30.6,11.272727272727275,
AT13,Wien,2,AT,2014,low,17.2,-3.37078651685394,
AT13,Wien,2,AT,2014,medium,43.7,-15.310077519379842,
AT13,Wien,2,AT,2014,high,39.1,27.77777777777778,
AT13,Wien,2,AT,2015,low,17.1,-0.5813953488371969,
AT13,Wien,2,AT,2015,medium,43.6,-0.2288329519450833,
AT13,Wien,2,AT,2015,high,39.3,0.5115089514066388,
AT13,Wien,2,AT,2016,low,16.9,-1.1695906432748704,
AT13,Wien,2,AT,2016,medium,43.2,-0.9174311926605472,
AT13,Wien,2,AT,2016,high,39.9,1.526717557251912,
AT13,Wien,2,AT,2017,low,16.2,-4.142011834319523,
AT13,Wien,2,AT,2017,medium,41.7,-3.472222222222222,
AT13,Wien,2,AT,2017,high,42.1,5.5137844611528894,
AT13,Wien,2,AT,2018,low,16.6,2.469135802469149,
AT13,Wien,2,AT,2018,medium,41.1,-1.4388489208633126,
AT13,Wien,2,AT,2018,high,42.3,0.4750593824227927,
AT13,Wien,2,AT,2019,low,16.9,1.807228915662633,
AT13,Wien,2,AT,2019,medium,40.2,-2.1897810218978067,
AT13,Wien,2,AT,2019,high,42.9,1.41843971631206,
AT13,Wien,2,AT,2020,low,16.7,-1.1834319526627175,
AT13,Wien,2,AT,2020,medium,40.6,0.9950248756218868,
AT13,Wien,2,AT,2020,high,42.7,-0.4662004662004563,
AT13,Wien,2,AT,2021,low,16.6,-0.5988023952095681,
AT13,Wien,2,AT,2021,medium,38.9,-4.187192118226608,
AT13,Wien,2,AT,2021,high,44.5,4.215456674473061,
AT13,Wien,2,AT,2022,low,16.3,-1.8072289156626544,
AT13,Wien,2,AT,2022,medium,38.1,-2.056555269922872,
AT13,Wien,2,AT,2022,high,45.6,2.471910112359553,
AT13,Wien,2,AT,2023,low,16.7,2.453987730061341,
AT13,Wien,2,AT,2023,medium,37.0,-2.8871391076115525,
