geo,NUTS_label,NUTS_level,Year,Avg_expenditure_per_journey,Avg_expenditure_per_stay,Avg_duration_of_stay,Avg_expenditure_per_journey_pct_diff,Avg_expenditure_per_stay_pct_diff,Avg_duration_of_stay_pct_diff
EL30,Attica,2,2016,381.7168607865996,70.01203136228933,5.452160912334336,NA,NA,NA
EL30,Attica,2,2017,405.5216388722123,70.7670753329427,5.730371602391748,6.236239613979437,1.078448883658661,5.102760071296138
EL30,Attica,2,2018,401.1600811644533,72.61034174237483,5.524833949794502,-1.0755425332884432,2.6046949103944046,-3.58681193574704
EL30,Attica,2,2019,437.5583255673396,76.16579048701293,5.744814342102153,9.073246843811718,4.896614806266869,3.9816652284333927
EL30,Attica,2,2020,469.3746011611667,61.05983633766274,7.68712511061299,7.271322183750942,-19.832990707194085,33.8098092096063
EL30,Attica,2,2021,555.4106605737152,68.41195910415948,8.118619432138816,18.329935024116637,12.040849120261772,5.613207998008216
EL30,Attica,2,2022,506.6294911970798,81.09290582690659,6.247519262393732,-8.782901164742956,18.53615491911282,-23.04702400925511
EL30,Attica,2,2023,480.03870702490343,85.39082047356852,5.621666408200076,-5.24856618775722,5.299988455014632,-10.017621841694991
EL30,Attica,2,2024,540.8091248520171,99.3548387096774,5.443208724159914,12.659482857902344,16.353067178258613,-3.1744623583472307
EL64,Central Greece,2,2016,286.8330885952031,63.5230352303523,4.5154185022026425,NA,NA,NA
EL64,Central Greece,2,2017,301.14804526064523,56.226473393995825,5.355983170959527,4.990692229948515,-11.48648173044172,18.615432176371975
EL64,Central Greece,2,2018,353.09563944378453,64.63208808631609,5.463163111366999,17.249852688958477,14.949567676812292,2.00112541407166
EL64,Central Greece,2,2019,265.42205546689775,60.48619050257474,4.388143033335839,-24.82998207369397,-6.41461185379699,-19.67761269646893
EL64,Central Greece,2,2020,397.8670129150418,54.03415849944655,7.363249913832137,49.899755773936434,-10.666950504766124,67.7987672210092
EL64,Central Greece,2,2021,469.6493582925615,62.76644486952232,7.482490991306893,18.04179362636622,16.16067800919896,1.6194082622505768
EL64,Central Greece,2,2022,416.2192689536324,73.23418256854298,5.683401580458349,-11.376591577422221,16.677283094144958,-24.043990336088793
