NUTS_name,NUTS_level,year,Hotel_Arrivals_Natives,Hotel_Arrivals_Foreign,Hotel_Arrivals_Total,Hotel_Beds,Hotel_Arrivals_Natives_pct_diff,Hotel_Arrivals_Foreign_pct_diff,Hotel_Arrivals_Total_pct_diff,Hotel_Beds_pct_diff
ΔΥΤΙΚΗ ΜΑΚΕΔΟΝΙΑ,2,2016,104256,14510,118766,5280,-2.220888355342137,-11.041628348966954,-3.3912230040265183,-2.5290751338379174
ΔΥΤΙΚΗ ΜΑΚΕΔΟΝΙΑ,2,2017,113105,18636,131741,5324,8.487760896255372,28.435561681598898,10.924843810518162,0.8333333333333334
ΔΥΤΙΚΗ ΜΑΚΕΔΟΝΙΑ,2,2018,120417,23121,143538,5885,6.464789355024092,24.066323245331617,8.954691402069212,10.537190082644628
ΔΥΤΙΚΗ ΜΑΚΕΔΟΝΙΑ,2,2019,128496,24002,152498,6035,6.709185580109121,3.8103888240128025,6.242249439172902,2.548853016142736
ΔΥΤΙΚΗ ΜΑΚΕΔΟΝΙΑ,2,2020,57564,4614,62178,4956,-55.201718341426975,-80.77660194983751,-59.227006255819745,-17.87903893951947
ΔΥΤΙΚΗ ΜΑΚΕΔΟΝΙΑ,2,2021,69463,9093,78556,4079,20.67090542700299,97.074122236671,26.340506288397826,-17.695722356739303
ΔΥΤΙΚΗ ΜΑΚΕΔΟΝΙΑ,2,2022,109168,17222,126390,6589,57.15992686754099,89.39843835917739,60.89159325831254,61.53468987496935
ΔΥΤΙΚΗ ΜΑΚΕΔΟΝΙΑ,2,2023,129912,23043,152955,5962,19.001905320240365,33.799790965044714,21.01827676240209,-9.515859766277128
ΗΠΕΙΡΟΣ,2,2015,302886,82801,385687,12898,NA,NA,NA,NA
ΗΠΕΙΡΟΣ,2,2016,312982,93809,406791,13696,3.3332673018891597,13.294525428436854,5.471794486202543,6.1870057373236165
ΗΠΕΙΡΟΣ,2,2017,338619,118962,457581,13892,8.19120588404445,26.81299235681011,12.485526965935824,1.4310747663551402
ΗΠΕΙΡΟΣ,2,2018,438731,181522,620253,17670,29.564791107409803,52.58822144886602,35.55042713749041,27.195508206161822
ΗΠΕΙΡΟΣ,2,2019,415864,195595,611459,18057,-5.212077560053883,7.752779277442954,-1.4178085394185922,2.1901528013582343
ΗΠΕΙΡΟΣ,2,2020,222982,47091,270073,15595,-46.38102841313506,-75.92423119200389,-55.831380354202,-13.634601539569141
ΗΠΕΙΡΟΣ,2,2021,251225,89034,340259,13710,12.666044792853235,89.06797477224947,25.987788486816527,-12.0872074382815
ΗΠΕΙΡΟΣ,2,2022,406281,185681,591962,19095,61.719972136531,108.55066603769346,73.97394337842643,39.27789934354486
ΗΠΕΙΡΟΣ,2,2023,480002,228390,708392,18467,18.145323064578456,23.00127638261319,19.668492234298824,-3.288819062581828
ΘΕΣΣΑΛΙΑ,2,2015,502765,311891,814656,27353,NA,NA,NA,NA
ΘΕΣΣΑΛΙΑ,2,2016,546373,267390,813763,27791,8.67363479955844,-14.26812572340978,-0.10961681986016185,1.6012868789529486
ΘΕΣΣΑΛΙΑ,2,2017,571823,352011,923834,27855,4.657990054413377,31.64703242454841,13.526174082626023,0.23029038177827355
ΘΕΣΣΑΛΙΑ,2,2018,627866,475189,1103055,31025,9.800760025392472,34.99265647948502,19.399697348224898,11.380362591994256
ΘΕΣΣΑΛΙΑ,2,2019,641474,504240,1145714,31713,2.1673414390968775,6.113567443690826,3.867350222790342,2.217566478646253
ΘΕΣΣΑΛΙΑ,2,2020,335063,77249,412312,24252,-47.766706055116806,-84.68011264477234,-64.0126593547779,-23.526629457951
ΘΕΣΣΑΛΙΑ,2,2021,393827,162299,556126,22013,17.538194309726826,110.09851260210488,34.87989677719785,-9.232228269833415
ΘΕΣΣΑΛΙΑ,2,2022,546844,393909,940753,29884,38.85386222884667,142.70574680065803,69.16184461794629,35.75614409667015
ΘΕΣΣΑΛΙΑ,2,2023,597423,437994,1035417,29282,9.249255729239051,11.191671172783561,10.062577530977844,-2.014455896131709
ΙΟΝΙΑ ΝΗΣΙΑ,2,2015,184550,1190929,1375479,83102,NA,NA,NA,NA
ΙΟΝΙΑ ΝΗΣΙΑ,2,2016,195647,1295209,1490856,86652,6.013004605797886,8.756189495763392,8.388132425140624,4.271858679694833
ΙΟΝΙΑ ΝΗΣΙΑ,2,2017,203680,1514126,1717806,91358,4.105864132851513,16.902059822005562,15.222798177691205,5.430919078613304
ΙΟΝΙΑ ΝΗΣΙΑ,2,2018,291559,1957792,2249351,108834,43.14562058130401,29.30178862261133,30.94324970340073,19.129140305173056
ΙΟΝΙΑ ΝΗΣΙΑ,2,2019,302206,1988004,2290210,112895,3.651748016696449,1.5431669962896977,1.8164795089783674,3.731370711358583
