geo,year,temporary_employment,geo_label,NUTS_level,Country_code,temporary_employment_diff
DK,2014,8.2,Denmark,0,DK,-2.380952380952394
DK,2015,8.4,Denmark,0,DK,2.4390243902439157
DK,2016,12.9,Denmark,0,DK,53.57142857142857
DK,2017,12.3,Denmark,0,DK,-4.651162790697672
DK,2018,10.7,Denmark,0,DK,-13.008130081300823
DK,2019,10.9,Denmark,0,DK,1.8691588785046829
DK,2020,10.9,Denmark,0,DK,0
DK,2021,10.9,Denmark,0,DK,0
DK,2022,10.9,Denmark,0,DK,0
DK,2023,10.3,Denmark,0,DK,-5.5045871559633
DK,2024,12.7,Denmark,0,DK,23.30097087378639
DE,1995,10.4,Germany,0,DE,NA
DE,1996,11.1,Germany,0,DE,6.730769230769224
DE,1997,11.7,Germany,0,DE,5.405405405405403
DE,1998,12.3,Germany,0,DE,5.12820512820514
DE,1999,13.1,Germany,0,DE,6.5040650406503975
DE,2000,12.7,Germany,0,DE,-3.0534351145038197
DE,2001,12.4,Germany,0,DE,-2.3622047244094406
DE,2002,12,Germany,0,DE,-3.2258064516129057
DE,2003,12.2,Germany,0,DE,1.6666666666666607
DE,2004,12.4,Germany,0,DE,1.6393442622950907
DE,2005,14.2,Germany,0,DE,14.516129032258055
DE,2006,14.5,Germany,0,DE,2.1126760563380333
DE,2007,14.6,Germany,0,DE,0.6896551724137907
DE,2008,14.7,Germany,0,DE,0.6849315068493127
DE,2009,14.5,Germany,0,DE,-1.3605442176870701
DE,2010,14.5,Germany,0,DE,0
DE,2011,14.6,Germany,0,DE,0.6896551724137907
DE,2012,13.7,Germany,0,DE,-6.164383561643838
DE,2013,13.3,Germany,0,DE,-2.91970802919707
DE,2014,13.1,Germany,0,DE,-1.5037593984962485
DE,2015,13.1,Germany,0,DE,0
DE,2016,13.2,Germany,0,DE,0.7633587786259515
DE,2017,12.9,Germany,0,DE,-2.272727272727265
DE,2018,12.5,Germany,0,DE,-3.1007751937984525
DE,2019,12,Germany,0,DE,-4
DE,2020,10.8,Germany,0,DE,-9.999999999999993
DE,2021,11.3,Germany,0,DE,4.62962962962963
DE,2022,12.3,Germany,0,DE,8.849557522123893
DE,2023,11.9,Germany,0,DE,-3.252032520325206
DE,2024,11.4,Germany,0,DE,-4.201680672268907
EE,1995,NA,Estonia,0,EE,NA
EE,1996,NA,Estonia,0,EE,NA
EE,1997,2.2,Estonia,0,EE,NA
EE,1998,1.6,Estonia,0,EE,-27.272727272727277
EE,1999,2,Estonia,0,EE,24.999999999999993
EE,2000,2,Estonia,0,EE,0
EE,2001,3,Estonia,0,EE,50
EE,2002,2.3,Estonia,0,EE,-23.33333333333334
EE,2003,3.1,Estonia,0,EE,34.782608695652186
EE,2004,2.9,Estonia,0,EE,-6.451612903225811
EE,2005,2.7,Estonia,0,EE,-6.896551724137923
EE,2006,2.7,Estonia,0,EE,0
EE,2007,2.1,Estonia,0,EE,-22.222222222222225
EE,2008,2.4,Estonia,0,EE,14.285714285714276
EE,2009,2.5,Estonia,0,EE,4.1666666666666705
EE,2010,3.7,Estonia,0,EE,48.00000000000001
EE,2011,4.5,Estonia,0,EE,21.621621621621614
EE,2012,3.7,Estonia,0,EE,-17.77777777777777
EE,2013,3.5,Estonia,0,EE,-5.40540540540541
EE,2014,3.2,Estonia,0,EE,-8.571428571428566
EE,2015,3.5,Estonia,0,EE,9.374999999999995
EE,2016,3.7,Estonia,0,EE,5.71428571428572
EE,2017,3.1,Estonia,0,EE,-16.216216216216218
EE,2018,3.5,Estonia,0,EE,12.90322580645161
EE,2019,3.2,Estonia,0,EE,-8.571428571428566
EE,2020,2.9,Estonia,0,EE,-9.375000000000009
EE,2021,1.7,Estonia,0,EE,-41.37931034482759
EE,2022,3.1,Estonia,0,EE,82.3529411764706
EE,2023,3.2,Estonia,0,EE,3.2258064516129057
EE,2024,3.8,Estonia,0,EE,18.74999999999999
IE,1995,10.2,Ireland,0,IE,NA
IE,1996,9.2,Ireland,0,IE,-9.803921568627452
IE,1997,9.4,Ireland,0,IE,2.1739130434782727
IE,1998,8.8,Ireland,0,IE,-6.382978723404251
IE,1999,5.1,Ireland,0,IE,-42.045454545454554
IE,2000,5.4,Ireland,0,IE,5.882352941176485
IE,2001,4.6,Ireland,0,IE,-14.814814814814827
IE,2002,4.9,Ireland,0,IE,6.521739130434799
IE,2003,4.7,Ireland,0,IE,-4.081632653061227
IE,2004,3.4,Ireland,0,IE,-27.65957446808511
IE,2005,3.7,Ireland,0,IE,8.823529411764714
IE,2006,6,Ireland,0,IE,62.16216216216215
IE,2007,9.4,Ireland,0,IE,56.66666666666668
IE,2008,9.4,Ireland,0,IE,0
IE,2009,9.5,Ireland,0,IE,1.0638297872340388
IE,2010,10.3,Ireland,0,IE,8.421052631578956
IE,2011,10.9,Ireland,0,IE,5.825242718446598
IE,2012,10.9,Ireland,0,IE,0
IE,2013,10.8,Ireland,0,IE,-0.9174311926605472
IE,2014,10.3,Ireland,0,IE,-4.62962962962963
IE,2015,9.6,Ireland,0,IE,-6.796116504854378
IE,2016,9,Ireland,0,IE,-6.2499999999999964
IE,2017,9.2,Ireland,0,IE,2.2222222222222143
IE,2018,10,Ireland,0,IE,8.695652173913052
IE,2019,9.8,Ireland,0,IE,-1.9999999999999927
IE,2020,9,Ireland,0,IE,-8.163265306122454
IE,2021,9.4,Ireland,0,IE,4.444444444444448
IE,2022,8.5,Ireland,0,IE,-9.574468085106387
IE,2023,8.4,Ireland,0,IE,-1.17647058823529
IE,2024,7.5,Ireland,0,IE,-10.714285714285717
EL,1995,10.2,Greece,0,EL,NA
EL,1996,11,Greece,0,EL,7.843137254901968
EL,1997,10.9,Greece,0,EL,-0.909090909090906
EL,1998,13.4,Greece,0,EL,22.93577981651376
EL,1999,13.5,Greece,0,EL,0.7462686567164152
EL,2000,13.8,Greece,0,EL,2.2222222222222276
EL,2001,13.4,Greece,0,EL,-2.898550724637684
EL,2002,11.7,Greece,0,EL,-12.686567164179113
EL,2003,11.3,Greece,0,EL,-3.4188034188034067
EL,2004,12.5,Greece,0,EL,10.619469026548666
EL,2005,11.9,Greece,0,EL,-4.799999999999997
EL,2006,10.8,Greece,0,EL,-9.243697478991592
EL,2007,11,Greece,0,EL,1.8518518518518452
EL,2008,11.6,Greece,0,EL,5.4545454545454515
EL,2009,12.3,Greece,0,EL,6.034482758620699
EL,2010,12.6,Greece,0,EL,2.4390243902438935
EL,2011,11.8,Greece,0,EL,-6.349206349206341
EL,2012,10.2,Greece,0,EL,-13.559322033898317
EL,2013,10.1,Greece,0,EL,-0.9803921568627416
EL,2014,11.6,Greece,0,EL,14.85148514851485
EL,2015,12,Greece,0,EL,3.448275862068969
