NUTS_label,NUTS_level,year,Turnover_Catering,Turnover_Accomodation,Turnover_Catering_pct_diff,Turnover_Accomodation_pct_diff
ΗΠΕΙΡΟΥ,2,2024,268781,131257,0.5980919444725151,7.1511955394825995
ΘΕΣΣΑΛΙΑΣ,2,2019,271923,132572,NA,NA
ΘΕΣΣΑΛΙΑΣ,2,2020,198923,55269,-26.845835034182468,-58.31020124913254
ΘΕΣΣΑΛΙΑΣ,2,2021,261053,96858,31.233190732092318,75.24833089073441
ΘΕΣΣΑΛΙΑΣ,2,2022,393444,157566,50.71422278234689,62.67732143963328
ΘΕΣΣΑΛΙΑΣ,2,2023,445318,178774,13.184595520582345,13.459756546463069
ΘΕΣΣΑΛΙΑΣ,2,2024,465778,191747,4.594469570060046,7.256648058442503
ΙΟΝΙΩΝ ΝΗΣΩΝ,2,2019,266349,626522,NA,NA
ΙΟΝΙΩΝ ΝΗΣΩΝ,2,2020,134721,183562,-49.419370825495875,-70.70142788281976
ΙΟΝΙΩΝ ΝΗΣΩΝ,2,2021,248756,464546,84.64530399863422,153.07307612686722
ΙΟΝΙΩΝ ΝΗΣΩΝ,2,2022,439385,833883,76.63292543697439,79.5049360020321
ΙΟΝΙΩΝ ΝΗΣΩΝ,2,2023,507740,978142,15.55697167632031,17.29966913823642
ΙΟΝΙΩΝ ΝΗΣΩΝ,2,2024,529491,1092656,4.283885453184701,11.707298122358512
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,2,2019,831837,750432,NA,NA
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,2,2020,630873,227876,-24.159060008150636,-69.63402413543133
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,2,2021,834631,579913,32.29778418160232,154.48621179939968
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,2,2022,1251220,868031,49.91295554562436,49.68296968683234
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,2,2023,1429257,1018034,14.229072425312895,17.280834440244647
ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ,2,2024,1428702,1091148,-0.038831364828019035,7.18188194107466
ΚΡΗΤΗΣ,2,2019,444845,1409049,NA,NA
ΚΡΗΤΗΣ,2,2020,268272,422972,-39.693151547168114,-69.98173945689611
ΚΡΗΤΗΣ,2,2021,419925,1143579,56.529567006620155,170.36754205952167
ΚΡΗΤΗΣ,2,2022,666351,1834105,58.68333631005537,60.3828856598451
ΚΡΗΤΗΣ,2,2023,757912,2053191,13.740656200711038,11.945117645936302
ΚΡΗΤΗΣ,2,2024,808589,2284555,6.686396309861831,11.26850838524034
ΝΟΤΙΟΥ ΑΙΓΑΙΟΥ,2,2019,653026,1968704,NA,NA
