geo,year,unemployment_rate,geo_label,NUTS_level,Country_code,unemployment_rate_pct_diff
AT12,2017,7.7,Niederösterreich,2,AT,-7.228915662650608
AT12,2018,6.9,Niederösterreich,2,AT,-10.389610389610388
AT12,2019,8.3,Niederösterreich,2,AT,20.289855072463773
AT12,2020,8.2,Niederösterreich,2,AT,-1.2048192771084507
AT12,2021,8.8,Niederösterreich,2,AT,7.3170731707317245
AT12,2022,9.4,Niederösterreich,2,AT,6.818181818181814
AT12,2023,8.3,Niederösterreich,2,AT,-11.702127659574463
AT12,2024,8.1,Niederösterreich,2,AT,-2.40963855421688
AT13,2000,11.4,Wien,2,AT,NA
AT13,2001,11.7,Wien,2,AT,2.6315789473684115
AT13,2002,9.9,Wien,2,AT,-15.384615384615378
AT13,2003,11.3,Wien,2,AT,14.141414141414144
AT13,2004,14.6,Wien,2,AT,29.20353982300884
AT13,2005,15.2,Wien,2,AT,4.109589041095888
AT13,2006,14.2,Wien,2,AT,-6.578947368421052
AT13,2007,13.8,Wien,2,AT,-2.8169014084506943
AT13,2008,11.7,Wien,2,AT,-15.217391304347835
AT13,2009,13.4,Wien,2,AT,14.529914529914539
AT13,2010,12.4,Wien,2,AT,-7.462686567164178
AT13,2011,11.6,Wien,2,AT,-6.451612903225811
AT13,2012,11.8,Wien,2,AT,1.7241379310344922
AT13,2013,12,Wien,2,AT,1.6949152542372818
AT13,2014,12.9,Wien,2,AT,7.500000000000003
AT13,2015,12.8,Wien,2,AT,-0.7751937984496096
AT13,2016,13.4,Wien,2,AT,4.687499999999997
AT13,2017,11.8,Wien,2,AT,-11.940298507462684
AT13,2018,12.4,Wien,2,AT,5.0847457627118615
AT13,2019,11.5,Wien,2,AT,-7.258064516129036
AT13,2020,13.3,Wien,2,AT,15.652173913043486
AT13,2021,12.2,Wien,2,AT,-8.270676691729333
AT13,2022,12.6,Wien,2,AT,3.2786885245901667
AT13,2023,13.3,Wien,2,AT,5.555555555555564
AT13,2024,12.7,Wien,2,AT,-4.511278195488732
AT2,2000,11.7,Südösterreich,1,AT,NA
AT2,2001,10.1,Südösterreich,1,AT,-13.675213675213675
AT2,2002,8.7,Südösterreich,1,AT,-13.861386138613865
AT2,2003,7.3,Südösterreich,1,AT,-16.0919540229885
AT2,2004,9.1,Südösterreich,1,AT,24.65753424657534
AT2,2005,8.7,Südösterreich,1,AT,-4.3956043956043995
AT2,2006,8.4,Südösterreich,1,AT,-3.4482758620689538
AT2,2007,8.1,Südösterreich,1,AT,-3.5714285714285796
AT2,2008,8.3,Südösterreich,1,AT,2.469135802469149
AT2,2009,9,Südösterreich,1,AT,8.433734939759027
AT2,2010,8.8,Südösterreich,1,AT,-2.2222222222222143
AT2,2011,6.8,Südösterreich,1,AT,-22.727272727272734
AT2,2012,7.8,Südösterreich,1,AT,14.705882352941178
AT2,2013,8.8,Südösterreich,1,AT,12.820512820512834
AT2,2014,8.2,Südösterreich,1,AT,-6.818181818181834
AT2,2015,8.3,Südösterreich,1,AT,1.2195121951219685
AT2,2016,7.4,Südösterreich,1,AT,-10.843373493975907
AT2,2017,7.6,Südösterreich,1,AT,2.7027027027026933
AT2,2018,7,Südösterreich,1,AT,-7.894736842105258
AT2,2019,7.8,Südösterreich,1,AT,11.428571428571425
AT2,2020,8.9,Südösterreich,1,AT,14.102564102564111
AT2,2021,8,Südösterreich,1,AT,-10.112359550561802
AT2,2022,7.8,Südösterreich,1,AT,-2.500000000000002
AT2,2023,7.9,Südösterreich,1,AT,1.282051282051289
AT2,2024,8,Südösterreich,1,AT,1.265822784810122
AT21,2000,11.6,Kärnten,2,AT,NA
AT21,2001,10.8,Kärnten,2,AT,-6.896551724137923
AT21,2002,9.6,Kärnten,2,AT,-11.11111111111112
AT21,2003,7.2,Kärnten,2,AT,-24.999999999999993
AT21,2004,10.2,Kärnten,2,AT,41.66666666666665
AT21,2005,9.4,Kärnten,2,AT,-7.843137254901951
AT21,2006,7.8,Kärnten,2,AT,-17.021276595744688
AT21,2007,7.5,Kärnten,2,AT,-3.8461538461538445
AT21,2008,8.4,Kärnten,2,AT,12.000000000000005
AT21,2009,9.8,Kärnten,2,AT,16.66666666666667
AT21,2010,8.2,Kärnten,2,AT,-16.32653061224491
AT21,2011,8.2,Kärnten,2,AT,0
AT21,2012,9.9,Kärnten,2,AT,20.731707317073187
AT21,2013,9.8,Kärnten,2,AT,-1.0101010101010066
AT21,2014,9.4,Kärnten,2,AT,-4.081632653061227
AT21,2015,9.9,Kärnten,2,AT,5.319148936170213
