NUTS_label,year,GVA_GHI,GVA_total,GVA_GHI_pct,GVA_GHI_pct_diff,NUTS_level
ATTIKI,2000,13800.985273,55125.464069,25.035590187005848,NA,1
ATTIKI,2001,14009.05414,59419.656454,23.57646438236339,1.5076377728412056,1
ATTIKI,2002,14575.007686,65329.791278,22.30989476757777,4.039912618968582,1
ATTIKI,2003,16595.653503,72220.518926,22.97913910034981,13.863771879454504,1
ATTIKI,2004,18550.059241,79370.020683,23.371619512470627,11.776612096936702,1
ATTIKI,2005,18833.434701,82002.169467,22.96699565805891,1.5276256335272116,1
ATTIKI,2006,19690.423351,90669.806037,21.716626748892402,4.550357720753397,1
ATTIKI,2007,22257.062218,96720.534386,23.011723786775978,13.034960301499298,1
ATTIKI,2008,24138.556687,101010.048186,23.897183617367688,8.453471759082277,1
ATTIKI,2009,22668.878533,101364.420247,22.36374309423519,-6.088508824521009,1
ATTIKI,2010,22852.592172,95569.825135,23.911932599770783,0.81042226562978,1
ATTIKI,2011,20388.868785,86506.054696,23.569296804311165,-10.780936221400143,1
ATTIKI,2012,18233.775009,78167.190503,23.326634732126134,-10.569952647816788,1
ATTIKI,2013,17914.831487,75206.353741,23.820901554004514,-1.7491908386638215,1
ATTIKI,2014,18056.346679,74004.657868,24.398932714757752,0.7899331461905754,1
ATTIKI,2015,17163.730769,73428.060156,23.374893375278017,-4.943502281323233,1
ATTIKI,2016,16883.098755,72385.450122,23.323884463721452,-1.6350292239893531,1
ATTIKI,2017,18342.047636,73992.483435,24.789068814149065,8.641475727718092,1
ATTIKI,2018,19026.78658,74774.478028,25.445562552606845,3.7331652255447265,1
ATTIKI,2019,18821.299167,77316.604765,24.343152708537076,-1.0799901083454468,1
ATTIKI,2020,15700.233351,71483.513021,21.963432807768804,-16.582626886204896,1
ATTIKI,2021,17823.559652,78311.167564,22.75992071939631,13.524170332568703,1
ATTIKI,2022,21532.617894,88222.999598,24.407034437863462,20.809862420404905,1
KENTRIKI ELLADA,2000,6732.966742,26715.697876,25.20228658540322,NA,1
KENTRIKI ELLADA,2001,7060.809401,28854.335688,24.470531837391995,4.869215482009295,1
KENTRIKI ELLADA,2002,7135.678307,30850.160581,23.130117226665988,1.0603445263569393,1
KENTRIKI ELLADA,2003,8059.557587,34116.982297,23.623301489090665,12.947322458380551,1
KENTRIKI ELLADA,2004,8836.966698,36305.185929,24.340783477275,9.64580378771602,1
KENTRIKI ELLADA,2005,9387.449833,37033.448836,25.34857035479373,6.229322275533604,1
KENTRIKI ELLADA,2006,9557.981901,39607.840466,24.131540090413974,1.8165963177829383,1
KENTRIKI ELLADA,2007,10408.141354,41720.327595,24.94741042073545,8.894758975334037,1
KENTRIKI ELLADA,2008,11529.870071,43106.631601,26.747323190830173,10.777416244149137,1
KENTRIKI ELLADA,2009,10137.052461,42114.184574,24.070399471199313,-12.080080707095075,1
KENTRIKI ELLADA,2010,9426.3027,39457.738864,23.889617021618697,-7.011404584660551,1
KENTRIKI ELLADA,2011,8049.751719,35524.525567,22.65970224941639,-14.603297016973581,1
KENTRIKI ELLADA,2012,7415.839134,33341.123944,22.242318964578693,-7.874933378426601,1
KENTRIKI ELLADA,2013,7295.194975,32057.581631,22.756535595765197,-1.6268443371010088,1
KENTRIKI ELLADA,2014,7376.581749,31495.709464,23.420909941500213,1.1156216424496537,1
KENTRIKI ELLADA,2015,6981.130992,31736.129996,21.99742373402144,-5.360894387886484,1
KENTRIKI ELLADA,2016,6789.964549,31186.998876,21.771779246849004,-2.7383305544483627,1
KENTRIKI ELLADA,2017,7052.372972,31706.396986,22.242744816176952,3.864650855042334,1
KENTRIKI ELLADA,2018,7364.515174,31993.873969,23.018516548310906,4.426059189428814,1
KENTRIKI ELLADA,2019,7367.45577,32729.358397,22.510235858076907,0.03992925441149291,1
KENTRIKI ELLADA,2020,5744.480446,30336.902087,18.935619825406068,-22.02897953739599,1
KENTRIKI ELLADA,2021,6667.268092,33069.645569,20.161292863235282,16.063900898862958,1
KENTRIKI ELLADA,2022,8216.705506,37857.039043,21.704564629756273,23.239464689580387,1
"NISIA AIGAIOU, KRITI",2000,4751.736817,11472.874859,41.417141522052404,NA,1
"NISIA AIGAIOU, KRITI",2001,5099.94592,12495.447448,40.8144321459756,7.32803849224632,1
"NISIA AIGAIOU, KRITI",2002,4910.526654,13136.588954,37.38053060193208,-3.714142639379201,1
"NISIA AIGAIOU, KRITI",2003,5537.437666,14699.97615,37.669705103569164,12.766675678042242,1
"NISIA AIGAIOU, KRITI",2004,6075.222438,16265.549142,37.350244894670645,9.711798207716384,1
"NISIA AIGAIOU, KRITI",2005,6570.243369,16791.126936,39.12925793511493,8.148194342707292,1
"NISIA AIGAIOU, KRITI",2006,6631.494147,18101.480843,36.63509192710306,0.9322451933667564,1
"NISIA AIGAIOU, KRITI",2007,7310.023297,19168.146345,38.136307838169316,10.231919609051559,1
"NISIA AIGAIOU, KRITI",2008,8364.125945,20393.652547,41.01337867615285,14.419962908088118,1
"NISIA AIGAIOU, KRITI",2009,7447.599216,19957.460419,37.317369342793235,-10.957830322340993,1
"NISIA AIGAIOU, KRITI",2010,6922.040715,18702.171536,37.011962496845314,-7.056750581730009,1
"NISIA AIGAIOU, KRITI",2011,5956.041237,16720.592768,35.620993344199604,-13.955414563030343,1
"NISIA AIGAIOU, KRITI",2012,5508.451441,15230.686714,36.16679631350206,-7.514887459467066,1
"NISIA AIGAIOU, KRITI",2013,5971.999892,15350.912637,38.90322375756219,8.415222607750671,1
"NISIA AIGAIOU, KRITI",2014,6166.28335,15451.514854,39.9073062302607,3.253239476113505,1
"NISIA AIGAIOU, KRITI",2015,5867.937991,15287.161884,38.384744241778186,-4.838333596849712,1
"NISIA AIGAIOU, KRITI",2016,5495.671519,14685.733096,37.42183984330257,-6.344076446802373,1
"NISIA AIGAIOU, KRITI",2017,5864.059805,15071.68383,38.907794717187876,6.703244266444655,1
"NISIA AIGAIOU, KRITI",2018,6175.724623,15342.464272,40.25249473300517,5.314830140958977,1
"NISIA AIGAIOU, KRITI",2019,6323.94837,15832.522997,39.94277078390023,2.4001029198739907,1
