geo,NUTS_label,NUTS_label_el,NUTS_level,year,GFCF_GHI,GFCF_Total,GFCF_pct,GFCF_pct_diff
EL3,ATTIKI,ATTΙΚΗ,1,2000,2489.5208109111254,13586.756644166027,18.32314271986385,NA
EL3,ATTIKI,ATTΙΚΗ,1,2001,2548.5778093832296,14912.344012202157,17.090390399375398,2.3722235304588692
EL3,ATTIKI,ATTΙΚΗ,1,2002,4217.416384999591,15155.868877348656,27.826952180239367,65.48117030102487
EL3,ATTIKI,ATTΙΚΗ,1,2003,4262.487750092742,16288.0553948347,26.16940848227021,1.0686961157892763
EL3,ATTIKI,ATTΙΚΗ,1,2004,4045.596162270659,16901.030725842516,23.936978920964513,-5.088380320092748
EL3,ATTIKI,ATTΙΚΗ,1,2005,3269.680489788466,15427.709560037843,21.193557456240093,-19.179266574316145
EL3,ATTIKI,ATTΙΚΗ,1,2006,4819.147521119664,18689.045698914793,25.78594754787022,47.38894323681889
EL3,ATTIKI,ATTΙΚΗ,1,2007,5401.999132857267,20631.347304965857,26.18345303875057,12.094496156909205
EL3,ATTIKI,ATTΙΚΗ,1,2008,5685.350119654338,20331.415631470452,27.96337560899664,5.24529863534427
EL3,ATTIKI,ATTΙΚΗ,1,2009,3883.6334056435912,18851.10114547103,20.60162626933139,-31.690514675291258
EL3,ATTIKI,ATTΙΚΗ,1,2010,3272.3603574887097,12797.12401041121,25.57106076979838,-15.739720625190731
EL3,ATTIKI,ATTΙΚΗ,1,2011,2076.526191494088,9631.730055327718,21.55922331259142,-36.543474292431974
EL3,ATTIKI,ATTΙΚΗ,1,2012,1676.0657304534304,8021.9061403503265,20.89360933834405,-19.285114855812193
EL3,ATTIKI,ATTΙΚΗ,1,2013,1650.0386973051618,6755.873441025304,24.423765656787438,-1.5528647042516326
EL3,ATTIKI,ATTΙΚΗ,1,2014,1606.325204152036,6262.3166734162305,25.650654349227448,-2.64924048293647
EL3,ATTIKI,ATTΙΚΗ,1,2015,1837.0254846657913,6052.211393294748,30.352962996319558,14.361990954100726
